time,SURFACE-DRAIN
0.000000000000,-6253.84557
30.44166666667,-6584.85513
60.88333333333,-6818.46008
91.32500000000,-6690.82260
121.7666666667,-6759.46720
152.2083333333,-7047.52380
182.6500000000,-6826.88142
213.0916666667,-6466.85358
243.5333333333,-6176.58961
273.9750000000,-5977.97495
304.4166666667,-5843.56070
334.8583333333,-5762.00115
365.3000000000,-5799.05106
395.7416666667,-6227.61476
426.1833333333,-6556.50406
456.6250000000,-7159.91678
487.0666666667,-7274.29530
517.5083333333,-7103.50066
547.9500000000,-6879.01993
578.3916666667,-6670.77205
608.8333333333,-6484.88305
639.2750000000,-6349.68970
669.7166666667,-6572.09444
700.1583333333,-6955.19500
730.6000000000,-8002.60601
761.0416666667,-10460.6461
791.4833333333,-10075.4892
821.9250000000,-9820.09203
852.3666666667,-9765.84010
882.8083333333,-8809.60083
913.2500000000,-7905.92302
943.6916666667,-7279.45826
974.1333333333,-6829.79117
1004.575000000,-6554.78632
1035.016666667,-6570.34067
1065.458333333,-6654.89228
1095.900000000,-7264.49607
1126.341666667,-7817.04182
1156.783333333,-7733.06061
1187.225000000,-8095.19227
1217.666666667,-8394.47679
1248.108333333,-8159.43620
1278.550000000,-7334.33508
1308.991666667,-6838.70971
1339.433333333,-6472.42304
1369.875000000,-6231.54783
1400.316666667,-6105.19655
1430.758333333,-6114.00782
1461.200000000,-6361.86788
1491.641666667,-6446.50709
1522.083333333,-6441.86232
1552.525000000,-6668.16885
1582.966666667,-6710.39687
1613.408333333,-6634.46454
1643.850000000,-6419.43989
1674.291666667,-6207.56950
1704.733333333,-6046.57873
1735.175000000,-5907.09360
1765.616666667,-5819.99035
1796.058333333,-5804.08848
1826.500000000,-5799.76210
1856.941666667,-5769.56291
1887.383333333,-5713.45628
1917.825000000,-5689.31509
1948.266666667,-5645.62847
1978.708333333,-5585.50152
2009.150000000,-5509.41657
2039.591666667,-5433.78518
2070.033333333,-5363.12543
2100.475000000,-5296.25445
2130.916666667,-5281.36977
2161.358333333,-5342.48764
2191.800000000,-5498.09664
2222.241666667,-5645.00174
2252.683333333,-5956.63338
2283.125000000,-6214.81465
2313.566666667,-6269.38747
2344.008333333,-6267.87403
2374.450000000,-6136.97004
2404.891666667,-6009.48706
2435.333333333,-5885.88325
2465.775000000,-5779.96430
2496.216666667,-5719.18966
2526.658333333,-6165.42143
2557.100000000,-6967.34775
2587.541666667,-6951.09450
2617.983333333,-6858.49992
2648.425000000,-6780.85759
2678.866666667,-6617.75917
2709.308333333,-6423.01449
2739.750000000,-6241.84635
2770.191666667,-6083.24547
2800.633333333,-5964.88216
2831.075000000,-5944.02964
2861.516666667,-5953.03287
2891.958333333,-5914.61419
2922.400000000,-5988.30750
2952.841666667,-6322.49312
2983.283333333,-6380.41941
3013.725000000,-6513.89292
3044.166666667,-6714.75362
3074.608333333,-6840.52258
3105.050000000,-6717.08778
3135.491666667,-6420.30612
3165.933333333,-6160.80359
3196.375000000,-5975.00211
3226.816666667,-5955.29681
3257.258333333,-5909.06160
3287.700000000,-5892.56292
3318.141666667,-5913.86587
3348.583333333,-6055.40769
3379.025000000,-5998.42454
3409.466666667,-5945.57858
3439.908333333,-5803.70776
3470.350000000,-5684.52016
3500.791666667,-5557.62576
3531.233333333,-5412.84558
3561.675000000,-5354.74194
3592.116666667,-5319.40667
3622.558333333,-5306.41524
3653.000000000,-5346.57165
