time,TRIB,MAIN
0.000000000000,-14236.0569,717.292854
30.44166666667,-16437.3084,-442.813495
60.88333333333,-17768.6656,-1217.08469
91.32500000000,-16782.9106,-758.315406
121.7666666667,-17224.8828,-956.306711
152.2083333333,-19031.7540,-1880.39291
182.6500000000,-17744.1429,-1116.50756
213.0916666667,-15794.9069,132.904810
243.5333333333,-14316.8853,1126.09728
273.9750000000,-13179.0369,1812.51721
304.4166666667,-12330.9274,2262.76323
334.8583333333,-11689.4172,2535.47908
365.3000000000,-11708.9491,2411.95041
395.7416666667,-14352.2345,871.289958
426.1833333333,-16230.7295,-326.567793
456.6250000000,-19848.7322,-2379.25698
487.0666666667,-20209.1089,-2740.31299
517.5083333333,-19012.1533,-2142.52995
547.9500000000,-17770.1759,-1357.47463
578.3916666667,-16675.7538,-603.742044
608.8333333333,-15697.7584,75.6112701
639.2750000000,-14956.6035,577.219166
669.7166666667,-16378.9172,-139.586819
700.1583333333,-18666.4490,-1408.44763
730.6000000000,-24859.0921,-4774.46071
761.0416666667,-30721.3712,-7984.93157
791.4833333333,-28652.6061,-7140.76361
821.9250000000,-27577.5196,-6481.74083
852.3666666667,-27169.5991,-6074.93109
882.8083333333,-25052.9289,-4718.62866
913.2500000000,-22539.9398,-3010.05753
943.6916666667,-20440.4457,-1527.46719
974.1333333333,-18742.1619,-391.091313
1004.575000000,-17553.8424,311.082427
1035.016666667,-17484.4960,286.998397
1065.458333333,-17688.9201,50.7483954
1095.900000000,-19721.0632,-1154.78785
1126.341666667,-21595.4501,-2313.35534
1156.783333333,-21430.5295,-2374.16280
1187.225000000,-22440.3979,-2936.25381
1217.666666667,-23268.1227,-3393.82124
1248.108333333,-22847.3796,-3132.90721
1278.550000000,-20478.0294,-1663.61349
1308.991666667,-18642.1416,-436.470288
1339.433333333,-17195.8233,498.065138
1369.875000000,-16011.9021,1192.03933
1400.316666667,-15159.1374,1557.87198
1430.758333333,-15003.3723,1519.28925
1461.200000000,-16346.3050,647.990461
1491.641666667,-16547.6118,344.806962
1522.083333333,-16302.8008,343.721549
1552.525000000,-17662.1838,-429.945830
1582.966666667,-17765.4312,-572.074990
1613.408333333,-17232.0450,-308.156450
1643.850000000,-16191.3836,423.140273
1674.291666667,-15038.9327,1168.31977
1704.733333333,-14143.6742,1725.05498
1735.175000000,-13339.2226,2181.74517
1765.616666667,-12688.9173,2467.75726
1796.058333333,-12358.1365,2534.23203
1826.500000000,-12094.1847,2549.66951
1856.941666667,-11778.9829,2645.35306
1887.383333333,-11386.6244,2834.31042
1917.825000000,-11056.7198,2927.38135
1948.266666667,-10765.9951,3072.45459
1978.708333333,-10390.8177,3276.17957
2009.150000000,-9975.69207,3513.48230
2039.591666667,-9547.92336,3719.50768
2070.033333333,-9135.52440,3882.19374
2100.475000000,-8706.61069,4027.29545
2130.916666667,-8398.51774,4039.81415
2161.358333333,-8453.65290,3839.20378
2191.800000000,-9170.45487,3277.06912
2222.241666667,-9876.14848,2729.92182
2252.683333333,-11931.5783,1521.42794
2283.125000000,-13429.5416,596.355838
2313.566666667,-13608.6050,409.135954
2344.008333333,-13569.1602,432.735252
2374.450000000,-12790.0477,930.330892
2404.891666667,-12143.0657,1428.64165
2435.333333333,-11450.2729,1923.93117
2465.775000000,-10827.9261,2349.39159
2496.216666667,-10422.1242,2610.42672
2526.658333333,-13294.0503,1043.83342
2557.100000000,-18407.7804,-1791.54874
2587.541666667,-17793.1348,-1722.80440
2617.983333333,-17110.0966,-1393.14201
2648.425000000,-16684.6199,-1103.25817
2678.866666667,-15850.5145,-519.504861
2709.308333333,-14828.2949,193.336669
2739.750000000,-13891.0538,867.076699
2770.191666667,-12997.7229,1466.85897
2800.633333333,-12259.1689,1926.87335
2831.075000000,-12019.1239,2032.35450
2861.516666667,-11962.3782,2006.13794
2891.958333333,-11652.7271,2131.61530
2922.400000000,-12068.6643,1854.81545
2952.841666667,-14262.8101,631.036582
2983.283333333,-14446.3997,401.162501
3013.725000000,-15271.6302,-82.6889288
3044.166666667,-16562.3390,-793.239772
3074.608333333,-17293.0547,-1210.87628
3105.050000000,-16585.9958,-781.175477
3135.491666667,-14997.4323,248.221276
3165.933333333,-13650.5065,1171.30025
3196.375000000,-12591.8378,1867.54574
3226.816666667,-12320.7602,1993.72622
3257.258333333,-11899.5126,2176.38115
3287.700000000,-11639.2683,2238.42112
3318.141666667,-11664.7448,2149.46537
3348.583333333,-12540.1660,1617.45289
3379.025000000,-12155.9360,1792.16521
3409.466666667,-11765.4763,1972.13288
3439.908333333,-11149.7602,2447.13606
3470.350000000,-10421.0788,2884.91735
3500.791666667,-9787.02499,3297.75255
3531.233333333,-9140.03263,3695.86617
3561.675000000,-8591.15490,3837.71263
3592.116666667,-8158.06168,3893.22378
3622.558333333,-7833.40025,3906.33525
3653.000000000,-7813.56292,3765.33992
