time,TRIB,MAIN
0.000000000000,-11951.1976,832.294854
30.44166666667,-14184.7202,-327.477584
60.88333333333,-15543.3631,-1101.40387
91.32500000000,-14553.6335,-642.608478
121.7666666667,-15006.4876,-840.497239
152.2083333333,-16845.5984,-1764.25984
182.6500000000,-15553.8728,-1000.45810
213.0916666667,-13584.4162,248.604831
243.5333333333,-12101.0728,1241.43741
273.9750000000,-10977.9510,1927.49401
304.4166666667,-10136.4473,2377.43612
334.8583333333,-9480.40057,2649.91939
365.3000000000,-9472.61275,2526.31477
395.7416666667,-12146.2344,985.995291
426.1833333333,-14056.9288,-211.438679
456.6250000000,-17729.9659,-2263.43384
487.0666666667,-18106.2406,-2624.15260
517.5083333333,-16907.5428,-2026.39877
547.9500000000,-15660.1486,-1241.56923
578.3916666667,-14554.9310,-488.133284
608.8333333333,-13561.2154,190.913579
639.2750000000,-12800.1253,692.298780
669.7166666667,-14235.5264,-24.4449576
700.1583333333,-16551.5187,-1292.93181
730.6000000000,-22804.9921,-4658.28964
761.0416666667,-28737.4775,-7869.77187
791.4833333333,-26690.6551,-7025.56722
821.9250000000,-25640.5248,-6365.32341
852.3666666667,-25262.1650,-5958.26641
882.8083333333,-23164.8770,-4602.33985
913.2500000000,-20660.1041,-2894.51569
943.6916666667,-18578.5155,-1413.05213
974.1333333333,-16927.2116,-277.807437
1004.575000000,-15764.5659,423.408834
1035.016666667,-15697.1112,398.616733
1065.458333333,-15904.6398,161.748532
1095.900000000,-17952.0005,-1044.05536
1126.341666667,-19844.9827,-2202.78637
1156.783333333,-19686.1818,-2263.98870
1187.225000000,-20707.1843,-2826.41290
1217.666666667,-21548.4251,-3284.31923
1248.108333333,-21135.2736,-3023.93094
1278.550000000,-18760.8681,-1555.54908
1308.991666667,-16929.4125,-329.389762
1339.433333333,-15514.8181,604.211569
1369.875000000,-14390.8288,1297.24644
1400.316666667,-13562.2444,1662.28463
1430.758333333,-13390.9916,1623.09756
1461.200000000,-14724.3176,751.475797
1491.641666667,-14912.8865,447.892296
1522.083333333,-14651.7671,446.374896
1552.525000000,-16001.2038,-327.530276
1582.966666667,-16090.9583,-469.960704
1613.408333333,-15541.3022,-206.431932
1643.850000000,-14481.2245,524.362202
1674.291666667,-13307.7148,1268.99332
1704.733333333,-12401.9083,1825.22345
1735.175000000,-11604.9820,2281.41789
1765.616666667,-10948.6680,2567.00908
1796.058333333,-10574.3642,2633.18045
1826.500000000,-10267.9952,2648.34825
1856.941666667,-9908.88967,2743.75982
1887.383333333,-9469.56916,2932.42967
1917.825000000,-9092.06225,3025.25275
1948.266666667,-8753.81297,3170.08413
1978.708333333,-8328.67599,3373.56728
2009.150000000,-7878.15581,3610.61490
2039.591666667,-7438.55404,3816.38007
2070.033333333,-7036.09342,3978.80101
2100.475000000,-6647.25507,4123.60985
2130.916666667,-6343.81600,4135.90401
2161.358333333,-6355.78785,3935.20341
2191.800000000,-7040.79882,3373.10658
2222.241666667,-7717.52176,2826.03562
2252.683333333,-9763.24927,1617.80506
2283.125000000,-11270.8576,692.976502
2313.566666667,-11440.5844,505.888826
2344.008333333,-11384.8472,529.540600
2374.450000000,-10572.7896,1027.09001
2404.891666667,-9889.68103,1525.28605
2435.333333333,-9156.89703,2020.46365
2465.775000000,-8492.86559,2445.83935
2496.216666667,-8048.38589,2706.83967
2526.658333333,-10949.5181,1140.67903
2557.100000000,-16167.2747,-1693.77551
2587.541666667,-15569.0876,-1624.60016
2617.983333333,-14889.8044,-1294.72315
2648.425000000,-14466.6085,-1004.70313
2678.866666667,-13625.7984,-420.923308
2709.308333333,-12591.4344,291.875726
2739.750000000,-11629.4071,965.590542
2770.191666667,-10706.4615,1565.32134
2800.633333333,-9937.80076,2025.31629
2831.075000000,-9675.16660,2130.87680
2861.516666667,-9600.19658,2104.79592
2891.958333333,-9268.18682,2230.37702
2922.400000000,-9674.94759,1953.78397
2952.841666667,-11901.3547,730.448009
2983.283333333,-12093.9463,500.915924
3013.725000000,-12940.1098,17.4358434
3044.166666667,-14263.8413,-692.670591
3074.608333333,-15019.8287,-1109.89723
3105.050000000,-14316.7294,-680.000669
3135.491666667,-12712.4594,349.368532
3165.933333333,-11342.8130,1272.39641
3196.375000000,-10258.5105,1968.58625
3226.816666667,-9965.31048,2094.87904
3257.258333333,-9520.25278,2277.66401
3287.700000000,-9237.50870,2339.86190
3318.141666667,-9245.45803,2251.10915
3348.583333333,-10122.1161,1719.42858
3379.025000000,-9721.10145,1894.33493
3409.466666667,-9309.01201,2074.47336
3439.908333333,-8663.94549,2549.53666
3470.350000000,-7899.74234,2987.38775
3500.791666667,-7253.35324,3400.26069
3531.233333333,-6640.32025,3798.34103
3561.675000000,-6160.26788,3940.19475
3592.116666667,-5769.64189,3995.74721
3622.558333333,-5446.47672,4008.92860
3653.000000000,-5404.49001,3868.07016
