ppname	easting	northing	zone	kx1	sy1	kz2	kx3	ss3
pp001	96.62578432	9800.608887999999	1	         6.4209650E+01	         2.1885970E-01	         6.2890510E-01	         1.7963240E+01	         2.3332900E-06
pp002	125.98730659999998	8728.913326	1	         3.1499480E+01	         2.4029640E-01	         6.3384484E-02	         4.9830520E+00	         1.2157151E-05
pp003	184.7103511	7789.344614	1	         9.6346710E+00	         9.7143941E-02	         7.3621991E-02	         1.2726350E+01	         1.0170263E-05
pp004	184.7103511	6600.202963000001	1	         8.5286080E+00	         8.9530819E-02	         3.4926840E-02	         4.0687360E+01	         7.5112991E-06
pp005	155.3488288	5528.5074	1	         2.7034860E+01	         9.7206823E-02	         2.3172838E-02	         1.3601570E+01	         1.0459875E-05
pp006	199.3911122	4177.877377000001	1	         1.7904130E+01	         1.8146620E-01	         7.9446275E-02	         1.7179780E+01	         5.5034790E-05
pp007	140.6680677	3032.778009	1	         1.1068110E+01	         1.3567010E-01	         7.4470965E-02	         1.3940700E+01	         1.6363523E-05
pp008	214.0718733	2034.486253	1	         1.6631320E+01	         2.0235430E-01	         1.2649400E-01	         4.5987230E+01	         1.0180860E-05
pp009	214.0718733	786.6215572000001	1	         9.3517560E+01	         2.6323940E-01	         4.0186295E-02	         1.9303940E+01	         5.0408969E-06
pp010	727.8985127000001	170.0295899	1	         2.1962530E+02	         1.0765370E-01	         4.6780254E-02	         3.8558130E+01	         1.2490039E-05
pp011	2225.336147	170.0295899	1	         5.9175470E+01	         2.6809500E-01	         2.8245050E-01	         3.2534310E+01	         2.0296357E-06
pp012	3942.985199	170.0295899	1	         1.1063720E+01	         2.9009280E-01	         2.9860610E-01	         2.9082390E+01	         9.2455930E-06
pp013	5249.572939	125.98730659999998	1	         1.3987350E+01	         3.3195000E-01	         2.1385390E-01	         9.6401170E+01	         4.5185477E-06
pp014	6629.564485	214.0718733	1	         2.4451100E+01	         1.5234160E-01	         1.6543730E-01	         6.2243140E+01	         2.3543749E-06
pp015	7481.048629999999	155.3488288	1	         1.9252460E+01	         1.6347060E-01	         1.4253980E-01	         4.7371370E+02	         7.9998657E-06
pp016	7671.898525	815.9830794	1	         6.4109970E+01	         1.9278890E-01	         1.1617280E-01	         1.5555890E+02	         2.1577578E-06
pp017	7921.471464	2005.1247309999999	1	         4.3709110E+01	         2.5740300E-01	         9.4048308E-02	         1.9308970E+02	         5.8728300E-06
pp018	8317.852014	2900.651159	1	         8.7149040E+01	         3.2123860E-01	         8.7536240E-02	         1.4902590E+02	         4.8351715E-06
pp019	8670.190281000001	3884.262155	1	         8.2899810E+00	         4.2508300E-01	         5.8096980E-02	         8.4970950E+01	         4.6407613E-06
pp020	9037.209309	6218.503173	1	         3.1232260E+00	         6.1666910E-01	         1.2821250E-01	         2.0245460E+02	         1.7289226E-05
pp021	9492.312904	7114.029602	1	         4.0996070E+01	         4.1920570E-01	         4.3942282E-02	         9.5965760E+01	         1.3069956E-05
pp022	9536.355188	8171.044403	1	         9.4976600E+01	         3.8776560E-01	         8.1767970E-02	         2.0664260E+02	         9.5003091E-06
pp023	9286.782248	9242.739965	1	         1.4932340E+02	         5.2975610E-01	         2.1615410E-01	         1.9814420E+03	         5.3646168E-06
pp024	9477.632143	9859.331932	1	         7.6933330E+01	         3.3445890E-01	         5.3292970E-01	         6.4377210E+02	         5.9321596E-06
pp025	8905.082459000001	9932.735738	1	         9.3788320E+01	         2.7517020E-01	         7.8253202E-02	         2.1605470E+02	         1.7531606E-05
pp026	7965.513747	9771.247366	1	         2.2893820E+01	         1.9253280E-01	         8.3635348E-02	         8.3718520E+01	         8.2745837E-06
pp027	6820.414379000001	9874.012693	1	         9.5945060E+01	         1.9091510E-01	         1.5353390E-01	         6.9741030E+01	         5.2694258E-06
pp028	5763.3995780000005	9844.651171	1	         5.2660850E+01	         1.9371730E-01	         3.9232892E-02	         4.7897800E+01	         1.4008890E-06
pp029	4075.1120490000003	9888.693455	1	         1.0914630E+01	         1.4240060E-01	         2.3335110E-01	         1.8731590E+01	         3.6331044E-05
pp030	2636.397459	9859.331932	1	         9.4917350E+00	         1.0066110E-01	         4.9793840E-01	         3.2803910E+00	         3.2531185E-05
pp031	1227.044391	9888.693455	1	         1.4177210E+01	         1.9691080E-01	         4.4654960E-01	         1.8321050E+01	         8.1784089E-06
pp032	1843.6363579999997	5792.761101	1	         1.3737500E+01	         1.4598410E-01	         2.6031120E-02	         2.4156960E+01	         1.8867489E-06
pp033	3091.501054	4559.577166	1	         9.3639330E+00	         3.6842140E-01	         1.8983260E-01	         5.8406770E+01	         5.6578522E-06
pp034	4412.769555	4735.7463	1	         6.4133930E+00	         1.5349910E-01	         2.0946310E-01	         1.4841360E+02	         6.8484421E-06
pp035	4354.046511	4119.1543329999995	1	         2.1702430E+01	         1.1736870E-01	         1.9823360E-01	         6.0310880E+02	         2.3157724E-06
pp036	2474.909087	4867.87315	1	         7.2513730E+00	         4.9386770E-01	         1.7507500E-01	         2.0360230E+01	         8.5464669E-07
pp037	4603.61945	5792.761101	1	         2.0081870E+00	         3.0100370E-01	         1.6855040E-01	         2.8621900E+02	         1.3078855E-06
pp038	7231.475691	5455.1035950000005	1	         1.7855210E+01	         5.4149540E-01	         2.2650260E-01	         6.6479080E+01	         5.2919137E-06
pp039	8405.717469	3897.1962479999997	1	         1.3977640E+00	         3.9240730E-01	         1.0875150E-01	         1.1976430E+02	         1.3807171E-05
pp040	7805.6624870000005	4253.985697	1	         9.3563120E+00	         2.4709020E-01	         7.2616640E-01	         1.8528840E+01	         6.2340051E-06
pp041	7302.913717	4391.836166	1	         9.3899240E+00	         1.6779970E-01	         2.7394310E-01	         6.2227070E+01	         8.7900613E-06
pp042	1585.484721	6069.282416	1	         1.6041730E+01	         8.1810388E-02	         2.0412960E-02	         6.2110050E+01	         2.4153825E-06
pp043	2214.4743780000003	5952.470052000001	1	         4.6253060E+00	         1.2467480E-01	         4.3644748E-02	         1.6163300E+01	         4.2656280E-06
pp044	2744.622803	5880.585519	1	         1.2817400E+00	         1.8857350E-01	         1.0217230E-01	         5.6218230E+01	         4.3083000E-06
pp045	1109.249695	6311.892712	1	         1.2568500E+01	         6.6670428E-02	         1.8624817E-02	         1.0640510E+01	         6.3126101E-06
pp046	992.4373304	5476.235025999999	1	         1.9615380E+01	         1.4394970E-01	         3.8431156E-02	         2.2626170E+01	         3.7779102E-06
pp047	1684.325953	5593.047391	1	         2.4477230E+01	         1.8182800E-01	         3.5409339E-02	         1.5918570E+01	         2.1269962E-06
pp048	2124.618712	5386.379361	1	         3.0840990E+00	         1.8004240E-01	         4.3860262E-02	         1.3547290E+01	         3.0948217E-06
pp049	983.4517639000001	4919.129901	1	         1.8225770E+01	         1.9481850E-01	         7.7053417E-02	         9.9214090E+00	         1.0564083E-05
pp050	1513.600189	4532.750540999999	1	         6.5506810E+00	         2.5738820E-01	         9.9214952E-02	         1.3889220E+01	         5.3552580E-06
pp051	1864.037283	4586.6639399999995	1	         7.1423650E+00	         2.8838350E-01	         9.3438450E-02	         2.4674720E+01	         1.0866405E-06
pp052	686.9280686000001	3867.818618	1	         1.2219860E+01	         2.2797310E-01	         1.4278840E-01	         2.0611760E+01	         2.1202535E-05
pp053	1369.831124	3822.890785	1	         5.8163980E+00	         2.8310630E-01	         1.0049470E-01	         3.0903490E+01	         4.1563480E-06
pp054	1882.0084160000001	3517.3815240000004	1	         2.4834070E+01	         4.3013220E-01	         6.4720470E-02	         1.0928560E+02	         1.0497184E-05
pp055	2618.8248710000003	4047.529948	1	         2.0700240E+01	         3.1703360E-01	         1.3128100E-01	         4.3138150E+01	         9.5906604E-06
pp056	3472.4536909999997	4110.428914	1	         8.4632220E+00	         2.6232570E-01	         8.1590144E-02	         5.4219060E+01	         2.4611253E-06
pp057	5092.386742000001	6882.379873999999	1	         4.3487000E+00	         4.8347810E-01	         1.3652380E-01	         5.3767180E+02	         1.5271549E-06
pp058	6154.834279	6189.479307	1	         6.8379480E+01	         3.2333840E-01	         2.3863940E-01	         4.8313450E+02	         2.5410524E-05
pp059	7425.151986	6385.801135	1	         5.4621670E+02	         2.8001300E-01	         1.5932670E-01	         2.0343590E+02	         9.3582856E-06
pp060	8002.569125	5993.15748	1	         3.0216850E+01	         4.1688490E-01	         3.0993060E-01	         1.6145590E+02	         1.7821153E-05
pp061	8718.566378	6789.993132	1	         9.6580890E+01	         2.9667990E-01	         9.8883832E-02	         6.7607670E+01	         2.2553282E-06
pp062	8683.921349	7713.860554999999	1	         9.9918860E+01	         2.5042800E-01	         7.0143643E-02	         5.4447180E+02	         1.3930819E-05
pp063	8205.882645	8953.921928	1	         6.9039950E+01	         3.3516900E-01	         3.9357260E-01	         2.3589150E+02	         2.9591352E-05
pp064	7310.907073	8633.333664	1	         2.0758280E+02	         2.7814890E-01	         1.3828910E-01	         8.7023010E+01	         7.2337764E-06
pp065	5520.95593	8419.608154000001	1	         4.6361180E+01	         1.4391490E-01	         1.6123760E-01	         2.2414440E+02	         5.5069067E-06
pp066	4158.455806	8366.176776999999	1	         1.2813750E+01	         2.5483350E-01	         6.0953218E-02	         1.7689370E+01	         5.3810008E-06
pp067	1513.602624	8606.617975	1	         6.7783140E+00	         7.8829477E-02	         4.1486780E-01	         1.1519220E+01	         1.3627189E-05
pp068	1513.602624	9181.005282	1	         9.5391240E+00	         9.4279821E-02	         5.3559220E-01	         7.1939080E+00	         5.7443320E-06
pp069	2515.44095	8980.637617	1	         1.9054180E+01	         1.3046510E-01	         2.8555080E-01	         6.3397380E+00	         4.5076494E-05
pp070	4519.117603	9034.068994	1	         1.8319750E+01	         4.2549060E-01	         2.5740038E-02	         2.6412010E+01	         2.5328027E-06
pp071	7257.4756959999995	9247.794504000001	1	         1.0685970E+02	         1.2225970E-01	         6.7063024E-02	         5.8184640E+01	         6.5940764E-06
