 
Data and dependencies for CLIST "cl_mf" --->
 
Index      Int_ID                 X-coord         Y-coord         idomain1              idomain2              idomain3              prop_mf
1          1                      125.000         9875.000        1                     2                     3                     2.2231549E-06
2          2                      375.000         9875.000        1                     2                     3                     1.5833361E-06
3          3                      625.000         9875.000        1                     2                     3                     2.2515890E-06
4          4                      875.000         9875.000        1                     2                     3                     2.6054874E-06
5          5                      1125.000        9875.000        1                     2                     3                     5.7728131E-06
6          6                      1375.000        9875.000        1                     2                     3                     7.9099638E-06
7          7                      1625.000        9875.000        1                     2                     3                     1.1229608E-05
8          8                      1875.000        9875.000        1                     2                     3                     1.3863212E-05
9          9                      2125.000        9875.000        1                     2                     3                     1.6850112E-05
10         10                     2375.000        9875.000        1                     2                     3                     2.1144794E-05
11         11                     2625.000        9875.000        1                     2                     3                     3.1872085E-05
12         12                     2875.000        9875.000        1                     2                     3                     2.7025256E-05
13         13                     3125.000        9875.000        1                     2                     3                     2.6759394E-05
14         14                     3375.000        9875.000        1                     2                     3                     2.2435539E-05
15         15                     3625.000        9875.000        1                     2                     3                     2.0216306E-05
16         16                     3875.000        9875.000        1                     2                     3                     2.1158148E-05
17         17                     4125.000        9875.000        1                     2                     3                     3.0153421E-05
18         18                     4375.000        9875.000        1                     2                     3                     1.5849136E-05
19         19                     4625.000        9875.000        1                     2                     3                     1.0152816E-05
20         20                     4875.000        9875.000        1                     2                     3                     7.1341179E-06
21         21                     5125.000        9875.000        1                     2                     3                     5.6062762E-06
22         22                     5375.000        9875.000        1                     2                     3                     3.5667537E-06
23         23                     5625.000        9875.000        1                     2                     3                     2.2189203E-06
24         24                     5875.000        9875.000        1                     2                     3                     1.8701609E-06
25         25                     6125.000        9875.000        1                     2                     3                     2.5023655E-06
26         26                     6375.000        9875.000        1                     2                     3                     3.1533613E-06
27         27                     6625.000        9875.000        1                     2                     3                     4.1776848E-06
28         28                     6875.000        9875.000        1                     2                     3                     5.4218384E-06
29         29                     7125.000        9875.000        1                     2                     3                     5.8327782E-06
30         30                     7375.000        9875.000        1                     2                     3                     6.6263410E-06
31         31                     7625.000        9875.000        1                     2                     3                     7.6642458E-06
32         32                     7875.000        9875.000        1                     2                     3                     7.9007475E-06
33         33                     8125.000        9875.000        1                     2                     3                     9.7672662E-06
34         34                     8375.000        9875.000        1                     2                     3                     1.1993965E-05
35         35                     8625.000        9875.000        1                     2                     3                     1.4374024E-05
36         36                     8875.000        9875.000        1                     2                     3                     1.6389803E-05
37         37                     9125.000        9875.000        1                     2                     3                     1.1129198E-05
38         38                     9312.500        9937.500        1                     2                     3                     8.2603836E-06
39         39                     9437.500        9937.500        1                     2                     3                     6.8964195E-06
40         40                     9312.500        9812.500        1                     2                     3                     7.7539251E-06
41         41                     9437.500        9812.500        1                     2                     3                     6.3707353E-06
42         42                     9562.500        9937.500        1                     2                     3                     6.6801799E-06
43         43                     9656.250        9968.750        1                     2                     3                     7.1486093E-06
44         44                     9703.125        9984.375        1                     2                     3                     7.4017114E-06
45         45                     9734.375        9984.375        1                     2                     3                     7.5264141E-06
46         46                     9703.125        9953.125        1                     2                     3                     7.2659569E-06
47         47                     9734.375        9953.125        1                     2                     3                     7.4032764E-06
48         48                     9656.250        9906.250        1                     2                     3                     6.8496986E-06
49         49                     9703.125        9921.875        1                     2                     3                     7.1471833E-06
50         50                     9734.375        9921.875        1                     2                     3                     7.2952562E-06
51         51                     9703.125        9890.625        1                     2                     3                     7.0488689E-06
52         52                     9734.375        9890.625        1                     2                     3                     7.2048954E-06
53         53                     9531.250        9843.750        1                     2                     3                     6.1371706E-06
54         54                     9593.750        9843.750        1                     2                     3                     6.4052401E-06
55         55                     9531.250        9781.250        1                     2                     3                     6.2191612E-06
56         56                     9593.750        9781.250        1                     2                     3                     6.3936980E-06
57         57                     9640.625        9859.375        1                     2                     3                     6.6397907E-06
58         58                     9671.875        9859.375        1                     2                     3                     6.7915544E-06
59         59                     9640.625        9828.125        1                     2                     3                     6.5885377E-06
60         60                     9671.875        9828.125        1                     2                     3                     6.7396855E-06
61         61                     9703.125        9859.375        1                     2                     3                     6.9465242E-06
62         62                     9734.375        9859.375        0                     0                     0                     0.5000000
63         63                     9703.125        9828.125        1                     2                     3                     6.8949841E-06
64         64                     9734.375        9828.125        0                     0                     0                     0.5000000
65         65                     9640.625        9796.875        1                     2                     3                     6.5684036E-06
66         66                     9671.875        9796.875        1                     2                     3                     6.7136195E-06
67         67                     9640.625        9765.625        1                     2                     3                     6.5615352E-06
68         68                     9671.875        9765.625        1                     2                     3                     6.7093021E-06
69         69                     9718.750        9781.250        0                     0                     0                     0.5000000
70         70                     9765.625        9984.375        1                     2                     3                     7.6558919E-06
71         71                     9796.875        9984.375        0                     0                     0                     0.5000000
72         72                     9765.625        9953.125        1                     2                     3                     7.5438070E-06
73         73                     9796.875        9953.125        0                     0                     0                     0.5000000
