ppid	easting	northing	zone	ghbcond1	ghbcond3
01	0	0	1	       1.8490920E+02	       2.3009500E+01
02	0	250	1	       1.1659660E+02	       4.4096980E+01
03	0	500	1	       7.1162520E+01	       4.8372320E+01
04	0	750	1	       4.7140530E+01	       7.6312010E+01
05	0	1000	1	       2.5792120E+01	       8.2659130E+01
06	0	1250	1	       1.0300450E+01	       7.4995560E+01
07	0	1500	1	       1.3494250E+01	       7.1713240E+01
08	0	1750	1	       9.1093740E+00	       7.8464050E+01
09	0	2000	1	       4.2107910E+00	       9.8094330E+01
10	0	2250	1	       2.4700920E+00	       5.1067460E+01
11	0	2500	1	       2.4415850E+00	       2.8510200E+01
12	0	2750	1	       2.8481330E+00	       1.1134440E+02
13	0	3000	1	       2.5768990E+00	       1.9368880E+02
14	0	3250	1	       5.1881870E+00	       2.0846900E+02
15	0	3500	1	       1.1268700E+01	       8.6022910E+01
16	0	3750	1	       3.3757680E+01	       8.8972980E+01
17	0	4000	1	       8.7663010E+01	       1.1047670E+02
18	0	4250	1	       1.0020840E+02	       8.6928790E+01
19	0	4500	1	       1.1400480E+02	       9.6737370E+01
20	0	4750	1	       7.5049110E+01	       7.9327850E+01
21	0	5000	1	       4.6949840E+01	       6.8790910E+01
22	0	5250	1	       4.9809670E+01	       7.8872810E+01
23	0	5500	1	       6.1094250E+01	       2.3211890E+02
24	0	5750	1	       7.1471990E+01	       2.0175160E+02
25	0	6000	1	       9.8431940E+01	       1.8222210E+02
26	0	6250	1	       1.2474930E+02	       2.5616220E+02
27	0	6500	1	       8.2148840E+02	       1.8564290E+02
28	0	6750	1	       9.6075220E+02	       1.8901330E+02
29	0	7000	1	       1.2660810E+03	       3.0672760E+02
30	0	7250	1	       2.1102760E+03	       1.5345020E+02
31	0	7500	1	       1.9013430E+03	       1.7676020E+02
32	0	7750	1	       5.4739820E+02	       9.0192970E+01
33	0	8000	1	       8.6471100E+01	       6.1844280E+01
34	0	8250	1	       1.6071200E+02	       1.2412880E+02
35	0	8500	1	       1.6479800E+02	       1.2384050E+02
36	0	8750	1	       8.2470470E+01	       1.2755500E+02
37	0	9000	1	       4.9806060E+01	       8.9897250E+01
38	0	9250	1	       2.7540690E+01	       6.9124440E+01
39	0	9500	1	       2.7037840E+01	       6.9147280E+01
40	0	9750	1	       3.7965230E+01	       4.9355560E+01
41	0	10000	1	       3.0499760E+01	       3.6116250E+01
