ppname	easting	northing	zone	kx1	kx2	kx3	rch
pp001	1319.29100	8763.84600	1	2.434E+00	4.790E-01	5.308E+00	5.334E-04
pp002	2061.07000	8712.68800	1	3.727E+00	3.424E-02	1.402E+00	1.947E-04
pp003	1677.39100	9147.52400	1	3.362E+00	1.345E-01	3.519E+00	3.009E-04
pp004	1677.39100	8226.69600	1	2.661E+00	7.472E-02	4.450E+00	2.818E-04
pp005	1319.29100	3136.56200	1	1.390E+00	1.010E-01	1.748E+00	4.476E-04
pp006	603.09200	3724.86900	1	1.754E+00	1.079E+00	4.816E+00	3.513E-04
pp007	603.09200	3059.82600	1	3.861E+00	7.055E-02	4.042E+00	3.900E-04
pp008	1268.13400	3750.44700	1	9.490E-01	7.123E-01	3.017E+00	4.008E-04
pp009	1779.70600	3750.44700	1	3.080E-01	1.947E-01	1.724E+00	2.681E-04
pp010	2316.85500	3520.24000	1	3.524E-01	1.415E-02	3.758E+00	4.468E-04
pp011	2572.64100	3929.49700	1	6.259E-01	1.018E-01	1.441E+00	3.123E-04
pp012	2035.49100	4185.28300	1	1.110E-01	1.189E-01	4.043E+00	2.413E-04
pp013	3825.99100	4313.17600	1	3.500E+00	2.192E-02	8.518E-01	3.153E-04
pp014	3595.78400	4082.96900	1	4.500E+00	1.487E-02	1.366E+00	4.285E-04
pp015	4158.51200	4082.96900	1	5.367E+00	1.853E-02	9.537E-01	2.697E-04
pp016	3928.30500	3776.02600	1	1.337E+00	2.320E-01	8.457E-01	3.779E-04
pp017	3928.30500	3110.98300	1	3.523E+00	6.256E-01	1.752E+00	2.713E-04
pp018	4772.39700	3008.66900	1	1.909E+01	1.228E-02	2.189E+00	2.135E-04
pp019	4158.51200	3366.76900	1	6.100E+00	2.779E-01	1.338E+00	2.551E-04
pp020	4337.56200	2676.14800	1	6.647E+00	4.529E-02	1.007E+00	2.836E-04
pp021	5974.59000	9019.63100	1	4.286E+00	2.892E-02	1.254E+01	3.103E-04
pp022	5590.91100	9607.93800	1	3.851E+00	1.417E-01	2.966E+01	3.436E-04
pp023	6383.84700	8456.90300	1	1.418E+01	1.534E-01	1.530E+01	3.789E-04
pp024	6562.89700	8994.05300	1	5.225E+00	2.373E-01	8.201E+00	2.367E-04
pp025	6204.79700	7843.01700	1	6.162E+00	3.143E-01	6.801E+00	3.580E-04
pp026	6716.36800	7919.75300	1	5.648E+00	1.725E-01	1.124E+01	2.965E-04
pp027	5846.69700	8354.58900	1	1.240E+01	1.154E-01	2.417E+00	4.095E-04
pp028	8711.49600	8789.42400	1	7.619E-01	2.680E-01	5.997E+00	3.893E-04
pp029	8327.81800	8188.32800	1	1.873E+00	2.647E+00	7.294E+00	3.628E-04
pp030	7163.99300	7344.23500	1	4.688E+00	1.034E+00	5.904E+00	1.617E-04
pp031	7586.03900	7408.18200	1	2.525E+00	8.119E-01	1.108E+01	1.534E-04
pp032	8020.87500	7139.60700	1	2.473E+00	1.407E+00	2.561E+00	1.642E-04
pp033	7624.40700	6691.98200	1	6.525E+00	2.126E-01	7.430E+00	1.046E-04
pp034	8148.76800	6743.13900	1	5.118E+00	7.220E-02	1.481E+00	1.361E-04
pp035	8481.28900	7472.12800	1	1.763E+00	1.851E-01	6.166E+00	2.388E-04
pp036	7074.46800	6628.03600	1	8.225E+00	6.242E-02	5.518E+00	1.722E-04
pp037	7586.03900	6244.35700	1	3.105E+00	5.733E-02	1.238E+01	1.104E-04
pp038	8289.45000	6078.09600	1	3.810E+00	1.800E-02	5.415E+00	2.262E-04
pp039	7790.66800	7868.59600	1	1.678E+00	4.658E-01	8.430E+00	2.253E-04
pp040	8903.33500	7958.12100	1	4.141E-01	1.750E-01	4.878E+00	3.154E-04
pp041	8864.96700	9812.56700	1	2.392E+00	2.182E-02	9.276E+00	4.496E-04
pp042	9261.43500	9467.25600	1	1.569E+00	2.911E-02	7.316E+00	4.349E-04
pp043	8353.39600	9480.04500	1	7.970E-01	2.014E-01	1.452E+01	3.216E-04
pp044	9146.33200	8840.58100	1	7.450E-01	1.218E-01	4.816E+00	3.618E-04
pp045	7681.95900	5489.79000	4	2.069E+01	9.885E-02	4.990E+00	3.098E-04
pp046	7234.33400	4140.52000	1	2.399E+00	1.206E-01	1.978E+01	1.476E-04
pp047	8206.31900	4984.61300	4	1.658E+01	3.137E-01	3.038E+00	2.326E-04
pp048	8462.10500	5470.60600	4	1.149E+01	6.702E-02	6.992E+00	2.538E-04
pp049	7963.32300	5585.70900	1	4.373E+00	8.793E-03	3.519E+00	1.306E-04
pp050	7726.72100	5125.29500	4	2.644E+01	8.799E-02	4.519E+00	3.171E-04
pp051	7061.67900	5208.42500	4	1.091E+01	6.268E-02	7.078E-01	1.766E-04
pp052	7061.67900	4824.74700	4	1.268E+01	6.174E-02	9.727E-01	2.039E-04
pp053	6588.47500	1710.55700	1	1.729E+01	1.381E-01	4.883E+00	3.424E-04
pp054	7074.46800	1697.76800	1	1.802E+01	1.799E-01	9.941E+00	3.329E-04
pp055	6850.65600	1972.73700	1	1.157E+01	3.798E-01	1.311E+01	2.900E-04
pp056	6844.26100	1429.19300	1	1.180E+01	5.616E-02	7.848E+00	4.309E-04
pp057	2457.53700	2893.56500	1	3.915E-01	9.070E-02	1.983E+00	3.175E-04
pp058	2802.84800	2778.46200	1	1.319E+00	1.901E-01	4.902E+00	3.547E-04
pp059	2917.95200	3417.92600	1	6.701E-01	6.282E-02	1.322E+00	3.527E-04
pp060	2035.49100	2241.31200	1	2.052E+00	4.355E-01	1.235E+00	3.345E-04
pp061	2559.85200	2484.30800	1	1.176E+00	3.590E-01	3.733E+00	2.550E-04
pp062	3154.55300	2260.49600	1	1.584E+00	1.504E-01	2.669E+00	2.607E-04
pp063	3458.29900	1883.21200	1	8.631E+00	3.170E-02	2.424E+00	2.338E-04
pp064	4238.44500	1653.00500	1	1.398E+01	1.046E-01	1.635E+00	2.071E-04
pp065	4251.23400	1256.53700	1	1.993E+01	1.542E-02	3.404E+00	2.611E-04
pp066	4558.17700	1358.85200	1	1.365E+01	5.539E-02	1.957E+00	1.383E-04
pp067	3381.56300	1435.58700	1	1.515E+01	3.402E-02	5.889E+00	2.230E-04
pp068	2217.73800	1525.11200	1	2.205E+00	2.660E-02	1.211E+00	2.628E-04
pp069	1552.69600	1665.79400	1	1.330E+00	3.709E-02	1.503E+00	3.088E-04
pp070	913.23200	1218.17000	1	5.633E+00	5.797E-02	5.054E-01	3.085E-04
pp071	1539.90700	1103.06600	1	2.654E+00	5.516E-02	6.655E-01	2.413E-04
pp072	1028.33500	1729.74100	1	3.563E+00	1.340E-01	1.721E+00	4.304E-04
pp073	2831.62400	1013.54100	1	1.022E+01	2.491E-02	3.381E+00	1.182E-04
pp074	2869.99200	489.18000	1	8.131E+00	4.876E-02	2.288E+00	1.490E-04
pp075	2946.72700	1896.00100	1	3.109E+00	6.234E-02	4.334E+00	1.874E-04
pp076	2946.72700	1678.58400	1	8.757E+00	3.698E-02	3.894E+00	1.453E-04
pp077	388.87100	335.70900	1	2.938E+00	1.243E-02	9.029E-01	1.971E-04
pp078	1284.12100	284.55200	1	1.655E+00	1.988E-01	9.635E-01	1.413E-04
pp079	2383.99900	335.70900	1	1.015E+01	7.631E-02	1.507E+00	1.834E-04
pp080	4097.76300	386.86600	1	1.379E+01	3.054E-01	2.221E+00	2.214E-04
