ppid	easting	northing	draincond
1	1322.415499	5824.908648	1.0
2	1565.411845	5927.222899	2.0
3	1859.565317	5831.303289	3.0
4	2115.350944	5716.199756	4.0
5	2396.715134	5690.621194	5.0
6	2569.370432	5422.046285	6.0
7	2773.998934	5377.2838	7.0
8	3164.072016	5415.651644	8.0
9	3439.041565	5338.915956	9.0
10	3771.562881	5319.732034	10.0
11	3988.980664	5415.651644	11.0
12	4289.528776	5466.80877	12.0
13	4494.157278	5306.942753	13.0
14	4711.575061	5063.946407	14.0
15	4909.808922	5166.260658	15.0
16	5159.199909	5159.866017	16.0
17	5280.698082	5057.551766	17.0
18	5383.012333	4948.842875	18.0
19	5446.958739	4840.133983	19.0
35	5530.089068	4788.976857	35.0
