icpl     elevation      conductance     reach
2830     140.94892883    23.8430553  1
2842     139.41760254    24.0023972  1
2843     138.98307800    24.0016822  1
2845     139.76692200    23.9940547  1
2846     140.12881470    23.9336346  1
2847     139.87527466    23.9833186  1
2848     139.36170959    24.0019328  1
2854     138.29095459    24.0184587  1
2855     137.97273254    24.0706769  1
2856     137.55987549    24.1947417  1
2857     137.21325684    24.3326541  1
2858     137.65238953    24.1671144  1
2870     136.57574463    24.4953706  1
2871     136.24092102    24.6613857  1
2874     135.90707397    24.8077644  1
2875     135.57432556    24.9167103  1
2880     134.91270447    24.9805696  1
2881     134.57838440    25.0040238  1
2884     134.23027039    25.0034139  1
2885     133.87829590    25.0036600  1
2898     133.16310120    25.0328585  1
2899     132.82168579    25.1141985  1
2902     132.48745728    25.2559398  1
2904     132.61286926    25.2850884  1
2905     132.24163818    25.4690448  1
2910     131.51754761    25.6625930  1
2911     131.16175842    25.8269250  1
2914     130.80834961    25.9360708  1
2915     130.45629883    25.9875456  1
2925     129.78453064    25.9997283  1
2926     129.45254517    26.0012425  1
2929     129.12196350    26.0200102  1
2932     129.15356445    26.0303794  1
2933     128.80433655    26.0919112  1
2938     128.09814453    26.1971644  1
2939     127.74836731    26.3409735  1
2942     127.42294312    26.5070706  1
2943     127.09448242    26.6726674  1
2950     126.43228149    26.8150042  1
2951     126.12805176    26.9179758  1
2953     126.11300659    26.9333801  1
2956     125.71177673    26.9853165  1
2957     125.38627625    27.0006203  1
2962     124.74716187    27.0004682  1
2963     124.42984009    27.0149654  1
2966     124.11621094    27.0752184  1
3010     106.08220673    31.1296762  1
3011     104.91427612    31.2600503  1
3015     103.56811523    31.8175758  1
3017     102.69724274    32.0502554  1
3018     102.99445343    31.9561082  1
3019     102.89657593    32.0301893  1
3020     103.82995605    31.5472508  1
3021     103.58644104    31.7431226  1
3022     104.31425476    31.4474878  1
3030     101.16681671    32.1776188  1
3031     100.76856232    32.3913629  1
3036     100.05654144    32.7075362  1
3037      99.72547150    32.9459355  1
3040      99.40077209    33.0070346  1
3041      99.15164185    33.0105277  1
3042     102.18315887    32.0471849  1
3043     102.10232544    32.0188028  1
3046     102.05285645    32.0540300  1
3062      97.68768311    33.7529199  1
3063      98.71369171    33.1926621  1
3064      98.47105408    33.6339523  1
3065      97.54783630    34.1225188  1
3066      97.51295471    34.1287624  1
3077      96.86720276    34.0617274  1
3078      96.47791290    35.6890903  1
3081      95.99910736    37.1374703  1
3261     157.20172119    20.0112246  1
3264     156.84829712    20.0836620  1
3265     156.52485657    20.2286978  1
3269     155.48519897    20.6763588  1
3270     155.87597656    20.4326741  1
3271     155.54989624    20.6551367  1
3272     155.12814331    20.8581007  1
3273     154.77615356    20.9704355  1
3286     154.10334778    21.0130894  1
3287     153.77345276    21.0116921  1
3290     153.44372559    21.0005637  1
3291     153.11407471    21.0104911  1
3296     152.43653870    21.0631213  1
3297     152.09403992    21.1681774  1
3300     151.75161743    21.3213969  1
3301     151.40982056    21.5042959  1
3314     150.75207520    21.6883023  1
3315     150.42671204    21.8438527  1
3317     150.49763489    21.8507308  1
3320     150.14834595    21.9540055  1
3321     149.79924011    22.0044857  1
3326     149.10162354    22.0137787  1
3327     148.75845337    22.0041049  1
3330     148.42298889    22.0014704  1
3331     148.08755493    22.0293641  1
3344     144.71214294    23.0043565  1
3347     147.41751099    22.1034189  1
3348     147.08271790    22.2271369  1
3350     146.39512634    22.5970223  1
3351     146.74858093    22.3897906  1
3352     146.42578125    22.5684972  1
3355     145.68450928    22.7634999  1
3356     145.36201477    22.8911322  1
3359     145.03918457    22.9690494  1
3360     144.71365356    23.0026101  1
3369     142.86938477    23.1414538  1
3371     143.59378052    23.0066278  1
3372     143.91931152    23.0033192  1
3373     143.55433655    23.0014549  1
3374     143.19950867    23.0309237  1
3375     142.81011963    23.0963243  1
3379     141.66189575    23.4863493  1
3380     142.06065369    23.2591842  1
3381     141.77708435    23.4108339  1
3382     141.35147095    23.6457225  1
3383     141.20858765    23.7880110  1
3423     124.18763733    27.0853186  1
3424     123.81753540    27.2148949  1
3431     123.07929993    27.4039576  1
3432     122.70878601    27.6168158  1
3435     122.33508301    27.8040154  1
3436     121.95627594    27.9297534  1
3441     121.42705536    27.9883213  1
3443     121.40378571    27.9779625  1
3444     121.02072144    27.9930219  1
3447     120.63170624    27.9939358  1
3448     120.25042725    28.0090283  1
3455     119.90151215    28.0587639  1
3456     119.61042786    28.1523641  1
3459     119.32991791    28.1775571  1
3462     118.94729614    28.3165642  1
3463     118.55519104    28.4804165  1
3468     117.96264648    28.6476532  1
3469     117.66700745    28.7948592  1
3472     117.36540985    28.9039821  1
3474     117.26510620    28.9133582  1
3475     116.87754822    28.9741515  1
3488     116.20101166    28.9973251  1
3489     115.89495850    28.9991240  1
3492     115.58674622    29.0005977  1
3493     115.27692413    29.0214880  1
3498     114.65421295    29.0754388  1
3499     114.33720398    29.1674497  1
3506     114.44267273    29.1756130  1
3509     114.08169556    29.3006853  1
3510     113.71822357    29.4476063  1
3523     112.98375702    29.6009644  1
3524     112.61254120    29.7438487  1
3527     112.24895477    29.8612334  1
3528     111.90277100    29.9431700  1
3533     111.20854187    29.9874405  1
3534     110.86061096    30.0012236  1
3537     110.51216888    30.0010252  1
3538     110.18052673    30.0098564  1
3549     108.97172546    30.4780248  1
3554     107.76271057    31.0006880  1
3556     107.89952850    30.8515434  1
3557     107.86071777    30.6588019  1
3558     107.41826630    30.8123168  1
3559     107.17255402    30.9492037  1
3560     106.71498108    30.9950605  1
3563     109.65287781    30.0510377  1
3564     109.39402771    30.1397462  1
3567     109.13790894    30.2759718  1
3568     108.88316345    30.4434086  1
3578     105.41850281    31.0163305  1
3579     105.93222809    31.0018049  1
3580     105.84342957    31.0035146  1
3581     105.46980286    31.0661051  1
1270     155.52236938    1.45428062  2
1272     154.78224182    1.90006386  2
1273     155.20268250    1.67186212  2
1274     154.88928223    1.85567670  2
1277     156.68557739    1.06991131  2
1278     157.09468079    1.00100596  2
1279     156.74327087    1.03661558  2
1282     155.97956848    1.17923380  2
1283     155.60957336    1.36256746  2
1291     154.18037415    1.97977792  2
1292     153.88221741    1.99987363  2
1295     153.56172180    2.00128435  2
1296     153.23962402    2.02473453  2
1301     152.58436584    2.09679837  2
1302     152.25610352    2.22585513  2
1305     151.87274170    2.40016685  2
1307     151.93804932    2.44313548  2
1308     151.60000610    2.64095429  2
1321     150.83131409    2.81073524  2
1322     150.44529724    2.92452377  2
1329     150.54914856    2.95537236  2
1332     150.18405151    2.99526667  2
1334     150.17329407    2.99928247  2
1335     149.80624390    3.00006641  2
1340     149.00823975    3.01295678  2
1343     149.05787659    3.03250503  2
1344     148.65611267    3.10492209  2
1347     148.24130249    3.24287060  2
1349     148.29792786    3.32131692  2
1350     147.88652039    3.51692379  2
1462     147.91566467    3.60088214  2
1469     147.22166443    3.78368266  2
1470     146.88406372    3.91784030  2
1473     146.53788757    3.98395842  2
1475     146.56040955    3.99022989  2
1476     146.22366333    4.00029925  2
1481     145.57244873    4.00746675  2
1482     145.25161743    4.05401766  2
1485     144.93038940    4.16675226  2
1486     144.60864258    4.34552328  2
1493     143.96855164    4.56064214  2
1494     143.64738464    4.76325885  2
1497     143.32658386    4.90881103  2
1498     143.00633240    4.98110157  2
1503     142.16169739    4.99904583  2
1506     142.15988159    4.99923126  2
1507     141.72332764    5.00476490  2
1509     141.71112061    5.02534376  2
1512     141.28555298    5.07438177  2
1516     141.10411072    5.15094976  2
1518     140.95037842    5.26444335  2
1521     140.82901001    5.40116137  2
1522     140.34501648    5.53457669  2
1524     140.21723938    5.67710108  2
1645     140.14982605    5.79289860  2
1652     139.28143311    5.89572892  2
1654     138.95700073    5.95343957  2
1655     138.74923706    5.99192930  2
1658     138.48187256    5.99939831  2
1660     138.38284302    6.00329530  2
1663     137.99647522    6.01225213  2
1664     137.73205566    6.05795559  2
1669     137.15771484    6.19750304  2
1676     137.05950928    6.26404615  2
1677     136.67478943    6.49511609  2
1680     136.36970520    6.74407844  2
1681     136.06427002    6.91959328  2
1691     135.16586304    6.98236312  2
1694     134.81555176    6.95330253  2
1695     134.46473694    6.94858007  2
1700     133.75016785    6.99079612  2
1701     133.38543701    7.08569927  2
1703     133.04258728    7.39759252  2
1704     133.07005310    7.22713562  2
1705     132.76594543    7.40000796  2
1706     135.45285034    6.98704054  2
1707     135.14935303    6.98070275  2
1719     132.29849243    7.58199109  2
1720     131.93713379    7.75170786  2
1723     131.60272217    7.88385321  2
1724     131.27137756    7.96464017  2
1729     130.62205505    7.99632708  2
1730     130.32788086    8.00001920  2
1732     130.20785522    8.00087506  2
1735     129.83924866    8.01753382  2
1736     129.56266785    8.08035846  2
1749     129.04017639    8.20986044  2
1750     128.79907227    8.39707993  2
1757     128.61218262    8.44896810  2
1760     128.24185181    8.65782051  2
1761     127.87338257    8.83478340  2
1766     127.29563904    8.94635787  2
1768     127.25073242    8.95574911  2
1769     126.90371704    8.99527176  2
1772     126.55737305    8.99866949  2
1773     126.21058655    9.00615875  2
1786     125.65942383    9.05319234  2
1787     125.34574890    9.15790808  2
1790     125.03036499    9.31691189  2
1791     124.71384430    9.50819617  2
1796     124.03490448    9.69894754  2
1797     123.63904572    9.85595808  2
1800     123.34184265    9.95644604  2
1801     123.05781555    9.99732498  2
1810     121.71968079    10.3874337  2
1815     120.83704376    10.6187195  2
1816     120.33828735    10.8255961  2
1817     120.51295471    10.9679736  2
1818     119.99619293    10.9991200  2
1819     120.05545807    10.9495680  2
1821     122.35668182    10.0124902  2
1822     122.04370880    10.0388027  2
1823     122.51847076    10.0007523  2
1825     121.79590607    10.1261456  2
1826     121.55549622    10.3003471  2
1838     118.73722076    11.1109938  2
1839     118.18402863    11.2622836  2
1840     118.99983978    10.9966677  2
1841     118.73526001    11.0162548  2
1844     118.48886871    11.0959894  2
1850     117.45323944    11.4601237  2
1851     117.13285065    11.6671144  2
1854     116.81497955    11.8407817  2
1855     116.49938202    11.9509121  2
1865     116.06570435    11.9944624  2
1868     115.83982086    11.9874583  2
1869     115.40920258    12.0096942  2
1872     115.23652649    12.0487793  2
1873     115.09064484    12.1447816  2
1875     114.84571838    12.2423361  2
1880     114.56913757    12.4233250  2
1887     114.23275757    12.5535502  2
1888     113.70044708    12.7446320  2
1891     113.37372589    12.8816140  2
1893     113.36968994    12.9490343  2
1894     112.90527344    12.9917002  2
1897     112.90147400    12.9979594  2
1904     112.52159882    12.9995171  2
1906     112.03302002    13.0080587  2
1907     112.04551697    13.0518013  2
2031     111.38140106    13.1138040  2
2033     111.68189240    13.2060276  2
2036     110.77936554    13.3462764  2
2039     111.11810303    13.4681975  2
2040     110.37083435    13.6359815  2
2042     110.52101898    13.7423282  2
2047     109.83957672    13.8787481  2
2054     109.47418213    13.9352750  2
2055     109.04861450    13.9979870  2
2057     108.94142151    14.0035312  2
2060     108.60946655    14.0037461  2
2061     108.32830048    14.0192843  2
2063     108.59603882    14.0052054  2
2064     108.28948975    14.0207520  2
2073     106.86313629    14.9104883  2
2076     105.80738831    14.9949350  2
2077     105.36038208    15.0008250  2
2078     105.41987610    14.9873429  2
2080     104.90682220    15.0396436  2
2081     104.44629669    15.1797170  2
2086     107.59757233    14.1170523  2
2087     107.23598480    14.3182677  2
2088     106.96956635    14.6485533  2
2089     106.31630707    14.8512518  2
2090     106.76570129    14.5678756  2
2100     103.73176575    15.4181485  2
2101     103.55423737    15.6881470  2
2104     103.45330811    15.9034885  2
2106     103.13768005    15.9369742  2
2107     102.71176910    16.0319589  2
2112     102.47946930    16.0282863  2
2113     102.54695892    16.0373523  2
2120     101.72594452    16.2064518  2
2123     101.32280731    16.4274245  2
2125     101.38003540    16.6857826  2
2126     100.87449646    16.9152616  2
2129     101.02288818    17.0012431  2
2136     100.39961243    17.0145024  2
2137     100.78137970    17.0324496  2
