ppid	easting	northing	draincond
1	1322.415499	5824.908648	1.0
2	1565.411845	5927.222899	2.0
3	1859.565317	5831.303289	3.0
4	2115.350944	5716.199756	4.0
5	2396.715134	5690.621194	5.0
6	2569.370432	5422.046285	6.0
7	2773.998934	5377.2838	7.0
8	3164.072016	5415.651644	8.0
9	3439.041565	5338.915956	9.0
10	3771.562881	5319.732034	10.0
11	3988.980664	5415.651644	11.0
12	4289.528776	5466.80877	12.0
13	4494.157278	5306.942753	13.0
14	4711.575061	5063.946407	14.0
15	4909.808922	5166.260658	15.0
16	5159.199909	5159.866017	16.0
17	5280.698082	5057.551766	17.0
18	5383.012333	4948.842875	18.0
19	5446.958739	4840.133983	19.0
20	1277.653015	4328.562728	20.0
21	1584.595767	4360.535932	21.0
22	1942.695646	4328.562728	22.0
23	2288.006242	4398.903776	23.0
24	2601.343636	4565.164434	24.0
25	2972.232795	4622.7162	25.0
26	3272.780907	4584.348356	26.0
27	3637.275426	4507.612667	27.0
28	3918.639616	4482.034105	28.0
29	4283.134135	4398.903776	29.0
30	4705.18042	4373.325213	30.0
31	5031.307095	4456.455542	31.0
32	5306.276644	4590.742996	32.0
33	5472.537302	4635.505481	33.0
34	5632.403319	4667.478685	34.0
35	5530.089068	4788.976857	35.0
36	5626.008678	4731.425091	36.0
37	5696.349726	4693.057247	37.0
38	5757.098812	4573.157734	38.0
39	5795.466657	4493.224726	39.0
40	5875.399665	4421.285018	40.0
41	5907.372868	4490.027406	41.0
42	5964.924635	4590.742996	42.0
43	6001.693819	4680.267966	43.0
44	6067.238886	4876.903167	44.0
45	6112.00137	5068.742387	45.0
46	6227.104903	5241.397686	46.0
47	6361.392357	5145.478076	47.0
48	6438.128045	4857.719245	48.0
49	6610.783343	4694.655907	49.0
50	6869.766291	4956.836175	50.0
51	7125.551918	4995.204019	51.0
52	7381.337546	4854.521924	52.0
53	7627.531212	4953.638855	53.0
54	7928.079324	4985.612058	54.0
55	8263.79796	4876.903167	55.0
56	8541.964829	4963.230816	56.0
57	8816.934379	4988.809379	57.0
