ppname	easting	northing	zone	kx1	kx2	kx3	rch
pp001	1319.291	8763.846	1	  4.3279100E+00	  9.9405919E-02	  3.5539490E+00	  2.2387534E-04
pp002	2061.07	8712.688	1	  4.3779670E+00	  9.9363740E-02	  3.6628090E+00	  2.1675026E-04
pp003	1677.391	9147.524	1	  4.5064560E+00	  9.9577492E-02	  3.9273070E+00	  2.2625944E-04
pp004	1677.391	8226.696	1	  4.0933590E+00	  9.8946194E-02	  3.0818530E+00	  2.1049929E-04
pp005	1319.291	3136.562	1	  2.7948590E+00	  8.1073777E-02	  6.9594390E+00	  1.3544991E-04
pp006	603.092	3724.869	1	  2.1493920E+00	  7.6071037E-02	  1.5254300E+00	  1.5026259E-04
pp007	603.092	3059.826	1	  2.0980630E+00	  7.6975632E-02	  1.5953530E+00	  1.4904492E-04
pp008	1268.134	3750.447	1	  2.7832570E+00	  7.8085909E-02	  6.3002130E+00	  1.3795364E-04
pp009	1779.706	3750.447	1	  3.4784060E+00	  8.4570913E-02	  9.2648450E+00	  1.4397003E-04
pp010	2316.855	3520.24	1	  4.2020700E+00	  9.7968433E-02	  6.0797340E+00	  1.5028183E-04
pp011	2572.641	3929.497	1	  4.4697610E+00	  1.0248370E-01	  4.3995170E+00	  1.5195231E-04
pp012	2035.491	4185.283	1	  3.8169140E+00	  8.7974409E-02	  7.1199260E+00	  1.5249150E-04
pp013	3825.991	4313.176	1	  5.3218610E+00	  1.4845580E-01	  2.6237780E+00	  1.3824701E-04
pp014	3595.784	4082.969	1	  5.1025210E+00	  1.4065520E-01	  2.2788820E+00	  1.3504732E-04
pp015	4158.512	4082.969	1	  5.4255820E+00	  1.5653600E-01	  3.2278990E+00	  1.3853378E-04
pp016	3928.305	3776.026	1	  5.2094760E+00	  1.5169180E-01	  2.6609270E+00	  1.3126099E-04
pp017	3928.305	3110.983	1	  5.0265080E+00	  1.6308620E-01	  2.8939680E+00	  1.3321210E-04
pp018	4772.397	3008.669	1	  5.0898460E+00	  1.7637990E-01	  3.2449640E+00	  1.7025271E-04
pp019	4158.512	3366.769	1	  5.1605080E+00	  1.6215870E-01	  3.0039670E+00	  1.3430767E-04
pp020	4337.562	2676.148	1	  5.0625900E+00	  1.8780560E-01	  3.5318750E+00	  1.5221873E-04
pp021	5974.59	9019.631	1	  4.0570600E+00	  1.0893470E-01	  2.5347300E+00	  2.0425996E-04
pp022	5590.911	9607.938	1	  4.1938170E+00	  1.0790740E-01	  2.6071810E+00	  2.2944144E-04
pp023	6383.847	8456.903	1	  4.1977710E+00	  1.1022060E-01	  4.5993180E+00	  1.8098496E-04
pp024	6562.897	8994.053	1	  4.3625430E+00	  1.1809030E-01	  3.6266130E+00	  1.8325488E-04
pp025	6204.797	7843.017	1	  4.2223750E+00	  1.0581770E-01	  5.3798510E+00	  1.7722624E-04
pp026	6716.368	7919.753	1	  4.4101680E+00	  1.1349110E-01	  7.0685710E+00	  1.6951098E-04
pp027	5846.697	8354.589	1	  4.0859840E+00	  1.0277810E-01	  3.1522980E+00	  1.9631130E-04
pp028	8711.496	8789.424	1	  7.6048780E+00	  1.7052880E-01	  8.2060700E+00	  1.4593350E-04
pp029	8327.818	8188.328	1	  6.4709380E+00	  1.4901560E-01	  7.8541820E+00	  1.6385462E-04
pp030	7163.993	7344.235	1	  4.6433660E+00	  1.2482420E-01	  5.8501580E+00	  1.6517976E-04
pp031	7586.039	7408.182	1	  5.0565120E+00	  1.3061640E-01	  5.6798470E+00	  1.7046205E-04
pp032	8020.875	7139.607	1	  5.4296670E+00	  1.3717300E-01	  4.2498620E+00	  1.8181660E-04
pp033	7624.407	6691.982	1	  4.8462890E+00	  1.4193350E-01	  3.1816140E+00	  1.6828041E-04
pp034	8148.768	6743.139	1	  5.4096560E+00	  1.4183910E-01	  3.6117350E+00	  1.9045084E-04
pp035	8481.289	7472.128	1	  6.1448520E+00	  1.4034230E-01	  4.8920090E+00	  1.8702725E-04
pp036	7074.468	6628.036	1	  4.5063200E+00	  1.4086240E-01	  3.0614360E+00	  1.5401561E-04
pp037	7586.039	6244.357	1	  4.7686730E+00	  1.5743710E-01	  2.7737230E+00	  1.6201228E-04
pp038	8289.45	6078.096	1	  5.3872270E+00	  1.5508220E-01	  3.9724220E+00	  2.0692468E-04
pp039	7790.668	7868.596	1	  5.5147710E+00	  1.3468820E-01	  7.7132910E+00	  1.6873671E-04
pp040	8903.335	7958.121	1	  7.0170410E+00	  1.5031040E-01	  6.0073140E+00	  1.7629462E-04
pp041	8864.967	9812.567	1	  8.0415540E+00	  1.7410730E-01	  5.9610540E+00	  1.3868665E-04
pp042	9261.435	9467.256	1	  8.7456280E+00	  1.8252720E-01	  7.1838100E+00	  1.4961986E-04
pp043	8353.396	9480.045	1	  7.0483250E+00	  1.6766370E-01	  6.0637470E+00	  1.3777074E-04
pp044	9146.332	8840.581	1	  8.3341360E+00	  1.7682600E-01	  7.8896610E+00	  1.5289411E-04
pp045	7681.959	5489.79	4	  8.7910570E+00	  1.3212660E-01	  4.9430880E+00	  2.6439891E-04
