ppname	easting	northing	zone	kx1	kx2	kx3	rch
pp001	1319.291	8763.846	1	  1.1322300E-02	  2.8129000E-03	  5.3936700E-02	  5.1481300E-02
pp002	2061.07	8712.688	1	  1.6187600E-02	  3.3856000E-03	  1.6384560E-01	  5.5999600E-02
pp003	1677.391	9147.524	1	  4.9226000E-03	  2.9856000E-03	  3.0824900E-02	  5.3171300E-02
pp004	1677.391	8226.696	1	  1.9049300E-02	  2.9443000E-03	  1.0610610E-01	  5.7354400E-02
pp005	1319.291	3136.562	1	  5.0776600E-02	  3.2789600E-02	  7.5173430E-01	  1.1769400E-02
pp006	603.092	3724.869	1	  8.6069100E-02	  2.7705200E-02	  6.2591180E-01	  6.6660000E-03
pp007	603.092	3059.826	1	  9.3236600E-02	  1.4605000E-02	  5.9465440E-01	  8.3015000E-03
pp008	1268.134	3750.447	1	  5.9768600E-02	  5.7861400E-02	  7.5403510E-01	  9.2223000E-03
pp009	1779.706	3750.447	1	  5.5334200E-02	  8.7627400E-02	  7.2356770E-01	  8.9338000E-03
pp010	2316.855	3520.24	1	  4.5613400E-02	  9.3384100E-02	  6.0868900E-01	  8.7695000E-03
pp011	2572.641	3929.497	1	  6.0646000E-02	  1.3701000E-01	  5.8384890E-01	  8.0627000E-03
pp012	2035.491	4185.283	1	  7.8872700E-02	  1.4664370E-01	  5.8402970E-01	  8.3286000E-03
pp013	3825.991	4313.176	1	  2.7756500E-02	  1.5852620E-01	  2.7930800E-01	  2.0197700E-02
pp014	3595.784	4082.969	1	  2.7939700E-02	  1.4687570E-01	  4.0450890E-01	  1.8476400E-02
pp015	4158.512	4082.969	1	  2.3080500E-02	  1.2349140E-01	  2.5808530E-01	  3.4496600E-02
pp016	3928.305	3776.026	1	  1.7855900E-02	  1.1970050E-01	  2.9715060E-01	  3.5770900E-02
pp017	3928.305	3110.983	1	  7.9900000E-03	  2.1034230E-01	  1.8852130E-01	  5.8993500E-02
pp018	4772.397	3008.669	1	  1.0766900E-02	  2.3213230E-01	  2.1477300E-01	  1.1405880E-01
pp019	4158.512	3366.769	1	  1.0657800E-02	  1.5029760E-01	  2.4400310E-01	  6.6210000E-02
pp020	4337.562	2676.148	1	  5.4782000E-03	  4.2225090E-01	  1.1689550E-01	  1.2107370E-01
pp021	5974.59	9019.631	1	  2.6248000E-02	  2.5587700E-02	  7.3604370E-01	  7.1158800E-02
pp022	5590.911	9607.938	1	  2.3675400E-02	  2.0017700E-02	  3.7344990E-01	  5.0145100E-02
pp023	6383.847	8456.903	1	  1.8584200E-02	  3.0407500E-02	  7.0053380E-01	  7.9325400E-02
pp024	6562.897	8994.053	1	  1.7145200E-02	  5.9531300E-02	  6.9493230E-01	  7.7768800E-02
pp025	6204.797	7843.017	1	  1.8385200E-02	  8.3300000E-03	  6.8315240E-01	  7.0988500E-02
pp026	6716.368	7919.753	1	  1.2444800E-02	  2.9011300E-02	  7.1428500E-01	  8.1402100E-02
pp027	5846.697	8354.589	1	  2.6673700E-02	  9.0706000E-03	  7.2180450E-01	  6.8347000E-02
pp028	8711.496	8789.424	1	  2.9596140E-01	  3.0335870E-01	  4.0642950E-01	  7.4644300E-02
pp029	8327.818	8188.328	1	  1.7440200E-01	  1.9916920E-01	  4.9971400E-01	  9.9311900E-02
pp030	7163.993	7344.235	1	  1.3547200E-02	  3.6795700E-02	  6.0716640E-01	  8.7593200E-02
pp031	7586.039	7408.182	1	  3.3529200E-02	  6.6882200E-02	  5.9965820E-01	  9.9633000E-02
pp032	8020.875	7139.607	1	  6.8473900E-02	  9.0388300E-02	  5.5309070E-01	  1.1139090E-01
pp033	7624.407	6691.982	1	  2.3322300E-02	  6.4937800E-02	  6.1303530E-01	  1.0402010E-01
pp034	8148.768	6743.139	1	  6.7572300E-02	  9.5182500E-02	  4.7413630E-01	  1.1646640E-01
pp035	8481.289	7472.128	1	  1.5583620E-01	  1.4104470E-01	  4.4462300E-01	  1.0484710E-01
pp036	7074.468	6628.036	1	  1.0140700E-02	  4.1034700E-02	  6.3892140E-01	  8.3065400E-02
pp037	7586.039	6244.357	1	  1.6216400E-02	  8.5467700E-02	  4.7354290E-01	  1.0486320E-01
pp038	8289.45	6078.096	1	  5.8185300E-02	  1.2702620E-01	  3.0160110E-01	  1.2239370E-01
pp039	7790.668	7868.596	1	  6.7100400E-02	  1.1277330E-01	  6.2457970E-01	  1.0260780E-01
pp040	8903.335	7958.121	1	  2.6572740E-01	  2.1491840E-01	  3.4789600E-01	  7.7969900E-02
pp041	8864.967	9812.567	1	  3.0266530E-01	  2.9689290E-01	  2.8469080E-01	  4.9302000E-02
pp042	9261.435	9467.256	1	  3.9039890E-01	  3.3781060E-01	  2.4632070E-01	  4.0038700E-02
pp043	8353.396	9480.045	1	  2.0878880E-01	  2.8366490E-01	  4.3598740E-01	  6.8268600E-02
pp044	9146.332	8840.581	1	  3.7870550E-01	  3.2741570E-01	  2.9504470E-01	  5.2552500E-02
pp045	7681.959	5489.79	4	  3.6325460E-01	  2.8954400E-02	  2.4850500E-02	  2.7934000E-03
pp046	7234.334	4140.52	1	  1.2679600E-02	  1.5490420E-01	  3.5223410E-01	  7.3365300E-02
pp047	8206.319	4984.613	4	  5.9607580E-01	  3.8066100E-02	  5.9203000E-03	  6.2501000E-03
pp048	8462.105	5470.606	4	  4.4295370E-01	  2.1891800E-02	  6.6707000E-03	  4.6933000E-03
pp049	7963.323	5585.709	1	  2.5033900E-02	  1.5572070E-01	  3.4552000E-01	  1.2591580E-01
pp050	7726.721	5125.295	4	  4.9805370E-01	  4.6094600E-02	  2.0573700E-02	  3.5771000E-03
pp051	7061.679	5208.425	4	  3.8360220E-01	  6.4434400E-02	  7.2970300E-02	  1.6193000E-03
pp052	7061.679	4824.747	4	  4.2204640E-01	  7.4620700E-02	  5.9980600E-02	  1.6468000E-03
pp053	6588.475	1710.557	1	  3.8491400E-02	  1.1605920E-01	  3.2278720E-01	  8.6697300E-02
pp054	7074.468	1697.768	1	  6.0752400E-02	  7.6638500E-02	  4.3239420E-01	  5.4113500E-02
pp055	6850.656	1972.737	1	  4.9475400E-02	  8.6401800E-02	  3.4366760E-01	  7.3881800E-02
pp056	6844.261	1429.193	1	  5.1422200E-02	  8.8121000E-02	  3.7224500E-01	  6.4004200E-02
pp057	2457.537	2893.565	1	  2.4439500E-02	  1.0337940E-01	  6.2846020E-01	  1.3652100E-02
pp058	2802.848	2778.462	1	  1.9169200E-02	  1.5561610E-01	  5.6920980E-01	  1.6242400E-02
pp059	2917.952	3417.926	1	  3.1105500E-02	  1.1102480E-01	  5.3988940E-01	  1.0993300E-02
pp060	2035.491	2241.312	1	  2.4439100E-02	  8.3154900E-02	  7.3761940E-01	  2.3074900E-02
pp061	2559.852	2484.308	1	  1.7627700E-02	  1.5257290E-01	  6.6977890E-01	  1.9898600E-02
pp062	3154.553	2260.496	1	  1.2352300E-02	  3.3349550E-01	  4.7612870E-01	  3.2092700E-02
pp063	3458.299	1883.212	1	  1.1017400E-02	  5.0726540E-01	  3.8225130E-01	  5.8098200E-02
pp064	4238.445	1653.005	1	  5.8863000E-03	  7.9975990E-01	  1.9783860E-01	  1.6799860E-01
pp065	4251.234	1256.537	1	  6.3331000E-03	  6.0433700E-01	  2.0992090E-01	  1.6129340E-01
pp066	4558.177	1358.852	1	  4.4285000E-03	  6.4466870E-01	  1.7785090E-01	  1.8159930E-01
pp067	3381.563	1435.587	1	  1.2010700E-02	  4.3189890E-01	  4.5255900E-01	  6.2000900E-02
pp068	2217.738	1525.112	1	  2.1355200E-02	  1.1077990E-01	  7.8343110E-01	  3.5083000E-02
pp069	1552.696	1665.794	1	  5.0668700E-02	  3.4099200E-02	  7.0245260E-01	  2.8697500E-02
pp070	913.232	1218.17	1	  9.4952100E-02	  5.7531000E-03	  6.2304980E-01	  2.0891500E-02
pp071	1539.907	1103.066	1	  5.3400900E-02	  2.4453400E-02	  6.5604270E-01	  3.2128200E-02
pp072	1028.335	1729.741	1	  8.6633300E-02	  1.0255500E-02	  6.3977370E-01	  2.0967800E-02
pp073	2831.624	1013.541	1	  1.2782700E-02	  1.8635130E-01	  6.1375110E-01	  4.4789800E-02
pp074	2869.992	489.18	1	  1.1250700E-02	  1.0657690E-01	  5.1311010E-01	  4.3059700E-02
pp075	2946.727	1896.001	1	  1.2869800E-02	  3.0515880E-01	  6.0429800E-01	  3.5022100E-02
pp076	2946.727	1678.584	1	  1.2724900E-02	  3.0278880E-01	  6.1104670E-01	  3.9330700E-02
pp077	388.871	335.709	1	  8.1379600E-02	  1.0335000E-03	  4.5262240E-01	  9.3286000E-03
pp078	1284.121	284.552	1	  5.8372600E-02	  4.2934000E-03	  4.6798170E-01	  2.3646300E-02
pp079	2383.999	335.709	1	  1.6543800E-02	  4.4984900E-02	  5.3441290E-01	  3.5745900E-02
pp080	4097.763	386.866	1	  5.9373000E-03	  2.0155480E-01	  1.7190440E-01	  1.0622030E-01
pp081	5172.062	310.131	1	  3.6052000E-03	  1.4517620E-01	  9.9048100E-02	  1.0954410E-01
pp082	6911.405	514.759	1	  3.5897200E-02	  5.3234000E-02	  2.4210730E-01	  3.4003800E-02
pp083	8215.911	3763.237	1	  3.9045700E-02	  1.0512610E-01	  1.8627820E-01	  5.4440200E-02
pp084	7960.126	2535.466	1	  5.8496900E-02	  6.2517800E-02	  3.6270810E-01	  2.6876900E-02
pp085	7550.869	1384.43	1	  5.9228400E-02	  7.0258700E-02	  4.5032530E-01	  2.2328700E-02
pp086	5683.634	2126.209	1	  1.3056100E-02	  3.0690370E-01	  2.9516900E-01	  1.1796340E-01
pp087	5939.419	3302.822	1	  9.7795000E-03	  7.1168800E-02	  3.5421070E-01	  7.8270000E-02
pp088	7218.347	3021.458	1	  3.7842700E-02	  6.1186100E-02	  2.6100500E-01	  6.2830000E-02
pp089	9290.211	8392.956	1	  3.4146140E-01	  2.7814220E-01	  2.6121590E-01	  4.8356700E-02
pp090	9290.211	7600.021	1	  2.5595570E-01	  1.8552410E-01	  2.9247090E-01	  5.2221500E-02
pp091	9060.004	6500.143	1	  1.4632190E-01	  1.2965640E-01	  2.2432640E-01	  6.4900900E-02
