real_name,h1-3892_1,h1-1664_1,h1-162_1,h3-3521_1,h3-3988_1,h3-3417_1,h3-3829_1,h3-3357_1,h3-3594_1,h3-3892_1,h3-1152_1,h3-313_1,h3-209_1,h3-331_1,h3-707_1,h3-3956_1,h3-2270_1,h3-521_1,trib_1,total_1,dh3892_1,p-trib_1,p-total_1
0,89.8231,84.5861,85.4519,95.389,94.9223,91.5502,89.7081,88.9664,89.3521,89.7128,84.9627,98.4943,90.5954,88.4342,86.3472,87.7914,84.9647,85.3128,-8487.47,-10557.5,0.110306,-6966.69,-9024.81
1,89.7169,84.6627,85.4203,95.116,94.8676,91.4002,89.8315,88.7806,89.2033,89.594,84.9754,98.523,91.2397,88.7021,86.3032,87.3618,84.6526,85.441,-7575.26,-11461,0.122886,-5785.85,-9662.49
2,89.8709,84.8817,85.7374,95.1565,94.9418,91.6846,90.3175,88.6587,89.3393,89.7509,85.1846,98.6339,90.6634,88.2299,86.6817,87.4221,84.971,85.6145,-9115.27,-11734.7,0.119955,-7568.98,-10158.1
3,89.5155,84.6907,85.5716,95.0305,94.4018,91.5339,89.5407,88.6807,89.191,89.4133,85.2224,98.8856,90.6605,88.3694,86.5053,87.5046,84.8207,85.6946,-8862.41,-10876.3,0.102121,-7890.72,-9871.21
4,89.8771,84.4301,85.3356,95.2552,94.8333,91.5057,89.5375,88.2516,89.2696,89.7737,84.9292,98.724,90.5766,88.2595,86.0949,87.0678,85.0318,85.1311,-9424.33,-11958.9,0.103447,-8427.1,-10934.9
5,89.8355,84.5335,85.8836,95.1346,94.6825,91.9523,90.3621,88.4789,89.161,89.7224,85.0327,98.6194,91.0029,88.5383,86.645,87.3066,84.5277,85.6661,-8637.42,-11949.7,0.113057,-6997.15,-10254.3
6,89.7762,84.571,85.4334,95.4681,94.4193,91.8036,90.3485,88.7833,89.3374,89.6856,84.8767,98.7631,90.385,87.7431,86.095,87.8139,84.8195,85.5153,-7813.93,-10355.3,0.0906079,-6634.44,-9161.83
7,89.8075,84.4835,85.4257,95.1353,94.6535,91.8758,90.2124,88.771,89.5632,89.7209,84.9938,98.7249,90.7964,88.6641,86.0859,87.3683,84.608,85.4833,-7780.74,-11593.2,0.0866123,-6098.16,-9885.9
8,89.8316,84.666,85.9643,95.3968,94.4842,91.616,89.995,88.5092,88.9884,89.7438,85.1185,98.6967,91.1251,89.0369,86.4347,87.5972,84.7411,85.8442,-7184.06,-10312.7,0.0878357,-5546.5,-8636.46
9,89.8577,84.7069,85.4908,95.2732,94.7464,91.7966,90.275,88.6348,89.1758,89.7528,85.1307,98.975,90.4251,88.4189,86.8764,87.688,84.8992,85.7537,-7742.37,-10296.8,0.104937,-6093.85,-8620.24
10,89.383,84.9091,85.6462,95.8506,94.0535,92.0022,89.6979,88.4778,89.1853,89.2875,85.3271,98.4438,90.3979,87.9268,86.1411,87.0248,85.6996,85.5147,-9483.44,-10819,0.0954842,-8088.23,-9411.64
11,89.6975,84.542,85.4513,95.5789,94.7372,91.5824,89.9858,88.8504,89.2864,89.5959,84.7938,98.7788,90.9108,88.2814,86.3124,87.7004,84.6933,85.5386,-7597.45,-10740.9,0.10158,-5792.45,-8917.8
12,89.7598,84.6934,85.4753,95.4824,94.5629,91.644,89.9987,88.3718,89.2503,89.652,84.9843,98.5493,90.9082,88.4684,86.8197,87.5785,84.8139,85.7707,-8375.03,-10497.8,0.107786,-6570.8,-8690.27
