real_name,h1-3892_1,h1-1664_1,h1-162_1,h3-3521_1,h3-3988_1,h3-3417_1,h3-3829_1,h3-3357_1,h3-3594_1,h3-3892_1,h3-1152_1,h3-313_1,h3-209_1,h3-331_1,h3-707_1,h3-3956_1,h3-2270_1,h3-521_1,trib_1,total_1,dh3892_1,p-trib_1,p-total_1
0,89.7724,84.5846,85.4121,94.8345,94.7731,91.297,89.5908,88.7307,89.1799,89.6624,84.8315,98.5085,90.6813,88.3556,86.5338,87.7209,84.8955,85.5071,-8638.06,-10318.8,0.109991,-7201.8,-8869.12
1,89.5278,84.5909,85.3978,94.6242,94.2551,91.1933,89.5735,88.3621,88.8726,89.4064,84.9037,98.605,91.2489,88.3999,86.5381,87.266,84.5679,85.5425,-7402.37,-11443.5,0.121471,-5629.4,-9655.12
2,89.9066,84.8913,85.5422,94.5373,95.0592,91.5717,90.1751,88.3324,89.1532,89.7896,85.0089,98.457,90.5687,87.7974,86.5501,87.345,84.8251,85.5391,-9096.37,-11443.7,0.116991,-7581.32,-9891.1
3,89.7254,84.7298,85.541,94.6902,94.6054,91.5881,89.8441,88.5071,89.1715,89.6269,85.0556,98.5256,90.81,88.262,86.5269,87.4455,84.6564,85.6628,-8969.59,-10811.9,0.0985557,-8003.64,-9809.28
4,89.7962,84.5164,85.4409,94.8161,95.0848,91.4938,89.5095,88.068,89.0403,89.6996,84.8838,98.6227,90.7043,88.3641,86.3514,87.31,84.8689,85.3223,-9649.81,-11833.9,0.0965851,-8803.18,-10960.2
5,89.8189,84.5036,85.6304,94.6888,94.6716,91.8379,90.1592,88.1618,89.0326,89.7069,84.8766,98.2547,91.081,88.32,86.4506,87.2773,84.3132,85.637,-8637.14,-11888.5,0.112036,-7058.5,-10241.7
6,89.8032,84.5805,85.5799,95.0783,94.6164,91.596,90.2081,88.3868,89.1894,89.7165,84.745,98.7331,90.6026,87.948,86.4842,87.7584,84.7031,85.7219,-7645.29,-9948.88,0.0867722,-6517.29,-8796.77
7,89.8754,84.5214,85.6415,94.6055,94.6487,91.7293,90.1197,88.4438,89.4471,89.79,85.0651,98.6634,90.9188,88.6505,86.2325,87.4196,84.6125,85.464,-7536.09,-11832.1,0.0853819,-5998.79,-10255
8,89.9666,84.4858,85.6982,94.8291,94.9518,91.3455,90.1723,88.4196,89.0008,89.8803,84.8703,98.5433,91.1648,88.8567,86.6235,87.5965,84.6174,85.8458,-7184.48,-10189.3,0.0862984,-5612.24,-8568.51
9,89.8749,84.6832,85.3454,94.7966,94.874,91.6051,90.1927,88.2347,88.9782,89.773,84.882,98.6476,90.3127,88.1074,86.6755,87.6513,84.7968,85.7136,-7647.96,-9750.66,0.101852,-6017.27,-8093.59
10,89.6615,84.973,85.3675,95.5689,95.1363,91.8573,89.871,88.1789,89.1662,89.5602,85.0598,98.2154,90.5027,87.8314,86.0689,87.0289,85.5698,85.422,-9554.98,-10543.6,0.10128,-7973.13,-8950.03
11,89.7717,84.5516,85.4808,95.2308,94.676,91.6973,90.1513,88.6707,89.1742,89.6739,84.7205,98.6527,91.1467,88.3374,86.447,87.7604,84.6155,85.6408,-7512.03,-10628,0.0977844,-5924.41,-9012.15
12,89.8936,84.63,85.3277,95.2258,94.942,91.4497,90.0468,88.0851,89.1125,89.7825,84.7664,98.6171,90.9777,88.3215,86.7324,87.6222,84.735,85.6554,-8322.71,-10258.2,0.111163,-6574.63,-8501.68
13,89.7731,84.663,85.3889,95.2121,94.7266,91.6362,90.3909,88.3679,89.1576,89.6766,84.761,99.1364,90.9285,88.0553,86.4793,87.3435,84.6867,85.401,-7693.84,-9852.92,0.0964464,-6022.16,-8157.86
14,89.8178,84.5983,85.3742,94.7336,94.9106,91.6096,90.0307,88.3885,89.0939,89.7,84.9577,98.4246,91.0201,88.4913,86.8963,87.2398,84.68,85.6281,-9204,-12435.6,0.117832,-7812.1,-11007.5
15,89.886,84.625,85.758,94.9055,95.1469,91.3904,89.9591,88.6148,89.3526,89.7866,84.6882,98.7888,90.6807,88.1972,86.5509,87.3967,84.7615,85.6786,-8363.55,-10539.3,0.099422,-6857.15,-9012.35
16,89.8173,84.5441,85.5076,94.9899,94.6883,91.3872,89.9811,88.3002,88.9994,89.7012,84.9938,98.443,91.1283,88.4832,86.5418,87.2004,84.5023,85.666,-8523.06,-12377.5,0.116127,-6900.94,-10719.8
17,89.8348,84.6023,85.3819,94.8962,95.2855,91.4135,89.6529,88.3954,89.1952,89.7314,85.111,98.6987,90.8482,88.0408,86.6661,87.4115,84.8201,85.6066,-8178.68,-11001.6,0.103472,-6838.89,-9595.46
18,89.8623,84.6911,85.4676,94.9229,95.0485,91.4724,90.0973,88.1246,89.0851,89.7642,84.8563,98.6838,91.0252,88.399,86.4949,87.3451,84.86,85.4887,-7920.88,-10669,0.0981177,-6359.35,-9071.63
19,89.7822,84.5959,85.6623,95.0958,94.7037,91.9166,90.2058,88.1494,88.7913,89.6794,85.0045,98.4983,90.6693,88.1109,86.6205,87.3373,84.9887,85.916,-8096.32,-11807.9,0.102851,-6752.89,-10409
20,89.9709,84.6509,85.4143,95.1266,94.4556,91.6786,89.7921,88.6955,89.2005,89.859,84.8236,98.2551,90.453,87.8868,86.2011,87.4815,84.8452,85.3016,-9111.43,-10833.8,0.111975,-7496.86,-9204.37
21,89.876,84.6164,85.3485,94.8258,94.595,91.5192,90.0709,88.0957,88.99,89.7771,84.8793,98.3472,90.8733,87.626,86.5368,87.4836,84.8857,85.6512,-8564.75,-10926.1,0.0989012,-7008.21,-9352.9
22,89.9368,84.6662,85.5017,94.9919,94.3254,91.8867,90.36,88.3546,89.0963,89.8449,84.7149,97.6822,90.6234,88.4178,86.4612,87.6186,84.6583,85.514,-8122.89,-11470.5,0.0919028,-6843.57,-10137.4
23,90.0308,84.4426,85.3939,94.7751,94.7473,91.2358,90.0657,88.3717,89.2483,89.9414,84.8848,98.677,90.9155,88.3275,86.2432,87.3198,84.7,85.671,-7761.48,-10417,0.0893493,-5946.74,-8590.18
24,89.4883,84.6794,85.3293,94.8684,94.4237,91.2918,89.9877,88.3479,88.9344,89.4223,84.9459,98.6325,90.662,88.2988,86.6501,87.3028,84.7269,85.562,-9129.08,-11991.6,0.0660194,-8258.27,-11086.1
