iteration,total_runs,obs_realization,par_realization,heads1,heads3,streams,headiff,pstreams
0,200,0,0,75.3351,212.066,577.592,591.389,0
0,200,1,1,1281.89,586.655,222.733,29318.5,0
0,200,2,2,930.332,1061.28,7.38122,2049.09,0
0,200,3,3,59.6745,359.304,7.13542,146.93,0
0,200,4,4,510.523,1049.82,278.281,120.989,0
0,200,5,5,107.023,129.306,3.00235,15383.1,0
0,200,6,6,875.179,575.188,103.45,349.735,0
0,200,7,7,505.959,672.742,1026.62,1132.26,0
0,200,8,8,183.506,943.778,7.98541,161.946,0
0,200,9,9,709.226,417.852,590.189,3536.62,0
0,200,10,10,4142.96,1674.22,35.8455,339.248,0
0,200,11,11,983.35,534.852,14.5234,1406.96,0
0,200,12,12,100.207,391.546,18.6679,1088.3,0
0,200,13,13,105.526,364.525,119.135,275.212,0
0,200,14,14,1292.81,669.697,280.514,19928,0
0,200,15,15,495.347,656.717,130.182,1478.69,0
0,200,16,16,23.1274,199.255,202.18,1048.02,0
0,200,17,17,185.001,231.842,359.639,16864.5,0
0,200,18,18,2722.74,1510.24,9.65313,138.267,0
0,200,19,19,694.557,508.482,143.014,568.851,0
0,200,20,20,118.093,165.936,30.8496,7206.88,0
0,200,21,21,1062.42,571.169,115.407,207.811,0
0,200,22,22,211.156,668.722,18.9607,179.265,0
0,200,23,23,916.553,1082.18,4.09375,7897.85,0
0,200,24,24,812.928,130.899,36.4946,1070.67,0
0,200,25,25,335.146,824.804,880.906,43.4402,0
0,200,26,26,407.89,299.196,28.8283,1289.96,0
0,200,27,27,2871.41,707.074,3.99283,3466.29,0
0,200,28,28,59.6379,235.199,457.533,4974.34,0
0,200,29,29,2486.7,1020.11,4.55965,2931.66,0
0,200,30,30,43.0682,249.091,169.237,0.993081,0
0,200,31,31,263.553,930.103,31.0074,537.666,0
0,200,32,32,681.778,278.165,899.178,441.549,0
0,200,33,33,331.791,443.945,1140.17,4461.33,0
0,200,34,34,64.8367,101.213,672.218,12389.5,0
0,200,35,35,638.659,431.251,14.2691,901.854,0
0,200,36,36,97.9733,260.918,355.246,1015.26,0
0,200,37,37,1563.96,1341.37,290.107,986.955,0
0,200,38,38,1083.89,1444.49,225.074,19.071,0
0,200,39,39,4147.38,1145.89,278.177,65844.2,0
0,200,40,40,163.376,417.424,226.965,329.13,0
0,200,41,41,195.725,223.372,37.2063,24630.9,0
0,200,42,42,2178.42,1107.62,835.05,714.023,0
0,200,43,43,459.358,278.175,105.007,4.13122,0
0,200,44,44,879.942,571.936,361.95,1072.98,0
0,200,45,45,772.102,504.2,14.0283,1.11395e+06,0
0,200,46,46,74.1543,344.785,120.914,6816.13,0
0,200,47,47,2361.05,757.492,6.42579,1059.73,0
0,200,48,48,573.208,1351.16,126.396,233.187,0
0,200,49,49,331.703,376.143,160.937,1609.16,0
0,200,50,50,717.368,644.359,148.586,17671.5,0
0,200,51,51,136.804,490.394,60.978,328.167,0
0,200,52,52,395.724,936.708,447.052,0.530513,0
0,200,53,53,4419.49,1332.91,46.5599,750.632,0
0,200,54,54,124.519,262.447,34.1934,12283.7,0
0,200,55,55,548.937,502.25,220.179,24016.2,0
0,200,56,56,371.481,710.915,68.6266,28261.9,0
0,200,57,57,304.261,128.503,49.0582,2063.39,0
0,200,58,58,1368.24,1106.75,58.661,11981,0
0,200,59,59,66.008,520.22,789.087,9207.72,0
0,200,60,60,227.453,631.545,271.81,33944.8,0
0,200,61,61,439.102,195.232,60.9481,73035.5,0
0,200,62,62,317.838,183.079,33.4171,1227.88,0
0,200,63,63,79.2534,378.269,85.0764,57.2806,0
0,200,64,64,896.807,597.105,100.825,784.957,0
0,200,65,65,254.821,187.604,26.976,0.24332,0
0,200,66,66,460.666,386.002,211.553,8764.75,0
0,200,67,67,874.818,208.513,99.0505,30.6497,0
0,200,68,68,388.189,643.433,433.485,15130.9,0
0,200,69,69,298.49,653.816,31.7299,630.172,0
0,200,70,70,1592.74,747.242,228.948,22981.1,0
0,200,71,71,1186.09,767.695,8.33521,6894.04,0
0,200,72,72,598.836,652.844,2162,1186.38,0
0,200,73,73,203.984,383.898,375.658,1.17376,0
0,200,74,74,783.723,291.88,1.65692,1057.19,0
0,200,75,75,177.621,363.172,19.9461,177.481,0
0,200,76,76,2981.7,1151.9,29.3298,57143.7,0
0,200,77,77,483.819,480.359,97.6838,542.643,0
0,200,78,78,246.354,252.552,230.628,4322.93,0
0,200,79,79,1218.51,814.062,343.397,1613.38,0
0,200,80,80,686.609,988.809,709.242,10.5343,0
0,200,81,81,553.473,604.898,46.8124,5279.21,0
0,200,82,82,1032.62,449.946,20.0993,219.661,0
0,200,83,83,259.382,351.291,279.207,140273,0
0,200,84,84,781.253,1295.03,94.763,28.8426,0
0,200,85,85,1782.67,700.175,566.871,0.002919,0
0,200,86,86,122.336,478.039,38.0808,1166.33,0
0,200,87,87,3058.48,1643.42,12.6789,1230.06,0
0,200,88,88,57.4667,564.371,0.503797,493.06,0
0,200,89,89,676.565,336.69,53.561,635.199,0
0,200,90,90,456.017,499.657,434.414,1010.99,0
0,200,91,91,201.742,144.609,433.487,50.3435,0
0,200,92,92,1175.79,330.597,4.86532,6563.71,0
0,200,93,93,81.0378,416.005,129.971,10805,0
0,200,94,94,202.974,451.973,2.26194,442691,0
0,200,95,95,322.861,241.609,165.933,190.403,0
0,200,96,96,302.315,270.139,376.417,1083.63,0
0,200,97,97,201.995,851.241,416.57,681.667,0
0,200,98,98,838.725,439.756,52.4384,513.575,0
0,200,99,99,1348.3,1103.91,84.6746,17138.2,0
0,200,100,100,66.6882,277.885,27.6014,1.83359,0
0,200,101,101,347.312,226.629,6.29876,333.694,0
0,200,102,102,431.493,213.209,3924.8,3514.59,0
0,200,103,103,759.494,535.862,269.607,2141.35,0
0,200,104,104,94.5761,267.087,50.52,450.874,0
0,200,105,105,1256.96,483.8,185.146,40.8289,0
0,200,106,106,598.394,583.328,92.0705,576.825,0
0,200,107,107,75.0326,254.95,72.7229,461.607,0
0,200,108,108,792.85,581.151,8.7678,79110.6,0
0,200,109,109,224.154,225.752,4.70417,245.173,0
0,200,110,110,550.888,1139.95,34.1008,40432.5,0
0,200,111,111,602.312,268.798,66.904,3461.11,0
0,200,112,112,50.9169,294.228,162.312,15494.7,0
0,200,113,113,315.019,276.165,252.619,3325.19,0
0,200,114,114,52.2922,190.522,246.704,3.1031,0
0,200,115,115,2141.03,1265.06,44.4856,9136.19,0
0,200,116,116,1426.71,930.436,71.3757,6910.92,0
0,200,117,117,610.032,548.714,3.03172,46.719,0
0,200,118,118,868.396,425.121,1130.58,2939.09,0
0,200,119,119,204.68,167.716,71.1829,292.117,0
0,200,120,120,147.842,295.488,618.959,529.596,0
0,200,121,121,6942.62,3567.18,13.5426,7.86219,0
0,200,122,122,2267.66,1435.46,24.7081,1.55035,0
0,200,123,123,1042.83,684.768,233.839,1702.38,0
0,200,124,124,1895.09,1131.25,1513.38,691.993,0
0,200,125,125,1141.36,680.49,12.2031,3471.99,0
0,200,126,126,388.792,460.183,452.037,713.214,0
0,200,127,127,247.32,122.811,70.3625,510.604,0
0,200,128,128,190.399,210.037,206.326,5991.97,0
0,200,129,129,1271.5,617.942,13.574,35326.3,0
0,200,130,130,215.44,346.172,31.7145,330.559,0
0,200,131,131,314.518,382.53,123.24,868.443,0
0,200,132,132,189.488,1086.56,8.13971,2.0049e+06,0
0,200,133,133,162.874,952.712,5.7127,29679.1,0
0,200,134,134,784.327,429.786,25.3509,1518.56,0
0,200,135,135,808.527,280.045,64.1134,3.24008,0
0,200,136,136,274.71,810.151,18.0284,1882.71,0
0,200,137,137,4860.19,1277.8,296.484,63812.7,0
0,200,138,138,137.728,179.01,139.669,183313,0
0,200,139,139,331.712,216.669,12.1688,3490.21,0
0,200,140,140,1077.08,510.646,165.476,208.237,0
0,200,141,141,538.92,273.274,9.99929,187.704,0
0,200,142,142,154.744,163.317,10.4997,75.0369,0
0,200,143,143,4841.07,1531.4,1.4567,100339,0
0,200,144,144,136.563,330.934,129.589,7129.7,0
0,200,145,145,510.795,572.353,101.586,12777.4,0
0,200,146,146,86.0524,478.451,72.5128,19213.8,0
0,200,147,147,463.673,370.322,177.028,55058.4,0
0,200,148,148,57.5947,302.653,60.7895,445148,0
0,200,149,149,261.539,306.845,60.4378,4916.85,0
0,200,150,150,804.677,412.31,1396.74,276.527,0
0,200,151,151,110.991,244.828,681.16,4.05217,0
0,200,152,152,2877.68,1953.08,288.082,1690.76,0
0,200,153,153,102.752,185.885,268.361,93.3807,0
0,200,154,154,717.797,588.499,99.2596,154.528,0
0,200,155,155,117.5,136.687,18.7283,123.584,0
0,200,156,156,80.2826,535.213,3.78944,14363.5,0
0,200,157,157,433.73,456.4,159.337,75.7066,0
0,200,158,158,197.982,795.349,194.098,261.368,0
0,200,159,159,736.617,714.181,440.238,958.716,0
0,200,160,160,78.0605,223.167,162.528,139.782,0
0,200,161,161,296.285,603.08,244.653,1249.24,0
0,200,162,162,563.151,364.614,138.955,1218.48,0
0,200,163,163,1828.73,1057.13,20.6753,81.5998,0
0,200,164,164,1415.51,1187.71,1034.48,5378.21,0
0,200,165,165,268.876,542.13,3.29,12037,0
0,200,166,166,117.368,122.201,114.724,7783.52,0
