name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
k_ppt1,0,0.447214,-0.894427,0.894427,-0.000260318,0.418617,-0.837495,0.836974
k_ppt2,0,0.447214,-0.894427,0.894427,9.88263e-06,0.413774,-0.827537,0.827557
k_ppt3,0,0.447214,-0.894427,0.894427,1.43554e-06,0.410558,-0.821115,0.821118
k_ppt4,0,0.447214,-0.894427,0.894427,9.41076e-05,0.40765,-0.815206,0.815394
k_ppt5,0,0.447214,-0.894427,0.894427,9.58887e-06,0.407379,-0.814748,0.814767
k_ppt6,0,0.447214,-0.894427,0.894427,-5.15243e-07,0.409924,-0.819849,0.819848
k_ppt7,0,0.447214,-0.894427,0.894427,-8.73763e-06,0.413088,-0.826184,0.826167
k_ppt8,0,0.447214,-0.894427,0.894427,-0.000936183,0.417912,-0.83676,0.834888
k_ppt9,0,0.447214,-0.894427,0.894427,0.0730681,0.399952,-0.726836,0.872972
k_ppt10,0,0.447214,-0.894427,0.894427,-0.00102618,0.390827,-0.78268,0.780627
k_ppt11,0,0.447214,-0.894427,0.894427,0.00020185,0.385276,-0.770349,0.770753
k_ppt12,0,0.447214,-0.894427,0.894427,0.106775,0.380298,-0.653821,0.867372
k_ppt13,0,0.447214,-0.894427,0.894427,0.00355757,0.380216,-0.756874,0.763989
k_ppt14,0,0.447214,-0.894427,0.894427,-8.5606e-05,0.384988,-0.770061,0.76989
k_ppt15,0,0.447214,-0.894427,0.894427,-0.0114275,0.390323,-0.792074,0.769219
k_ppt16,0,0.447214,-0.894427,0.894427,-0.0504198,0.399059,-0.848538,0.747698
k_ppt17,0,0.447214,-0.894427,0.894427,-0.0175167,0.371236,-0.759989,0.724956
k_ppt18,0,0.447214,-0.894427,0.894427,-0.0118512,0.354092,-0.720036,0.696333
k_ppt19,0,0.447214,-0.894427,0.894427,0.000126454,0.346086,-0.692046,0.692299
k_ppt20,0,0.447214,-0.894427,0.894427,0.049824,0.343815,-0.637806,0.737454
k_ppt21,0,0.447214,-0.894427,0.894427,0.0475013,0.344613,-0.641724,0.736727
k_ppt22,0,0.447214,-0.894427,0.894427,-0.000122826,0.347829,-0.695781,0.695536
k_ppt23,0,0.447214,-0.894427,0.894427,-0.0774303,0.355364,-0.788159,0.633298
k_ppt24,0,0.447214,-0.894427,0.894427,-0.0561988,0.370967,-0.798133,0.685735
k_ppt25,0,0.447214,-0.894427,0.894427,-0.00963161,0.318404,-0.64644,0.627177
k_ppt26,0,0.447214,-0.894427,0.894427,0.0417328,0.291945,-0.542158,0.625623
k_ppt27,0,0.447214,-0.894427,0.894427,0.00203132,0.294222,-0.586413,0.590475
k_ppt28,0,0.447214,-0.894427,0.894427,-0.0144795,0.294536,-0.603552,0.574592
k_ppt29,0,0.447214,-0.894427,0.894427,-0.00121515,0.295966,-0.593147,0.590716
k_ppt30,0,0.447214,-0.894427,0.894427,0.00164762,0.299236,-0.596825,0.60012
k_ppt31,0,0.447214,-0.894427,0.894427,0.0668792,0.299756,-0.532633,0.666392
k_ppt32,0,0.447214,-0.894427,0.894427,0.125281,0.322615,-0.519949,0.770512
k_ppt33,0,0.447214,-0.894427,0.894427,-0.0226626,0.285046,-0.592755,0.547429
k_ppt34,0,0.447214,-0.894427,0.894427,-0.0454919,0.255702,-0.556896,0.465912
k_ppt35,0,0.447214,-0.894427,0.894427,0.0083039,0.266001,-0.523698,0.540306
k_ppt36,0,0.447214,-0.894427,0.894427,0.00138538,0.265891,-0.530396,0.533167
k_ppt37,0,0.447214,-0.894427,0.894427,0.0278605,0.267104,-0.506348,0.562069
k_ppt38,0,0.447214,-0.894427,0.894427,-0.0104357,0.271512,-0.553459,0.532588
k_ppt39,0,0.447214,-0.894427,0.894427,0.0809086,0.266221,-0.451534,0.613352
k_ppt40,0,0.447214,-0.894427,0.894427,0.135496,0.291109,-0.446722,0.717714
k_ppt41,0,0.447214,-0.894427,0.894427,-0.0132834,0.296521,-0.606325,0.579759
k_ppt42,0,0.447214,-0.894427,0.894427,0.0420985,0.27109,-0.500082,0.584279
k_ppt43,0,0.447214,-0.894427,0.894427,-0.00154575,0.275473,-0.552491,0.549399
k_ppt44,0,0.447214,-0.894427,0.894427,0.0478336,0.276544,-0.505254,0.600922
k_ppt45,0,0.447214,-0.894427,0.894427,0.0668312,0.277162,-0.487494,0.621156
k_ppt46,0,0.447214,-0.894427,0.894427,0.00261738,0.27816,-0.553703,0.558938
k_ppt47,0,0.447214,-0.894427,0.894427,0.0573273,0.2756,-0.493873,0.608527
k_ppt48,0,0.447214,-0.894427,0.894427,0.122799,0.297601,-0.472402,0.718001
k_ppt49,0,0.447214,-0.894427,0.894427,0.0642514,0.289941,-0.515631,0.644133
k_ppt50,0,0.447214,-0.894427,0.894427,0.0334798,0.264818,-0.496156,0.563115
k_ppt51,0,0.447214,-0.894427,0.894427,0.00706665,0.273638,-0.540209,0.554342
k_ppt52,0,0.447214,-0.894427,0.894427,0.244779,0.275854,-0.306929,0.796486
k_ppt53,0,0.447214,-0.894427,0.894427,0.277531,0.276153,-0.274774,0.829836
k_ppt54,0,0.447214,-0.894427,0.894427,0.0062745,0.275179,-0.544084,0.556633
k_ppt55,0,0.447214,-0.894427,0.894427,0.134281,0.266907,-0.399533,0.668096
k_ppt56,0,0.447214,-0.894427,0.894427,0.219461,0.287927,-0.356394,0.795316
k_ppt57,0,0.447214,-0.894427,0.894427,0.00997123,0.274998,-0.540024,0.559967
k_ppt58,0,0.447214,-0.894427,0.894427,0.0260132,0.248525,-0.471037,0.523063
k_ppt59,0,0.447214,-0.894427,0.894427,0.00438859,0.264866,-0.525342,0.53412
k_ppt60,0,0.447214,-0.894427,0.894427,0.387645,0.264299,-0.140953,0.916244
k_ppt61,0,0.447214,-0.894427,0.894427,0.397003,0.264575,-0.132147,0.926153
k_ppt62,0,0.447214,-0.894427,0.894427,0.0242528,0.266858,-0.509463,0.557969
k_ppt63,0,0.447214,-0.894427,0.894427,0.150262,0.252234,-0.354206,0.65473
k_ppt64,0,0.447214,-0.894427,0.894427,0.182044,0.273762,-0.36548,0.729569
k_ppt65,0,0.447214,-0.894427,0.894427,-0.0200522,0.296193,-0.612438,0.572334
k_ppt66,0,0.447214,-0.894427,0.894427,-0.0593962,0.270326,-0.600048,0.481256
k_ppt67,0,0.447214,-0.894427,0.894427,0.0031792,0.276107,-0.549035,0.555393
k_ppt68,0,0.447214,-0.894427,0.894427,0.436308,0.277262,-0.118215,0.990831
k_ppt69,0,0.447214,-0.894427,0.894427,0.438936,0.277328,-0.11572,0.993592
k_ppt70,0,0.447214,-0.894427,0.894427,0.00346896,0.276978,-0.550487,0.557425
k_ppt71,0,0.447214,-0.894427,0.894427,0.169365,0.271564,-0.373762,0.712493
k_ppt72,0,0.447214,-0.894427,0.894427,0.116409,0.293688,-0.470967,0.703786
