time,elapsed_seconds,message
09:55:59,8.1e-05,PEST++ performance logger started
09:55:59,0.0003066,starting to process control file
09:55:59,0.0017508,finished processing control file
09:55:59,0.0067191,loading parcov
09:55:59,0.0102907,beginning iteration 1
09:55:59,0.0010726,commencing to build jacobian parameter sets
09:55:59,0.0055584,jacobian parameter sets built, commencing model runs
09:57:25,85.1415,jacobian runs complete, processing runs
09:57:25,0.0052011,processing jacobian runs complete
09:57:25,9.5e-06,saving jacobian and sen files
09:57:25,0.0022602,commencing calculation of upgrade vector
09:57:25,0.0003962,forming JtQJ matrix
09:57:25,0.0004867,commencing to scale JtQJ matrix- first SVD...
09:57:25,9e-06,starting REDSVD
09:57:25,0.0018171,retrieving REDSVD components
09:57:25,6.91e-05,triming REDSVD components to 12elements
09:57:25,2.82e-05,done REDSVD
09:57:25,0.0004566,S info: rows = 104: cols = 104: size = 10816: nonzeros = 104
09:57:25,7e-06,JS
09:57:25,3.3e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
09:57:25,0.0004683,S info: rows = 104: cols = 104: size = 10816: nonzeros = 104
09:57:25,6.8e-06,commencing SVD factorization of lambda-scaled JtQJ
09:57:25,4.5e-06,starting REDSVD
09:57:25,0.0015839,retrieving REDSVD components
09:57:25,9.3e-05,triming REDSVD components to 12elements
09:57:25,2.71e-05,done REDSVD
09:57:25,2.27e-05,SVD factorization complete
09:57:25,8.14e-05,commencing linear algebra multiplication to compute ugrade
09:57:25,6.5e-06,S info: rows = 104: cols = 104: size = 10816: nonzeros = 104Vt info: rows = 12: cols = 104: size = 1248: nonzeros = 1248
09:57:25,6.8e-06,U info: rows = 104: cols = 12: size = 1248: nonzeros = 1248
09:57:25,6.2e-06,jac info: rows = 116: cols = 104: size = 12064: nonzeros = 1346
09:57:25,7.15e-05,linear algebra multiplication to compute ugrade complete
09:57:25,0.0001037,commencing check of parameter bounds and gradients
09:57:25,0.0014817,forming JtQJ matrix
09:57:25,0.0005796,commencing to scale JtQJ matrix- first SVD...
09:57:25,8.8e-06,starting REDSVD
09:57:25,0.0016966,retrieving REDSVD components
09:57:25,7.66e-05,triming REDSVD components to 12elements
09:57:25,3.51e-05,done REDSVD
09:57:25,0.0005371,S info: rows = 104: cols = 104: size = 10816: nonzeros = 104
09:57:25,6.9e-06,JS
09:57:25,4.23e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
09:57:25,0.0004504,S info: rows = 104: cols = 104: size = 10816: nonzeros = 104
09:57:25,6.8e-06,commencing SVD factorization of lambda-scaled JtQJ
09:57:25,4.3e-06,starting REDSVD
09:57:25,0.0016126,retrieving REDSVD components
09:57:25,4.95e-05,triming REDSVD components to 12elements
09:57:25,2.51e-05,done REDSVD
09:57:25,2.29e-05,SVD factorization complete
09:57:25,7.67e-05,commencing linear algebra multiplication to compute ugrade
09:57:25,6.2e-06,S info: rows = 104: cols = 104: size = 10816: nonzeros = 104Vt info: rows = 12: cols = 104: size = 1248: nonzeros = 1248
09:57:25,5.8e-06,U info: rows = 104: cols = 12: size = 1248: nonzeros = 1248
09:57:25,5.6e-06,jac info: rows = 116: cols = 104: size = 12064: nonzeros = 1346
09:57:25,6.54e-05,linear algebra multiplication to compute ugrade complete
09:57:25,0.0006403,forming JtQJ matrix
09:57:25,0.0004151,commencing to scale JtQJ matrix- first SVD...
09:57:25,7e-06,starting REDSVD
09:57:25,0.0015815,retrieving REDSVD components
09:57:25,6.19e-05,triming REDSVD components to 12elements
