real_name,k_ppt1,k_ppt2,k_ppt3,k_ppt4,k_ppt5,k_ppt6,k_ppt7,k_ppt8,k_ppt9,k_ppt10,k_ppt11,k_ppt12,k_ppt13,k_ppt14,k_ppt15,k_ppt16,k_ppt17,k_ppt18,k_ppt19,k_ppt20,k_ppt21,k_ppt22,k_ppt23,k_ppt24,k_ppt25,k_ppt26,k_ppt27,k_ppt28,k_ppt29,k_ppt30,k_ppt31,k_ppt32,k_ppt33,k_ppt34,k_ppt35,k_ppt36,k_ppt37,k_ppt38,k_ppt39,k_ppt40,k_ppt41,k_ppt42,k_ppt43,k_ppt44,k_ppt45,k_ppt46,k_ppt47,k_ppt48,k_ppt49,k_ppt50,k_ppt51,k_ppt52,k_ppt53,k_ppt54,k_ppt55,k_ppt56,k_ppt57,k_ppt58,k_ppt59,k_ppt60,k_ppt61,k_ppt62,k_ppt63,k_ppt64,k_ppt65,k_ppt66,k_ppt67,k_ppt68,k_ppt69,k_ppt70,k_ppt71,k_ppt72,k_ppt73,k_ppt74,k_ppt75,k_ppt76,k_ppt77,k_ppt78,k_ppt79,k_ppt80,k_ppt81,k_ppt82,k_ppt83,k_ppt84,k_ppt85,k_ppt86,k_ppt87,k_ppt88,k_ppt89,k_ppt90,k_ppt91,k_ppt92,k_ppt93,k_ppt94,k_ppt95,k_ppt96,k_ppt97,k_ppt98,k_ppt99,k_ppt100,k_ppt101,k_ppt102,k_ppt103,k_ppt104
0,0.318758,1.2006,1.76588,1.0857,3.52737,0.634063,1.83268,3.79466,0.642308,0.375845,2.39962,3.24618,1.33273,1.90111,5.70144,3.30696,0.794895,0.447988,0.991264,0.591471,1.75691,1.555,3.9354,1.54065,0.656099,0.521258,0.753839,1.42052,2.47547,2.74956,3.28454,3.56197,0.353918,0.45388,1.10168,0.392691,0.894534,0.708112,0.837942,2.17886,1.00149,1.18395,0.467361,1.47721,3.23256,3.13619,1.42407,0.391234,0.457596,0.999925,0.688841,2.37985,3.85674,1.35914,0.925637,2.53575,0.603939,0.899616,3.38063,2.43443,1.78535,1.46509,1.20468,1.68762,1.15534,1.44043,2.01974,5.11672,3.72431,2.01127,1.6913,0.506369,0.723476,0.520423,1.97948,2.28208,3.09012,3.61045,1.33383,0.554488,0.714894,0.789554,0.543786,1.55151,2.4159,2.1703,1.55437,0.75345,1.11132,0.577787,0.410771,1.01016,1.05274,0.941919,0.823806,0.706443,0.708563,0.984385,0.309145,0.443411,0.623277,0.627544,0.660183,0.592678
1,0.513511,0.637764,1.23584,1.26823,2.74412,1.16586,0.879034,1.12192,0.984141,0.710941,1.80575,1.13868,1.45015,1.3737,1.21056,1.42452,0.492985,0.490752,0.706342,0.546212,1.37919,3.1186,1.80655,0.706272,0.919315,0.684582,0.709641,1.14709,2.71571,2.85263,0.852841,1.2925,1.4812,0.48956,0.760872,0.60337,2.72477,1.12554,0.700613,2.07556,1.43791,1.07159,0.634749,3.08488,3.31193,3.39701,0.685713,1.05443,0.663963,1.72404,1.30862,2.26364,4.30762,1.47599,0.615446,1.89853,0.524084,0.85189,1.02037,1.16594,1.5266,0.987666,1.39529,2.04603,0.813648,2.40434,3.95789,1.99106,1.72159,0.818208,1.28585,0.679959,0.56874,1.30218,1.40692,1.41353,0.810617,1.14826,2.16177,0.554354,1.05375,2.23757,1.15463,0.843372,1.05219,0.893071,1.99722,0.440023,1.56465,1.20044,1.53601,1.21396,1.03016,1.83168,0.803292,0.55592,1.00778,0.627499,0.483591,0.638157,0.634953,0.345302,0.581043,0.587317
2,3.16444,4.17223,1.39147,2.38169,4.94806,1.33938,0.93514,0.950581,3.81441,0.972594,2.68043,6.03269,2.25691,1.94889,2.41613,1.16034,1.43866,0.915212,1.43405,1.71688,4.33427,1.16405,2.03577,1.02311,0.831267,0.947769,1.58273,1.78679,3.94217,2.41318,1.22838,1.49209,0.573044,0.507318,0.702879,0.731938,1.37774,1.94355,1.30261,1.00735,1.25099,0.776139,0.86895,1.86458,2.29806,2.81228,0.961094,0.547511,0.525968,1.15476,1.30279,1.57172,1.70629,1.57998,0.758409,1.27642,0.862773,1.1785,1.35107,2.08392,2.90625,1.18562,1.12173,1.14628,1.77033,0.967769,1.25836,4.43883,3.0731,2.45064,1.54942,0.837635,1.77947,0.566939,0.880735,2.52563,2.65841,2.20683,1.63813,0.587192,2.03801,0.618726,1.01115,3.51805,2.71746,1.60226,0.670018,0.44903,1.23457,0.379053,0.371179,1.21891,0.908097,0.684495,1.39434,1.16088,0.583611,0.752436,0.427442,0.601495,0.420164,0.700036,0.733568,0.307832
3,0.507618,1.93527,2.6011,3.60305,4.38623,0.808307,0.569699,0.901391,1.35055,0.919729,2.31472,2.75394,2.3353,1.91538,1.21138,0.806693,0.870956,0.337921,0.657219,0.927849,1.6655,1.69438,1.3147,1.00534,0.551879,0.577783,1.26357,1.59617,1.71562,2.05663,1.10485,1.60563,0.503966,0.557528,0.989112,0.80464,2.42911,1.20609,1.22273,2.66243,1.53503,0.856689,0.698391,2.2413,2.43623,2.79364,1.37814,0.949774,0.910865,1.24168,0.749249,2.22839,2.76816,1.53109,1.31652,1.62389,1.09504,1.19407,1.19177,1.47687,1.78222,0.836649,0.857533,1.15122,1.62762,1.99197,2.33799,2.83422,1.36478,1.40467,1.24332,0.884147,1.32289,1.35437,1.34561,1.32348,0.999082,0.872645,2.00074,0.832115,1.59062,1.63285,0.804673,2.02165,1.36161,0.982702,1.31803,0.478515,1.20239,0.582664,0.601842,1.17271,0.821228,1.23412,1.08101,1.09913,1.22648,0.789472,0.525695,0.504433,0.395979,0.395116,0.535947,0.411449
4,0.143239,0.948708,6.69861,1.90857,3.36088,0.538018,2.38389,4.65068,0.426195,0.479772,5.78465,2.82718,0.953263,1.04635,7.65363,4.21664,0.291462,0.258897,0.91926,0.357743,1.69986,2.12266,3.99252,2.27663,0.348024,0.414179,0.684515,1.23135,2.99777,2.94691,1.93226,3.48493,0.205908,0.374997,0.872199,0.219586,1.22073,0.541765,1.0793,4.07399,0.687728,0.880961,0.254314,1.49497,5.42247,4.01177,2.05317,0.729406,0.70264,1.06386,0.384293,3.15669,5.80567,1.3231,1.12352,4.78692,0.506019,0.587959,2.71565,1.86817,1.01192,2.13572,1.90705,1.82412,0.916561,1.63272,2.52859,4.5323,1.44202,1.01763,1.38818,0.668837,0.6881,0.617157,2.35395,1.44027,1.63096,2.26162,1.66362,0.953512,1.15082,1.45448,0.203788,0.499794,2.01973,1.73264,2.32418,0.799173,1.0873,0.496317,0.445353,0.944008,1.2409,1.37093,0.790437,0.671284,1.39583,0.690807,0.277608,0.232661,0.516092,0.550377,0.762639,1.15559
5,2.90174,2.84311,2.24088,2.66711,4.53217,1.22597,0.739321,0.944379,3.19239,1.34654,2.80843,3.3857,1.77133,1.27036,1.20316,1.30868,0.969206,0.755135,1.04513,1.17082,3.17629,1.36273,2.07893,0.797623,0.869505,0.696263,1.2244,1.68296,5.02462,2.68405,0.912374,0.995753,0.742331,0.614923,1.10902,0.809486,2.45253,2.46055,1.08282,0.966251,0.943526,1.12186,1.40627,2.84397,3.26966,3.24553,0.797693,0.564245,0.584422,2.2514,1.83267,2.34187,2.66834,1.3057,0.593733,1.24468,0.580858,0.961118,0.9773,1.51851,2.76611,1.09157,1.24775,0.979011,0.707406,1.05756,1.7271,3.04479,2.84388,2.18104,1.57734,0.654671,0.884949,0.548619,0.797482,1.65268,1.74944,2.10298,2.15207,0.683546,2.00488,0.884489,0.944847,1.9074,1.51184,1.17469,0.998574,0.538295,1.6271,0.69937,0.598414,1.12473,0.796955,0.783119,0.924363,0.689471,0.97683,0.927512,0.518891,0.554694,0.421923,0.49557,0.621679,0.290281
6,1.40793,2.44618,0.438472,0.855348,1.96066,0.748005,0.957192,1.45494,3.33161,1.56726,0.885717,2.28677,1.75468,1.51926,1.04551,1.26881,1.93866,1.20386,0.630993,0.778171,1.62662,0.669821,1.5758,0.888107,1.39334,2.03686,1.18281,1.75524,2.27592,1.69291,0.857603,1.26791,0.719595,0.543625,1.40032,1.1758,1.96312,2.0249,0.968673,2.50779,0.901639,0.680476,0.462791,1.09566,2.95699,2.96015,0.789707,0.677723,0.622291,0.952105,1.36763,1.86684,3.21777,1.69248,0.713047,1.02339,1.14853,0.863482,1.39282,1.67955,3.38396,0.881132,0.914532,0.698372,1.81526,1.52362,1.6397,3.45301,2.71981,3.24862,1.15013,0.591095,1.6138,0.57334,1.04764,2.13607,1.56535,2.13184,1.14099,0.848235,1.11859,0.563736,1.33638,2.96149,1.10861,1.17933,0.771061,0.224352,1.2556,0.561692,0.538205,2.02891,1.06527,0.904231,0.643011,0.28118,0.916528,0.779889,0.750899,1.21545,0.526185,0.431811,0.337753,0.248763
7,1.09869,1.26555,0.982404,1.47535,3.0603,1.3953,1.23315,1.98787,1.01802,0.717976,1.57117,2.67145,1.51679,1.04202,1.20344,2.05327,0.249808,0.809401,1.50384,0.950656,2.68149,1.89576,1.07058,0.819181,0.696432,1.14581,1.21936,0.893286,3.34807,2.2433,0.519313,0.694721,0.846695,0.283084,0.731331,0.833027,3.54931,1.32743,1.25264,1.11551,0.766385,0.586577,0.797876,3.98429,5.53812,4.16366,0.962566,1.12267,0.627842,1.42401,2.14746,2.77609,5.22888,2.38994,0.598323,2.7283,0.497105,0.769082,0.702581,2.00037,1.98112,1.20952,1.60431,2.29406,1.11846,1.27757,2.11767,2.09393,1.44629,0.872159,1.0169,1.05117,0.926172,0.70787,1.7015,2.9781,0.844135,1.4037,1.78357,1.04569,1.21534,1.5429,1.43171,1.35232,1.48211,1.11012,1.53942,0.661574,0.83972,0.403111,0.634666,0.87086,0.973017,1.15664,1.42262,0.969389,0.846054,0.441552,0.335714,0.564191,0.386583,0.62978,0.779574,0.500163
8,0.299054,0.59212,0.965955,0.862004,2.9866,0.791758,1.07539,2.07455,0.976935,0.521006,1.14604,1.66796,1.73634,2.1961,2.78055,2.34942,0.926623,0.512398,0.554715,0.489448,1.67784,2.89269,3.1066,1.28583,0.577151,0.547502,0.792849,1.59105,2.53119,3.0059,2.19386,2.31879,0.466781,0.429923,1.0211,0.577785,1.42812,1.19896,0.760322,2.37482,1.06019,1.06064,0.349364,1.9857,2.77063,3.75141,0.837158,0.397757,0.647078,0.956107,0.800281,2.86778,3.42612,1.39813,0.538289,1.06801,0.539492,0.672439,1.88526,2.25124,1.68713,1.23142,0.820559,1.37581,0.791368,1.30645,2.79522,6.40808,4.28741,1.09171,0.943035,0.371209,0.557232,0.779497,2.69538,3.53432,1.97443,2.02244,1.6936,0.513688,0.762303,1.29026,1.14348,1.21541,1.90352,1.94973,1.5297,0.431504,1.60851,0.935202,0.972367,1.0925,1.07338,1.00642,0.64824,0.434428,0.632048,0.740232,0.479272,0.737925,0.5813,0.252084,0.331144,0.630118
9,0.633677,3.18928,2.82751,1.21394,1.86637,0.325797,0.729053,1.84816,1.45013,0.707078,2.21751,4.04228,0.943839,0.811454,1.12737,1.66776,2.03234,0.81874,1.44189,0.906026,1.52103,0.863811,1.16684,1.37357,0.557667,0.733812,1.43015,2.06343,1.67903,1.59,3.13022,2.32887,0.342607,0.434616,1.81456,0.859298,1.20121,0.943077,1.19675,1.98528,0.983355,1.84999,0.726048,2.04228,3.36911,3.44867,1.51191,0.366048,0.514387,1.08707,0.843589,3.53159,3.17481,1.24142,0.774614,1.15773,0.538567,1.02026,3.0606,3.34705,1.75763,0.900706,0.648905,0.837819,1.13254,1.0783,1.73223,5.90822,3.63184,1.50685,1.04359,0.29428,0.806294,0.511622,2.56852,1.71381,2.06922,1.3403,1.00263,0.43903,1.04904,1.11261,0.945294,2.25074,2.17142,1.95037,0.992157,0.411681,1.34973,0.653533,0.243233,0.761328,1.00278,0.961604,1.33308,0.861757,0.869809,0.871191,0.390087,0.653937,0.548657,0.613294,0.614897,0.532028
