real_name,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14
0,-0.16582,0.586566,1.04314,0.458659,-0.482649,-0.336877,-0.0804677,0.365486,-0.113332,-0.333754,-1.31889,-1.12984,-0.412208,0.47827
1,-0.148345,1.74832,0.329637,-0.571168,-0.398061,0.0887803,0.962693,0.810541,-0.418971,-0.480771,-1.23928,-1.19565,-0.0793731,0.518702
2,-0.169381,0.477658,1.85113,0.200016,-1.04255,0.324731,-0.0547838,-0.544384,-0.279522,-0.621475,-1.7954,-0.580635,-1.81286,-0.70444
3,-0.210365,0.947177,0.348137,1.19335,-0.642678,-0.526829,0.106218,0.850523,0.0779967,-0.717984,-0.289351,-1.37786,-0.692162,0.276104
4,-0.171434,0.678974,1.14489,0.303543,-0.615479,0.108974,0.523019,0.0014349,-0.123333,-0.0469908,-1.38156,-0.495844,-0.798393,0.255594
5,-0.20237,0.839583,1.05931,0.667395,-0.94646,-0.198183,0.85383,0.334879,-0.271913,-0.847505,-1.22483,-0.783597,-0.271127,0.891884
6,-0.175041,0.936326,0.999215,0.350562,-0.830633,0.0676007,0.0720271,0.243755,-0.0677161,-0.667792,-1.16719,-0.570793,-0.907201,0.0879317
7,-0.229048,1.1309,0.418096,0.729247,-0.609058,-0.296383,-0.0272199,0.621896,-0.0120028,-0.398445,-0.253625,-1.9167,-0.0750438,-0.106131
8,-0.16985,1.54012,0.0998007,0.0231081,-0.599308,-0.185705,-0.519667,1.35223,-0.0548142,-0.482684,-0.434357,-1.1497,-0.167147,0.740043
9,-0.160346,0.521485,0.943643,0.985163,-0.710613,-0.0592776,0.358513,-0.104706,0.14171,-0.407917,-1.29266,-0.824256,-0.00027607,0.187531
10,-0.177463,1.24479,0.685996,-0.0850373,-0.312878,-0.268646,0.34008,0.581148,-0.145198,0.0480469,-0.925182,-0.798213,-0.169786,0.226981
11,-0.216751,0.931876,-0.289219,1.36773,-0.354246,-0.141176,0.911453,1.34177,-0.208303,0.341256,-0.338754,-1.2978,-0.197418,0.672292
12,-0.177863,-0.751105,1.17972,2.57547,-0.768006,-0.0835,-0.0959407,0.0956839,0.330313,-0.164251,-0.75253,-1.3217,0.277081,0.508339
13,-0.17205,0.892846,0.545011,0.690129,-0.322782,-0.430216,0.25165,0.905615,0.0197511,-0.376671,-0.727632,-1.07759,0.426543,0.203754
