real_name,well01_1,well02_1,well03_1,well04_1,well05_1,well06_1,well07_1,well08_1,well09_1,well10_1,well11_1,well12_1,part_time,part_east
0,5.88907,5.79772,5.5263,4.13757,3.99685,4.12516,2.41219,3.19939,2.90789,0.918281,1.23288,1.24323,0,0
1,5.73838,5.67274,5.60753,3.93236,3.91534,4.01427,2.56904,3.38464,2.78388,1.34637,1.0958,1.23629,0,0
2,5.66698,5.46926,5.34104,4.19542,3.73314,4.20503,2.68316,3.24252,2.85591,1.10829,1.33394,1.19751,0,0
3,5.7558,5.69073,5.61123,4.18368,3.6348,3.79436,2.57841,3.27694,3.07021,1.15414,1.2571,1.34011,0,0
4,5.81313,5.7113,5.43505,4.02865,3.9274,4.20273,2.76695,3.20452,2.87178,1.07085,1.14384,1.22349,0,0
5,5.66511,5.75744,5.6087,3.97587,3.89269,3.82145,2.56778,3.27612,2.93228,1.34052,1.2179,1.35849,0,0
6,5.68774,5.62227,5.50382,4.13769,3.82186,4.03503,2.65284,3.23041,2.96934,1.13137,1.28378,1.26989,0,0
7,5.64131,5.59624,5.82344,4.21201,3.86842,3.97484,2.70218,3.50496,2.99838,1.21496,1.29296,1.30814,0,0
8,5.77061,5.79913,5.51751,3.94743,3.90712,3.98492,2.51692,3.16452,3.00551,1.1196,1.3792,1.08921,0,0
9,5.75246,5.52931,5.43292,4.02877,3.81939,3.93736,2.70929,3.23511,2.7768,1.12797,1.13567,1.28197,0,0
10,5.81994,5.73416,5.59752,3.88894,3.95248,4.23818,2.67503,3.25414,2.98124,1.12786,1.20397,1.24601,0,0
11,5.78555,5.83019,5.4908,4.24,4.01133,4.17662,2.72649,3.27109,3.00147,1.2644,1.05683,1.23853,0,0
12,5.63414,5.53539,5.36643,4.178,4.05701,4.07461,2.44992,3.15113,3.02748,0.912263,1.14317,1.18493,0,0
13,5.84066,5.69568,5.50173,3.94835,3.9731,3.99342,2.39369,3.23275,3.13133,1.02153,1.22301,1.33786,0,0
14,5.84022,5.70957,5.48822,4.05229,3.96535,3.96832,2.56332,3.26538,2.86156,1.06635,1.30972,1.24506,0,0
15,5.64958,5.62185,5.38536,4.20242,3.86401,4.05076,2.46598,3.40492,2.69337,0.955703,1.21359,1.14319,0,0
16,5.69042,5.70048,5.38061,3.93367,4.01586,4.06327,2.34864,3.28314,2.91336,1.1199,1.18092,1.1133,0,0
17,5.72847,5.81837,5.51308,4.11117,3.81614,4.05524,2.53269,3.08487,3.0593,1.10176,1.1951,1.25438,0,0
18,5.80745,5.77744,5.46929,4.08043,3.75903,4.0618,2.61442,3.17117,2.88148,1.23812,1.24139,0.955048,0,0
19,5.79619,5.66356,5.40452,4.23722,3.835,4.13543,2.55253,3.32371,2.83351,1.32419,1.23784,1.10016,0,0
20,5.69449,5.72987,5.27814,4.02966,3.89412,4.14314,2.59254,3.29797,2.84659,1.28283,1.12465,1.2773,0,0
21,5.69573,5.73606,5.45036,4.06518,3.9435,3.95441,2.59694,3.2751,3.07832,1.14877,1.32041,1.05229,0,0
22,5.86216,5.77697,5.29047,4.00861,4.07077,3.98929,2.58044,3.25437,2.87377,1.30611,1.41413,0.988623,0,0
23,5.67738,5.69492,5.32305,4.25371,4.0362,3.99479,2.64662,3.34975,2.78914,1.0823,1.16085,1.09249,0,0
24,5.86902,5.51485,5.6255,4.19915,3.80489,3.98715,2.63078,3.22441,2.84981,1.17415,0.999931,1.25657,0,0
