iteration,total_runs,obs_realization,par_realization,heads,time,distance
0,80,0,0,318.357,0,0
0,80,1,1,508.163,0,0
0,80,2,2,25757.2,0,0
0,80,3,3,1319.06,0,0
0,80,4,4,15528.6,0,0
0,80,5,5,1501.58,0,0
0,80,6,6,11562.1,0,0
0,80,7,7,195724,0,0
0,80,8,8,7711.65,0,0
0,80,9,9,8602.11,0,0
0,80,10,10,29843.1,0,0
0,80,11,11,116833,0,0
0,80,12,12,7472.62,0,0
0,80,13,13,115374,0,0
0,80,14,14,770.63,0,0
0,80,15,15,826.312,0,0
0,80,16,16,6563.76,0,0
0,80,17,17,2624.02,0,0
0,80,18,18,47852.6,0,0
0,80,19,19,2944.02,0,0
0,80,20,20,2180.99,0,0
0,80,21,21,8054.69,0,0
0,80,22,22,6070.31,0,0
0,80,23,23,8721.9,0,0
0,80,24,24,28995.6,0,0
0,80,25,25,2641.83,0,0
0,80,26,26,2258.41,0,0
0,80,27,27,633.859,0,0
0,80,28,28,2473.57,0,0
0,80,29,29,9238.37,0,0
0,80,30,30,82864.8,0,0
0,80,31,31,1289.58,0,0
0,80,32,32,54742.9,0,0
0,80,33,33,16207.3,0,0
0,80,34,34,6122.24,0,0
0,80,35,35,3469.27,0,0
0,80,36,36,533.476,0,0
0,80,37,37,1830.04,0,0
0,80,38,38,7478.51,0,0
0,80,39,39,4916.83,0,0
0,80,40,40,6203.58,0,0
0,80,41,41,9487.01,0,0
0,80,42,42,1355.58,0,0
0,80,43,43,7051.32,0,0
0,80,44,44,4824.6,0,0
0,80,45,45,1787.01,0,0
0,80,46,46,709.217,0,0
0,80,47,47,3501.61,0,0
0,80,48,48,10028.9,0,0
0,80,49,49,4459.56,0,0
0,80,50,50,11549.2,0,0
0,80,51,51,125029,0,0
0,80,52,52,98792.3,0,0
0,80,53,53,2942.6,0,0
0,80,54,54,5364.05,0,0
0,80,55,55,3455.5,0,0
0,80,56,56,150495,0,0
0,80,57,57,3366.35,0,0
0,80,58,58,3106.54,0,0
0,80,59,59,6220.87,0,0
0,80,60,60,807.034,0,0
0,80,61,61,3303.72,0,0
0,80,62,62,1345.32,0,0
0,80,63,63,26559.3,0,0
0,80,64,64,2580.42,0,0
0,80,65,65,606.693,0,0
0,80,66,66,8725.54,0,0
0,80,67,67,7592.61,0,0
0,80,68,68,410.537,0,0
0,80,69,69,4175.04,0,0
0,80,70,70,7472.19,0,0
0,80,71,71,7409.71,0,0
0,80,72,72,1631.62,0,0
0,80,73,73,2463.46,0,0
0,80,74,74,10322,0,0
