real_name,well01_1,well02_1,well03_1,well04_1,well05_1,well06_1,well07_1,well08_1,well09_1,well10_1,well11_1,well12_1,part_time,part_east
0,6.03371,8.20549,9.99178,4.51063,4.42043,4.03598,2.42932,2.07247,1.98769,0.662047,0.699015,0.662062,4609.33,209.872
1,8.58765,9.02899,9.51144,7.13236,7.03669,6.62592,3.46855,3.72513,4.00548,0.602384,0.638094,0.702371,13134.3,206.876
2,8.2903,8.43867,8.7484,6.08224,5.76682,5.70324,2.2913,2.41235,2.3128,0.909345,0.664278,0.380863,6794.76,298.196
3,20.9582,23.7472,23.4469,10.8228,12.0198,11.1207,6.22407,5.04769,3.50138,1.37305,1.35339,1.27939,5968.32,264.778
4,3.1316,3.04195,2.98367,1.91015,2.0272,2.04021,1.36541,1.3783,1.37235,0.407013,0.509042,0.413551,5839.56,271.497
5,2.62205,2.58325,2.70822,1.86116,1.91858,1.91314,1.19879,1.36431,1.41516,0.246156,0.541275,0.643028,4550.06,143.732
6,12.3474,12.0213,11.5765,6.57817,7.47987,8.44961,3.36326,3.17104,5.25984,0.988158,0.58368,0.782943,7156.34,220.036
7,2.61484,2.54937,2.74194,1.86035,1.73848,1.63925,1.25737,1.20825,1.15524,0.481003,0.5269,0.442919,5317.45,328.244
8,5.11642,4.56035,4.93004,3.42513,3.2499,3.36481,1.90414,2.09687,1.90927,0.753821,0.874776,1.03665,3928.71,201.833
9,2.70505,2.80307,3.0822,2.18203,2.09252,2.12729,1.2699,1.27574,1.09835,0.343123,0.294135,0.28745,6415.06,275.957
10,4.42139,3.16247,3.41568,2.52344,2.21055,2.05441,1.62245,1.52029,1.5494,0.484604,0.733887,0.863467,5828.18,301.667
11,7.40442,7.35104,7.09503,5.17384,6.15231,6.25498,2.72716,3.27776,4.92605,1.06965,1.11428,1.7238,7071.62,162.254
12,2.58472,2.74614,2.68457,1.12557,1.34184,1.73159,0.669975,0.731514,1.12076,0.275968,0.317765,0.276388,7395.33,133.235
13,21.2981,22.4326,22.7283,12.6698,11.1583,14.1393,5.43434,3.92405,4.26883,0.957172,1.08487,0.729989,8916.95,239.695
14,11.3709,11.3446,11.3333,10.6299,10.6619,9.75266,8.42952,7.96813,7.73594,1.34054,1.70433,1.52223,4262.39,342.41
15,8.35764,8.45051,8.23776,6.961,6.86904,6.51462,4.26124,3.95923,4.04513,0.783482,1.30608,1.29099,7190.66,323.978
16,7.10252,7.17845,6.92389,5.63199,5.94249,6.31182,4.2957,4.46614,4.74155,1.65235,2.07235,1.37817,6790.21,157.198
17,3.99192,4.16062,4.22577,2.67589,2.99268,2.96803,1.28774,1.3918,1.70504,0.443152,0.324051,0.49415,5567.53,198.174
18,8.10978,7.95504,10.343,5.25038,5.56005,6.08328,3.90112,4.04285,3.76815,0.961511,1.13211,0.7772,4184.6,205.835
19,1.60214,1.62562,1.5954,1.23543,1.23168,1.28972,0.805512,0.774827,0.885509,0.280633,0.26316,0.24006,7549.88,208.58
20,7.68098,7.35481,7.01604,5.73975,5.64267,5.50129,3.788,4.57323,4.6395,0.987884,1.29319,1.83594,5079.06,297.885
21,7.19183,7.18174,6.70359,4.40611,4.03068,3.30184,2.87549,2.5567,2.12258,0.69087,0.633849,0.653917,3892.41,408.542
22,8.73412,7.67352,7.48286,4.81149,4.90162,5.63986,2.79144,2.86865,2.96872,0.758918,1.32318,0.999628,4739.46,198.451
23,1.96724,1.84436,1.89856,1.35422,1.26879,1.26859,0.77688,0.906205,0.984125,0.211092,0.261877,0.224751,5479.82,144.88
24,9.63247,9.64467,9.73377,9.03218,8.89279,8.88669,7.11676,7.62891,7.54283,2.22643,1.9795,2.86713,11183.1,220.67
25,3.34647,3.15758,3.1247,2.41692,2.35364,2.28513,1.6641,1.73629,1.55195,0.405839,0.411339,0.471596,6016.13,323.055
26,6.22488,6.37815,6.72422,5.47109,5.14114,4.89991,3.50399,2.85027,2.15477,0.856576,0.90516,0.521268,5217.57,325.252
27,4.07432,4.13435,4.1563,1.89987,2.53573,2.83398,1.39148,1.24319,1.80898,0.332126,0.315261,0.424808,5920.4,152.126
28,6.60182,6.9985,6.75502,1.50595,1.44505,2.40038,0.907592,0.891331,0.873119,0.425491,0.516971,0.476951,5244.7,268.276
29,2.04984,1.9849,1.79819,1.3642,1.18864,1.14894,0.864125,0.606379,0.539212,0.118023,0.133595,0.179503,6457.08,327.52
30,2.51917,2.62752,2.94383,2.10314,1.96533,2.0699,1.04093,1.05011,1.21354,0.331346,0.398576,0.324088,6632.43,203.175
31,7.61457,9.66054,10.8882,4.10491,3.93236,3.75336,2.81498,2.41416,2.4643,1.41487,1.19345,1.08014,5758.96,267.109
32,6.57052,6.3814,6.28684,4.0994,3.22324,2.90557,1.35747,1.29308,1.32146,0.161983,0.23999,0.306239,6615.21,247.518
33,5.91315,6.70189,6.86647,3.86495,4.0079,4.15821,2.56223,2.52886,2.83361,1.0473,1.2231,1.22886,7202.26,190.664
34,3.51363,3.38741,3.37646,2.6533,2.53214,2.41971,1.46904,1.57956,1.57844,0.394929,0.578295,0.416503,6445.47,289.097
35,2.69558,2.8335,3.23488,2.16618,1.96603,1.45977,1.63346,1.26996,1.06976,0.280499,0.253732,0.259669,6759.69,338.495
36,2.79753,2.6691,3.38989,1.93859,1.89453,1.98204,1.4248,1.31334,1.2076,0.598465,0.484477,0.604569,6179.61,247.212
37,9.17883,9.81277,9.88823,6.92273,7.80932,8.3544,4.37986,5.35885,6.16611,1.47417,0.871545,1.34217,3703.04,145.372
38,8.41411,7.80464,7.70442,4.90265,5.51514,5.90909,1.7881,2.00598,1.97919,0.415297,0.577211,0.512977,5709.7,213.867
39,5.71639,5.74081,5.90551,4.35642,4.35118,4.43951,1.66254,1.59895,2.08803,0.227318,0.514109,0.608892,5321.82,213.801
40,5.64905,5.49046,5.39565,4.58697,4.28465,4.03953,3.60771,2.91888,2.90646,1.47513,1.38765,0.609955,6297.8,415.008
41,13.8323,14.1214,14.0083,10.9283,10.0116,8.2253,6.74752,5.65162,4.73623,1.86011,1.76798,2.69181,4252.66,356.23
42,15.1858,16.9478,16.4814,7.77888,8.25702,11.2999,3.80378,3.49787,3.76081,0.742421,0.947292,0.581404,7673.32,226.912
43,3.06723,2.67088,3.10151,1.78232,1.73453,1.83872,1.09534,1.33985,1.27432,0.400672,0.175207,0.21807,5803.1,204.466
44,14.8959,15.557,16.3033,10.7288,9.7171,10.486,4.2657,4.54551,4.10809,1.04636,0.953353,0.910492,6727.1,210.527
45,9.98703,9.88723,9.77005,8.4978,8.86899,8.579,5.03405,5.92898,5.70384,1.48866,1.26488,1.79529,7077.62,255.883
46,3.02018,2.78722,2.68878,2.33203,2.29227,2.23299,1.66248,1.93751,1.97109,0.507467,0.688875,1.19144,6102.67,249.964
47,5.91832,5.80103,5.74605,5.3341,5.20756,5.08832,4.50649,3.94683,3.66876,2.04622,2.00766,1.4462,4949.61,397.028
48,11.2246,10.3207,9.18416,6.86461,7.03628,7.14471,3.44985,4.01438,5.1038,0.975732,1.34217,1.30358,7248.17,256.832
base,6.10003,6.09999,6.09995,4.30002,4.29999,4.29997,2.50001,2.5,2.5,0.700005,0.700003,0.700001,6850.01,245.009
