real_name,k_ppt1,k_ppt2,k_ppt3,k_ppt4,k_ppt5,k_ppt6,k_ppt7,k_ppt8,k_ppt9,k_ppt10,k_ppt11,k_ppt12,k_ppt13,k_ppt14,k_ppt15,k_ppt16,k_ppt17,k_ppt18,k_ppt19,k_ppt20,k_ppt21,k_ppt22,k_ppt23,k_ppt24,k_ppt25,k_ppt26,k_ppt27,k_ppt28,k_ppt29,k_ppt30,k_ppt31,k_ppt32,k_ppt33,k_ppt34,k_ppt35,k_ppt36,k_ppt37,k_ppt38,k_ppt39,k_ppt40,k_ppt41,k_ppt42,k_ppt43,k_ppt44,k_ppt45,k_ppt46,k_ppt47,k_ppt48,k_ppt49,k_ppt50,k_ppt51,k_ppt52,k_ppt53,k_ppt54,k_ppt55,k_ppt56,k_ppt57,k_ppt58,k_ppt59,k_ppt60,k_ppt61,k_ppt62,k_ppt63,k_ppt64,k_ppt65,k_ppt66,k_ppt67,k_ppt68,k_ppt69,k_ppt70,k_ppt71,k_ppt72,k_ppt73,k_ppt74,k_ppt75,k_ppt76,k_ppt77,k_ppt78,k_ppt79,k_ppt80,k_ppt81,k_ppt82,k_ppt83,k_ppt84,k_ppt85,k_ppt86,k_ppt87,k_ppt88,k_ppt89,k_ppt90,k_ppt91,k_ppt92,k_ppt93,k_ppt94,k_ppt95,k_ppt96,k_ppt97,k_ppt98,k_ppt99,k_ppt100,k_ppt101,k_ppt102,k_ppt103,k_ppt104
0,0.228322,0.511146,0.20498,0.767658,1.2988,0.618446,1.52348,2.24793,0.224958,0.426393,0.568819,0.84758,1.40962,2.93853,2.86553,1.34953,0.408281,0.276691,0.787576,1.1839,1.15774,2.31146,4.44257,1.42087,1.02576,1.06075,0.516683,0.622575,0.929598,4.26367,2.33119,3.49342,0.354197,0.777074,0.534331,0.777705,1.04627,2.12734,2.75933,1.67633,0.462584,0.513085,1.03505,1.19975,1.25205,1.4682,0.905591,1.34203,0.173775,0.383791,1.03362,0.676594,1.27196,2.27117,2.33372,1.37943,0.56384,0.517375,1.25303,1.9168,3.22919,1.87226,1.82739,1.96782,0.67178,1.10476,1.71175,2.03103,3.38111,2.12645,3.0166,3.36011,0.839871,1.00694,1.03767,2.80467,1.88522,3.50932,1.81292,1.27427,0.443225,0.552918,0.825759,1.208,0.577452,0.801713,1.72053,1.19374,0.388883,0.644552,0.8451,0.781466,0.319508,0.52605,0.567967,1.95459,0.323106,0.882426,0.329311,0.653747,0.328547,0.806482,0.719461,0.770129
1,0.269444,0.252522,1.39537,1.06309,0.375847,0.241224,0.663282,0.699079,0.260612,1.43841,1.52785,0.352277,0.430378,0.175753,0.269445,0.7675,0.43539,0.235831,0.427238,0.462789,0.293325,0.669068,0.5202,0.661678,0.821654,0.844783,0.524534,1.00074,0.488135,0.691017,0.338756,0.687302,0.642607,0.969083,1.04386,0.7112,1.22983,0.954876,1.52988,3.30938,0.502568,1.91655,2.05216,1.3196,2.04827,1.15999,0.760949,3.89039,0.348918,1.67174,1.54134,1.39459,2.68466,1.38102,1.32073,2.46621,0.551093,0.942886,1.31878,1.46922,2.2125,2.36522,2.90807,1.2845,0.485665,2.39592,3.61156,0.596452,2.16958,1.76388,3.44552,2.71216,0.610998,1.30277,0.843737,0.413532,0.757659,2.0764,3.8366,1.61341,0.887811,1.13417,0.2962,0.291626,0.284248,0.533319,3.38793,1.11118,0.908264,1.73014,0.958611,0.45356,0.514971,2.09342,0.808682,1.48112,0.957052,0.417364,0.422289,0.314216,0.217934,0.487069,0.72714,0.831807
2,4.82372,4.30276,4.07695,1.65463,1.49803,0.576147,0.611043,0.330673,2.71421,1.65805,3.93283,5.54,1.21219,0.384941,0.900871,0.744266,3.60542,1.09437,2.5272,2.30297,3.58779,0.925339,0.678499,1.16205,1.05779,2.10353,2.51069,1.3577,1.53563,0.796029,0.526381,0.834855,0.72617,0.976112,0.578743,0.838696,0.842508,1.92234,2.04421,1.03802,0.749314,1.02324,1.15703,1.4191,1.60887,1.57393,0.821587,1.40212,0.398937,0.976858,1.68262,1.13445,1.11386,1.53103,0.904955,0.794037,0.836937,0.823695,2.04853,3.21833,2.99521,2.28944,1.8483,1.05981,1.53882,0.687227,1.33661,3.67702,3.25771,1.40924,2.55504,1.60825,5.05602,1.14296,1.0235,1.71846,2.6544,2.10723,2.10055,0.905663,6.88028,1.2597,0.718026,0.807279,1.59092,0.975285,0.512103,0.353208,1.98407,0.615784,0.397823,0.442855,0.459623,0.511548,0.956408,2.0973,0.907595,0.82276,0.626589,0.475757,0.137914,0.736289,0.650762,0.44356
3,0.529002,1.76197,2.25225,2.5826,2.17694,0.576553,0.552861,1.30015,0.45178,1.58851,1.93597,2.24078,2.4835,0.738375,0.983859,0.893983,0.368326,0.531923,1.13056,1.92431,2.02674,1.19189,1.15868,0.74073,0.565695,0.948811,1.15651,1.29719,0.86999,1.34565,0.561723,0.666685,0.35148,0.8706,1.84255,2.41423,5.26925,2.04043,2.52609,2.09345,0.650749,0.857174,3.20376,2.66583,2.02288,2.22202,1.4238,1.80606,0.524225,0.715995,1.59012,2.42357,2.4599,2.03411,2.21534,2.82765,0.740972,0.879219,1.30744,2.12213,2.41702,2.03645,1.4276,1.61465,0.677925,0.870531,2.18987,1.76716,1.56117,1.38923,2.02749,2.54524,1.28165,1.42388,1.42178,1.12163,0.671432,1.05611,2.09078,2.30165,1.04046,1.59149,0.860129,0.693523,0.586711,0.766999,1.39963,0.752847,0.760135,0.590636,0.687434,0.615143,0.357464,0.717905,0.651891,1.34819,0.696546,0.522992,0.698338,0.684212,0.239059,0.416617,0.543738,0.276762
4,0.0450941,0.4601,3.3759,1.44595,1.89583,0.418888,2.40589,3.22858,0.0536082,0.270939,2.57854,1.77258,1.29223,0.434228,5.16499,2.39716,0.0820132,0.21099,1.12442,0.530015,1.06191,1.12697,2.10091,0.998758,0.291632,0.608178,0.609906,0.714062,1.38974,1.7227,0.643986,0.899582,0.207874,0.505769,0.903471,0.400799,2.39731,0.511339,1.51247,1.90139,0.381442,0.34855,0.207937,1.41952,5.54712,2.39414,1.4261,1.32486,0.882148,0.599136,0.471036,3.31531,5.16578,1.99296,2.50888,5.61787,0.439538,0.497565,1.87802,2.50987,1.12985,3.64294,1.98782,1.88081,0.612553,0.866102,1.46784,2.31771,1.21271,1.15602,1.24209,2.01415,0.921074,1.3582,2.73236,1.23983,1.03175,1.88413,1.3125,3.48977,0.738765,1.5051,0.458849,0.186348,1.06588,1.48908,4.24302,1.68791,0.437847,0.231587,0.536209,0.596056,0.586542,1.15012,0.577265,1.47398,0.738026,0.277879,0.213572,0.237185,0.333931,0.458028,0.617498,1.31251
5,2.3904,2.44423,2.16782,4.53945,3.57955,1.05488,0.641655,0.836061,1.74141,5.37919,3.17497,5.26464,2.50828,0.862681,0.81496,1.25053,0.659459,0.855122,0.577412,1.96349,3.31667,0.643445,2.00934,0.877714,0.949062,0.504584,0.823469,0.828571,2.10016,2.32449,0.462257,0.776612,0.516844,0.719161,1.44001,1.11455,1.47289,2.34532,1.14001,0.688997,0.431493,0.811969,3.23297,1.4334,2.67541,1.41354,0.870597,1.1075,1.14534,2.552,2.17138,2.47915,1.9016,0.957145,0.95954,1.62458,1.32609,1.87504,0.704693,1.68065,4.51147,1.23388,2.68341,1.0097,0.535186,1.13265,1.04505,1.21005,3.95726,9.96651,3.31478,2.30732,0.838912,0.393867,0.458939,0.846358,1.83707,4.98138,2.40676,1.63687,1.18348,0.282453,0.895336,2.18775,0.419926,0.976748,0.563891,0.990393,1.6777,0.738392,0.998995,1.22132,0.388451,0.790582,0.827236,0.727031,0.610961,1.14508,0.841281,0.348576,0.19731,0.480866,0.916925,0.342591
6,0.764401,0.880435,0.0732446,0.326915,0.542174,0.672719,1.45419,1.29148,0.818251,1.06707,0.307051,0.937112,1.11274,1.06127,1.21072,0.86822,0.737317,1.19882,1.09264,0.948269,0.643843,0.373525,0.778048,0.858171,1.10452,3.96511,0.785544,2.11281,1.3011,0.692057,0.45034,0.945176,0.536003,0.889527,1.09704,1.7764,1.45564,1.14592,1.41867,2.48394,0.392476,0.292082,0.290667,0.574535,2.26419,2.32138,1.36595,2.17464,0.440155,0.325072,0.996459,0.745798,1.52913,3.83252,2.49618,2.31075,1.22417,0.723478,1.97596,1.491,3.65942,3.12933,2.84499,1.77684,2.41692,1.03965,1.52039,2.85631,2.92303,2.52076,1.54341,1.78033,2.73453,1.15639,1.98404,1.67975,1.56382,2.15123,0.465891,1.97348,0.84339,0.347475,0.821625,1.06248,0.450157,0.719917,1.00638,0.711897,0.436007,0.271682,0.66449,1.1826,0.631246,0.781757,0.44034,0.667922,0.409033,0.302977,0.668202,1.36945,0.733133,0.538758,0.276617,0.26601
7,0.696055,0.782022,0.318613,0.792163,1.0871,1.18551,1.52178,1.51393,0.354243,0.477371,0.723763,1.37622,1.49904,0.729196,1.04975,2.37809,0.242984,1.21863,1.40592,1.19776,1.50567,1.2002,1.48916,1.06729,1.12089,2.05893,0.918377,0.541363,1.34563,2.56881,0.622286,0.686812,1.12102,0.202791,0.684744,1.12194,2.42119,2.32531,3.25153,0.702753,0.495009,0.308385,0.99227,2.46795,4.07934,2.9955,1.15489,2.21884,0.61892,0.78931,2.62875,2.66411,3.58385,3.58161,1.0432,1.63373,0.357153,0.514702,0.520758,3.84282,2.82489,1.98354,1.74362,2.01718,0.588325,0.754228,0.993955,1.05111,3.88331,1.71971,1.17489,2.51112,0.904671,1.14161,1.21259,3.0829,1.0829,1.56363,1.43233,1.31157,0.492536,1.18825,4.25589,0.898035,0.828802,0.745984,1.43285,0.828324,0.492098,0.366159,0.739048,0.574358,0.392382,0.822227,0.731601,1.95573,0.555374,0.252983,0.32324,0.702896,0.170707,0.546853,0.765923,1.07826
8,0.292568,0.659719,0.371384,0.691773,2.8701,0.446547,0.466749,1.0378,0.581517,0.740955,0.382831,0.950907,3.69579,1.72193,1.14731,1.33313,0.482101,0.538514,0.571659,0.553604,2.0638,3.03658,1.50232,0.778492,0.341288,0.682884,1.7254,1.42433,1.65285,1.61643,1.46487,0.999785,0.258287,0.630216,1.81315,1.59839,1.18517,1.69253,1.03218,1.35933,0.393287,0.89421,0.449938,1.51673,1.99748,2.03992,0.417695,0.357775,0.597713,0.807452,1.07515,3.1791,2.40875,1.3419,0.575802,0.446127,0.379345,0.293176,1.127,3.17243,2.74278,1.95181,1.16665,1.77396,0.361811,0.386644,2.17832,8.37868,9.81975,1.71687,1.87827,1.33407,0.62088,0.508489,3.29334,4.66835,1.62824,2.92324,2.67983,1.86653,0.862336,1.01947,2.73982,0.693184,0.819976,2.79433,1.64062,0.715722,2.49401,0.893541,0.967028,0.503658,0.463712,0.801476,0.559129,0.731753,0.436429,1.0013,0.740849,1.066,0.320853,0.245171,0.235308,0.697592
9,0.235915,2.23583,1.803,0.705766,0.423302,0.0944462,0.22289,0.378497,0.235987,0.814087,0.927844,2.72988,0.770459,0.255314,0.139514,0.32856,1.97874,0.489129,1.30089,1.72821,0.437848,0.35054,0.307217,0.433102,1.09323,1.30743,1.11004,1.06323,0.312477,0.677793,1.54121,0.753808,0.796645,0.605715,4.08708,3.27746,2.08324,0.64779,1.02056,1.0686,0.612676,1.18728,1.39673,1.73359,2.19823,0.794842,0.892831,1.23818,0.364894,0.738749,0.959069,2.91002,2.69885,0.897457,2.10859,0.902357,0.651292,1.10094,2.66487,3.34593,2.0387,0.764209,1.15764,1.21074,0.747855,1.29497,1.6183,1.60025,3.77124,2.73742,3.39405,0.845942,1.30629,1.8964,2.18769,0.393236,0.92779,1.64657,0.830298,1.15898,0.557067,1.72995,2.97082,0.918618,0.430919,0.584832,1.41886,0.717972,1.21893,0.975324,0.569556,0.453065,0.224674,1.40343,0.787991,2.11626,0.633069,0.851577,0.343824,0.545347,0.219302,0.573469,0.531502,0.451097
