real_name,well01_1,well02_1,well03_1,well04_1,well05_1,well06_1,well07_1,well08_1,well09_1,well10_1,well11_1,well12_1,part_time,part_east
0,5.72507,5.73474,5.38962,4.13202,3.93705,4.16267,2.56434,3.18159,2.90989,1.1193,1.0829,1.11057,0,0
1,5.76689,5.66636,5.30828,4.01874,3.81559,3.95508,2.70823,3.38645,2.69585,1.19924,1.06993,1.24253,0,0
2,5.67874,5.79423,5.57325,4.1353,3.84169,4.12449,2.43032,3.16237,2.98549,1.03013,1.32568,1.29744,0,0
3,5.81171,5.81478,5.5135,4.1182,3.88485,3.98273,2.58478,3.33478,3.06513,1.22318,1.11176,1.40032,0,0
4,5.71988,5.65634,5.5539,4.0381,3.9723,3.90245,2.62213,3.29605,2.79433,1.17122,1.36865,1.19955,0,0
5,5.87894,5.6189,5.36007,4.08182,3.93988,4.02278,2.8117,3.12427,3.06266,1.13816,1.18372,1.12149,0,0
6,5.81822,5.60973,5.3455,3.97225,3.93111,4.03516,2.62304,3.18737,3.17439,1.12571,0.954531,1.37711,0,0
7,5.72936,5.57623,5.48228,4.15448,3.92194,4.26725,2.56239,3.25166,2.97374,1.12757,1.21339,1.11907,0,0
8,5.7518,5.70589,5.45022,4.01943,3.89681,3.94667,2.46954,3.32169,2.9361,1.13315,1.1668,1.21386,0,0
9,5.77139,5.59974,5.49764,4.12462,3.88365,3.98965,2.59899,3.30964,3.09283,1.21294,1.25349,1.26737,0,0
10,5.66053,5.62313,5.36079,3.93298,3.97247,3.98895,2.66015,3.22219,2.91294,1.23925,1.40274,1.26866,0,0
11,5.76901,5.63823,5.47046,4.22672,4.03522,4.16412,2.69769,3.12853,3.01495,1.03574,1.04608,1.13379,0,0
12,5.68057,5.70588,5.42454,4.15385,4.0295,4.05617,2.57679,3.28379,3.14876,1.01261,1.13132,1.19021,0,0
13,5.73669,5.69686,5.51785,4.09252,3.94249,4.12091,2.6444,3.25492,2.9716,1.04683,1.00082,1.21578,0,0
14,5.80142,5.67089,5.43571,3.94295,4.00536,3.93603,2.63987,3.24233,2.95708,1.20881,1.06055,1.30619,0,0
15,5.80153,5.71156,5.59934,4.10453,4.02403,4.23941,2.45889,3.26044,2.90931,1.15804,1.16022,1.3015,0,0
16,5.71958,5.67085,5.51353,4.14994,3.97137,4.12714,2.71161,3.1609,3.00359,1.09154,1.25736,1.33671,0,0
17,5.74555,5.57817,5.56555,4.10304,3.88636,4.0734,2.52949,3.25634,2.9275,0.927239,1.306,1.03711,0,0
18,5.71313,5.73437,5.55514,4.10171,3.94447,3.87552,2.65917,3.22826,3.09318,1.09635,1.18371,1.15692,0,0
19,5.75843,5.71157,5.55053,4.21864,3.8959,4.02385,2.51539,3.38648,2.9414,1.27316,1.06842,1.11347,0,0
20,5.71605,5.60706,5.581,4.04553,3.98311,4.05274,2.42492,3.15761,3.0947,0.88978,1.29609,1.2737,0,0
21,5.68148,5.47421,5.55925,4.04776,3.95973,4.00853,2.51286,3.34449,2.90764,1.11654,1.0439,0.993855,0,0
22,5.61203,5.72051,5.5172,4.19885,3.98927,3.96915,2.59242,3.17299,2.86801,1.20801,1.19931,1.19848,0,0
23,5.93737,5.72152,5.5732,4.16158,3.765,4.08912,2.47207,3.29476,3.17696,1.05711,1.20705,1.30593,0,0
24,5.82681,5.64557,5.49614,4.09791,3.87572,3.95337,2.5794,3.18562,2.89881,1.06438,1.31542,1.07372,0,0
25,5.74628,5.55096,5.49135,4.01525,3.67798,4.02,2.57154,3.35348,3.01415,1.02558,1.13958,1.33923,0,0
26,5.84543,5.69598,5.4802,4.12306,4.06471,3.90219,2.63442,3.25492,2.93536,1.17626,1.01711,1.32064,0,0
27,5.85253,5.52261,5.45863,4.22558,3.92395,4.29191,2.5807,3.17438,2.85703,1.14567,1.09336,1.00406,0,0
28,5.77636,5.66875,5.5111,4.06661,3.8486,4.0972,2.54101,3.32751,2.8348,1.09874,1.21638,1.01692,0,0
29,5.69591,5.61976,5.383,4.13061,4.02925,4.24287,2.58975,3.0973,2.9246,1.18126,1.20864,1.06007,0,0
30,5.70667,5.60059,5.38927,3.97184,3.99434,4.00736,2.54314,3.25073,2.86562,1.06883,1.5402,1.14228,0,0
31,5.73316,5.6671,5.51417,4.03279,3.86309,4.07295,2.54639,3.24454,2.95839,1.03436,1.14858,1.0642,0,0
32,5.71666,5.64732,5.42229,4.19322,3.84925,4.03289,2.4835,3.09465,2.98261,1.26742,1.0861,1.0586,0,0
33,5.62086,5.81401,5.54637,4.12482,3.80803,4.02055,2.63695,3.1598,2.87793,1.01817,1.16224,1.32325,0,0
34,5.84179,5.63292,5.55702,4.02025,3.88761,4.11957,2.45512,3.15458,3.18858,1.20683,1.15094,1.33253,0,0
35,5.90958,5.78047,5.36759,4.01474,4.04757,4.04113,2.47178,3.34033,3.09326,1.18303,1.19991,1.05303,0,0
36,5.94738,5.71902,5.48203,4.03739,4.03217,4.12631,2.65585,3.33959,2.97954,1.17286,1.2257,1.16827,0,0
37,5.75414,5.70422,5.26007,4.25196,3.77294,4.04306,2.46533,3.36883,3.01015,1.24319,1.12518,1.32777,0,0
38,5.70754,5.90783,5.44604,4.08385,3.98903,4.03966,2.43942,3.13679,2.91133,1.16631,1.28279,1.20934,0,0
39,5.9093,5.92891,5.43087,3.93217,3.93456,3.96835,2.51422,3.29516,3.10296,1.18343,1.12088,0.989072,0,0
40,5.90143,5.79911,5.6406,4.22342,3.95723,3.93446,2.61355,3.17787,3.11151,1.10184,1.09133,1.35203,0,0
41,5.73589,5.68525,5.36075,3.89928,3.86046,4.15988,2.51467,3.30143,3.10811,1.07191,1.21733,1.34962,0,0
42,5.90862,5.61476,5.56545,4.1025,3.78628,4.10957,2.52045,3.31951,3.10671,1.14027,1.20717,1.11148,0,0
43,5.83012,5.74908,5.59516,4.08603,3.97293,4.15728,2.37185,3.15977,2.88432,1.132,1.03443,1.16209,0,0
44,5.85801,5.63839,5.4481,4.10866,3.87409,4.27695,2.63674,3.14602,3.00202,1.20962,1.30931,1.25717,0,0
45,5.75556,5.81288,5.48372,4.13092,4.17613,4.17062,2.63786,3.11784,3.04722,1.02157,1.11153,1.32162,0,0
46,5.61244,5.69204,5.43075,3.97557,4.15175,4.03373,2.51405,3.35196,3.10516,1.09983,1.20683,1.3211,0,0
47,5.82287,5.66458,5.53714,4.16414,3.94915,4.02948,2.49758,3.04152,3.05529,1.15553,1.25348,1.24924,0,0
48,5.89531,5.66047,5.45377,4.04281,3.76924,4.06688,2.60395,3.36754,3.09372,1.04808,1.19596,1.22287,0,0
base,5.74724,5.69616,5.49199,4.0919,3.92014,4.05991,2.59369,3.25979,2.97368,1.12417,1.20361,1.19256,0,0
