ParSetIndex,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
k_ppt1,2.196733,0.8708854,0.6396787,2.814136,0.1279458,0.4278811,3.259570,2.334534,1.220584,0.4956468,0.3954707,0.9988500,0.4256729,21.79193,2.411024,0.5431167,1.488855,0.2128007,0.2730651,0.3507212,0.3610913,1.888811,2.802198,2.070727,2.818805,0.1830420,1.713991,0.2893454,5.257128,0.9834794,1.423391,1.805021,2.021537,0.5787836,1.963215,6.8895988E-02,0.3230439,0.4669294,0.4435193,1.690992,2.112161,0.5556851,0.3444691,2.418266,0.5357747,1.038174,0.5163882,0.6705703,0.2316529,0.5411009
k_ppt2,3.190430,0.4882276,0.4263609,5.261647,0.5864297,1.107553,3.382245,12.18964,0.4476099,0.1516074,1.631944,0.7947857,0.5759389,10.02245,1.238100,0.2937082,1.842091,0.4540595,0.8976798,0.5620013,0.2590858,4.157662,3.458950,3.608721,1.117255,7.1202248E-02,1.039133,0.9397820,0.6132334,0.7128406,1.479406,1.484201,6.574813,0.7663756,1.100495,0.1981905,0.2483833,7.6726586E-02,0.1651703,3.149745,2.634333,1.410589,8.5449167E-02,2.507384,1.488854,0.8483395,0.5268976,0.5598225,0.7911395,0.2861814
k_ppt3,1.957332,1.470833,0.2307678,2.308326,3.896228,0.8305253,3.830152,3.188094,0.8931259,7.4223913E-02,0.7650646,0.9725895,0.4199810,10.64281,0.9037108,0.2114615,1.528646,0.5158891,0.9212112,0.1868055,0.4101726,4.417203,4.849067,3.429043,0.6589702,0.1012411,0.3899601,1.142325,1.186946,0.9080345,0.2946133,2.116268,29.95090,0.7167948,0.6125139,0.1560529,0.3641299,9.3659289E-02,0.2917379,1.966543,1.584024,1.062028,0.2720191,1.069042,0.4372910,0.8144725,1.912405,0.2621984,1.983665,0.2130647
k_ppt4,1.162402,0.9745781,7.6383308E-02,1.973831,0.8796158,0.5267689,4.227996,3.370625,2.404468,8.2286052E-02,0.3188147,1.315039,0.9503983,8.081736,1.352378,0.1832301,1.115252,0.9754743,0.8693454,9.2687935E-02,0.1986889,3.357469,12.92742,1.482318,0.3953185,9.5795751E-02,0.6390617,0.9111675,0.9025621,2.237743,0.3984355,0.6779390,4.994712,0.4451356,0.3634818,0.5924713,0.2104774,0.2140420,0.3742227,2.427892,1.206172,5.525589,0.1173889,0.6970816,0.3171464,0.6360598,1.270949,0.5217526,5.078296,1.249703
k_ppt5,1.195760,2.425001,0.1960385,2.476521,0.7578582,0.6321794,4.950367,5.371162,4.239291,0.1259732,0.2767254,1.193800,0.4197150,2.996214,0.6717119,0.3593447,2.930874,1.156949,1.679314,3.1670857E-02,0.4117289,2.447592,2.977691,3.783318,0.2576687,8.9782052E-02,1.764413,0.5275054,0.5816949,0.2546450,0.5390751,0.4221660,2.072782,0.3090609,1.390844,0.2017007,0.8295751,0.2924351,1.203730,1.736621,1.699170,3.163303,0.6699551,2.461909,0.2412547,9.3857162E-02,3.583201,0.8052965,2.638014,0.5937212
k_ppt6,5.414719,0.5171826,0.3717999,1.875780,1.644004,1.363198,3.719579,4.994139,2.776413,0.3427373,0.2491645,0.5397358,0.7729477,1.260368,0.2094152,0.5060553,2.919506,1.089415,0.3701783,6.9647521E-02,0.7458132,1.191072,0.8105710,2.596102,0.3263494,0.4167477,1.714808,1.170269,0.3696396,0.6683525,1.176129,0.8823653,8.044356,0.4043129,0.5326802,0.1676904,0.1472662,0.3283971,1.145978,4.703626,1.840138,6.899483,1.401688,1.583767,0.3544560,0.1081665,2.922631,0.6209950,2.603457,3.319554
k_ppt7,1.704185,1.174369,0.4849024,12.38529,0.8676040,1.355909,2.547959,2.980176,5.363509,0.7849813,0.1467580,0.1869294,1.085249,1.438915,0.2706561,0.7553492,2.910578,0.7819567,0.1534515,0.1937625,1.222354,0.8697967,1.170494,1.738731,0.4628740,0.5145669,0.4742305,1.331763,1.054779,0.6253498,1.241767,0.6920804,7.540874,0.2283270,0.5899568,0.3206481,0.2977714,0.2223816,0.3692943,3.254808,0.9922723,5.533938,0.7308860,1.451982,0.5477694,0.3739327,2.050471,0.6732506,6.432908,1.280583
k_ppt8,1.251668,3.098432,0.1956794,16.72871,1.012379,3.822253,9.740458,2.146644,4.271407,0.1786100,0.1232951,0.6009069,0.4316897,1.782981,0.3261742,0.9557064,1.004316,1.337126,0.3533451,0.1980907,1.059858,0.7723338,1.149826,4.216220,0.7548904,0.9722097,1.267656,1.132225,0.6197778,0.2925646,0.6529236,1.591419,6.829410,0.1581871,0.6096115,0.4077036,0.1298825,0.3917799,0.3120092,4.213469,0.5812646,2.786485,1.066774,0.6271069,1.455175,0.3113041,3.843955,0.9930591,5.495981,0.5561757
k_ppt9,1.845975,0.3147671,0.9261982,0.8810321,0.1980904,0.2611722,3.492822,1.300955,0.8571363,0.4748549,0.6146215,0.5624166,0.7233926,6.692757,1.559661,1.040974,2.042275,0.3418475,0.2384402,0.3148394,0.3412220,1.470635,2.002279,3.499295,1.427357,0.3495212,4.344133,1.433721,1.929647,4.721288,0.5140332,1.893473,4.239794,0.6045812,1.801709,0.1139870,0.1783744,0.3899815,0.3532621,1.183936,0.8233485,0.6882815,0.2129090,2.577534,0.9480676,0.3324061,1.035615,2.435049,0.7902638,0.8771017
k_ppt10,1.316820,0.5574065,0.4034715,1.616089,0.2910935,0.5263294,4.581008,4.867772,0.7307744,0.1014769,0.6365167,0.6534458,0.4358901,1.522528,0.6160802,0.3680964,1.478614,0.5201559,0.3471016,0.4860158,0.5401615,3.129142,6.902954,6.068677,0.8247199,0.3076884,1.243844,2.057778,2.375469,1.211166,1.746505,2.326045,5.142753,0.1969855,0.4235913,0.1328194,0.2758034,5.9745155E-02,0.5341456,1.115987,0.6502941,2.130674,0.2255389,0.9815251,0.3292294,0.6467970,2.674985,3.818578,1.456130,0.8203549
k_ppt11,9.787743,1.694320,0.4062329,1.135869,0.7945837,0.3011787,3.061937,3.678592,1.569122,0.1536374,0.6203991,1.796980,0.5009223,4.225885,0.4230605,0.3676925,2.584808,0.4504466,0.2989646,0.4412590,0.6001332,2.911282,3.949381,5.033784,1.217078,0.2537033,2.098783,1.708680,0.6735114,0.8550158,0.4010459,0.9302633,5.687321,0.9927378,0.3286440,0.1262103,0.4711147,6.2498059E-02,0.3453127,2.250290,1.069861,0.5335351,0.2124229,0.7737717,0.1742587,0.8083977,2.624440,1.954623,3.126278,0.3350013
k_ppt12,13.39279,2.138653,0.1822713,1.745559,0.6221598,0.2271942,1.782402,1.819255,1.007236,5.2673034E-02,0.6753547,0.7312559,0.5419199,2.740865,0.6727898,0.2175954,1.703320,0.6722692,0.2284695,7.7430449E-02,0.4278655,2.172806,3.601407,4.091044,0.5224995,0.3291780,0.8990677,0.7187354,0.2894733,0.9916916,0.2561350,1.076356,7.206992,0.4598322,0.1714115,0.5167645,0.1781653,0.2537874,0.6043749,1.909318,0.8540387,0.5127598,0.1116823,0.5193784,0.2458195,0.9065050,2.615199,1.346947,10.56498,1.029248
k_ppt13,2.979260,2.693950,9.5976368E-02,1.346307,0.3551646,0.4607848,3.811709,3.991063,1.989824,0.1744068,0.2377990,0.4287947,1.037935,2.668435,0.3514257,0.1179670,5.488785,0.6823192,0.2582418,0.1337869,1.111545,2.134597,6.683339,6.423052,0.4048803,0.1074521,1.465765,1.477046,0.7607758,0.2351644,0.6294655,0.4353810,4.000774,0.1382069,0.7643862,0.2373709,0.3990144,0.2496211,0.2767238,2.042111,0.9092942,1.918633,0.5392250,0.8941144,0.1274031,0.4104524,2.133014,1.465151,1.598888,2.032297
k_ppt14,2.280947,1.768014,0.3388746,2.587896,0.8908469,0.5505336,7.396630,12.14934,3.699879,0.3967258,0.2792654,0.9022283,1.053209,0.5423681,0.1699147,0.6056798,4.253396,0.9938224,0.2614719,5.7864226E-02,0.7661134,1.303156,1.932549,2.174022,0.6085803,0.1895296,0.7587301,0.4093323,0.6800969,0.2647698,1.151832,0.4077974,4.866418,0.1768126,2.359723,0.1236365,0.2794315,0.6839867,0.7334726,2.568256,1.047605,8.229284,2.405356,1.617475,0.5201759,0.3959095,5.804976,0.7099908,4.433493,1.231647
k_ppt15,1.264643,1.086321,0.5722080,6.162501,1.182119,1.677271,2.213997,5.065380,6.572363,0.2755965,0.1338512,0.1169696,1.352649,0.9403987,8.8019587E-02,0.8114657,1.814707,1.764023,0.2000016,0.3300334,1.215054,1.774143,0.6749800,1.546443,0.5887625,0.7013707,0.4277483,0.8792108,0.8919098,0.9166122,1.391026,0.8705500,4.226431,0.1417907,0.8030645,0.3496994,0.1727841,0.9059684,0.3386240,2.052010,1.912160,2.525974,2.392787,1.018475,2.361967,0.2074358,3.096854,0.3542291,2.163256,1.459436
k_ppt16,1.576137,2.353467,0.4589710,9.680396,0.6996998,4.104238,2.768744,2.203556,4.918300,9.2966042E-02,0.1380658,0.3267140,0.5561307,0.5633047,0.2966839,0.7430318,1.764729,1.287864,0.1648620,0.3366436,0.4562898,1.828730,1.658049,0.8218417,2.190785,0.8926258,0.9965120,1.622389,0.9093188,1.027702,0.3584596,1.099030,1.955917,0.1186472,1.128512,0.5473491,0.2111171,2.214965,0.5597745,3.087030,0.7766169,1.742438,1.132979,1.488798,1.910474,0.3494536,5.121571,0.9521769,3.467189,4.926998
k_ppt17,0.8868438,0.2677588,1.422434,1.234377,1.077447,0.2729462,2.172600,1.245970,0.7659278,0.3247283,0.2421837,2.319769,1.098352,1.701651,0.6106900,0.8093535,1.537334,0.6139935,0.8213953,0.2834375,0.5545507,0.9494628,3.380540,3.550840,3.160170,1.052358,6.355346,0.9315916,1.516581,6.220257,0.3659058,0.4057527,1.397633,0.2194756,1.202287,0.1331678,0.1601420,0.2342824,0.5285843,2.603574,1.393806,0.2778753,0.4550930,3.096427,0.5224193,8.6117037E-02,1.021532,1.197567,0.8367268,0.2844853
k_ppt18,1.396442,0.3133283,0.2779930,1.725565,0.4215052,0.2041014,0.7159237,0.5026224,0.5125702,0.2258870,1.305430,0.6129570,0.9335427,2.464461,0.4667811,0.3546907,1.053466,1.153775,0.6507926,0.5167210,0.6416105,0.7784341,4.762126,2.901182,2.336886,0.5887020,2.647239,0.5439086,1.638366,5.382636,2.353983,0.5737464,2.357645,0.5761920,1.465480,0.1691895,0.2541286,0.1466858,1.092339,1.700138,0.7566890,0.3864983,0.2738048,0.4292744,0.4071234,0.6127004,1.253236,1.719061,2.231939,0.3781532
k_ppt19,1.471854,0.3055086,0.1338548,2.187065,0.3105913,0.1004947,1.416454,0.5049614,0.4671198,0.1331768,0.6197285,0.5467426,0.7132145,3.928861,1.137698,0.7795521,5.569634,0.6373060,0.2319944,0.3503389,0.3733275,0.6717395,3.472329,4.315512,4.610124,0.6939777,1.913954,1.414254,1.168710,2.200481,0.5753864,1.555500,2.394762,0.3583563,0.8673325,0.2567475,0.4079596,0.5374659,0.2567569,1.774512,0.7915457,0.5161876,1.029342,0.2286198,0.3071883,0.5804332,2.171842,1.621841,2.614392,0.5268803
k_ppt20,7.166959,0.9597802,0.2063807,5.232319,0.6392041,0.5064519,1.354621,2.954873,0.7963317,9.8381765E-02,0.2133673,0.7279854,0.4894010,1.845648,2.722684,0.8547759,4.797237,0.7268997,0.1336052,0.2420035,0.4339241,0.3146878,8.794623,2.096157,2.572296,0.6701818,1.444841,0.4113568,0.5997688,0.8724728,0.5111924,1.349765,7.456587,0.2446051,0.3701387,0.8551217,0.8666402,0.6645939,0.2059441,1.429845,0.8338157,1.753388,0.5327361,0.6327972,0.2579753,0.6366228,1.311754,4.272424,3.262715,0.7322909
k_ppt21,8.623054,4.565526,0.3640117,1.803317,0.6929568,0.6142862,2.901499,7.102970,1.334065,0.1533555,0.2973343,1.446615,0.6898685,1.299793,1.004131,0.3992116,5.458699,0.4165340,0.3431031,0.3999039,1.242545,1.006580,3.305301,4.252017,2.599046,0.1702950,1.522540,0.5869012,0.7993967,0.2811090,1.978876,1.335938,5.383292,0.2965260,0.9284701,0.3425384,0.2746432,0.5950483,0.2925393,4.803114,1.765214,4.174437,0.4970029,0.6053367,0.4953354,0.7393772,0.8399682,5.379975,3.167438,3.026558
k_ppt22,2.774790,2.761206,0.3817028,2.534676,0.7856395,1.977906,9.309878,6.642071,1.548172,0.1351375,0.1388186,1.098330,0.6764781,0.3370280,0.4507855,0.8237640,2.448683,0.4722451,0.3053984,0.2724079,1.553596,3.398919,0.6140764,5.414126,2.994236,0.6567699,0.2645294,0.4915883,0.9498710,0.6632596,1.521395,1.647471,9.137106,0.1361959,1.019848,0.2467485,0.3692928,0.8336950,0.3192848,1.748040,0.6921198,3.110476,1.067231,1.181564,1.542429,0.6774999,1.729967,1.959680,5.121121,8.920569
k_ppt23,1.401119,2.114128,0.4605568,1.861235,0.6161108,0.4017338,9.752834,1.706279,1.363265,4.2262387E-02,0.1186948,0.2852358,0.7568810,0.8733639,0.1364479,0.7718777,1.998458,1.268338,0.1516779,0.1278210,2.601620,1.701140,0.5796341,2.992672,1.132920,0.6780692,0.3818401,0.3680561,0.8263920,0.7421663,1.424687,0.3480292,2.399896,0.4239352,0.6354421,0.4237638,0.2669700,1.899830,0.3620831,2.026230,0.9525609,1.583293,1.961079,0.3894297,0.7333480,0.2701420,1.834285,1.000251,5.153035,2.695463
k_ppt24,3.225151,2.871819,0.8933446,2.767345,0.1947298,2.989949,4.956000,1.876395,1.106567,0.1084228,0.1314033,0.1795061,0.7594851,0.6181981,0.2512616,0.8767916,3.176102,2.608232,9.5246419E-02,0.2978643,1.031836,3.009333,0.7911550,1.374079,2.919659,0.6586335,0.5075523,0.2905073,0.6897064,2.447947,1.617109,0.9137078,1.180129,0.2329376,2.138642,0.4622988,0.4387805,3.878216,0.5152106,1.714846,1.129870,2.780289,0.6601545,0.3843033,2.361101,0.2543161,2.332913,1.247295,4.970742,1.986565
