  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
     0  0.1500000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       15.17497       84.82502    
     1  0.3000000      0.1418160E-03   0.000000      0.1500000      0.1418160E-03   0.000000       0.000000      0.1509632       0.000000       0.000000       0.000000      0.6038529E-01 -0.6038529E-01   0.000000      0.7000000E-02  0.8214159E-03  0.6178584E-02  0.2287667E-16   15.17497       84.82502    
    29  0.3065449      0.3147583E-02   0.000000      0.6544937E-02  0.3005767E-02   0.000000      0.1910000E-01  0.1617237E-01  0.2420262E-02   0.000000      0.2420262E-02  0.6468947E-02 -0.4048685E-02   0.000000      0.1872000      0.2330140E-01  0.1638986     -0.1141014E-14   15.17497       84.82502    
    60  0.3463488      0.5961336E-02   0.000000      0.3980388E-01  0.2813753E-02   0.000000      0.6820000E-01  0.2224659E-02  0.7129700E-02   0.000000      0.7129700E-02  0.8898637E-03  0.6239836E-02   0.000000      0.1612000      0.2067733E-01  0.1405227     -0.1678345E-15   15.17497       84.82502    
    90  0.3789665      0.6645419E-01   0.000000      0.3261765E-01  0.6049285E-01   0.000000      0.1481000       0.000000      0.4116725E-01   0.000000      0.4116725E-01   0.000000      0.4116725E-01   0.000000      0.8770000E-01  0.1382224E-01  0.7387776E-01 -0.1942890E-15   15.17497       84.82502    
   121  0.3888189      0.3809754E-01   0.000000      0.9852425E-02 -0.2835665E-01   0.000000      0.8160000E-01   0.000000      0.9058789E-01   0.000000      0.9058789E-01   0.000000      0.9058789E-01   0.000000      0.6310000E-01  0.9516335E-02  0.5358367E-01  0.2359224E-15   15.17497       84.82502    
   151  0.3547249      0.2425366E-01   0.000000     -0.3409401E-01 -0.1384388E-01   0.000000      0.3840000E-01   0.000000      0.7833558E-01   0.000000      0.7833558E-01   0.000000      0.7833558E-01   0.000000      0.5220000E-01  0.8002308E-02  0.4419769E-01  0.1925543E-15   15.17497       84.82502    
   182  0.3313990      0.8093238E-02   0.000000     -0.2332585E-01 -0.1616042E-01   0.000000      0.5400000E-02   0.000000      0.3778039E-01   0.000000      0.3778039E-01   0.000000      0.3778039E-01   0.000000      0.5100000E-01  0.7105880E-02  0.4389412E-01 -0.1873501E-15   15.17497       84.82502    
   213  0.3081485      0.4246407E-02   0.000000     -0.2325052E-01 -0.3846832E-02   0.000000      0.8000000E-03   0.000000      0.1501136E-01   0.000000      0.1501136E-01   0.000000      0.1501136E-01   0.000000      0.9810000E-01  0.1288599E-01  0.8521401E-01 -0.4336809E-17   15.17497       84.82502    
   243  0.3000000      0.2639090E-02   0.000000     -0.8148509E-02 -0.1607316E-02   0.000000      0.3600000E-02  0.9280042E-02  0.7262061E-02   0.000000      0.7262061E-02  0.3712017E-02  0.3550044E-02   0.000000      0.1237000      0.1537381E-01  0.1083262     -0.1111524E-14   15.17497       84.82502    
   274  0.3000000      0.2636109E-02   0.000000       0.000000     -0.2981548E-05   0.000000      0.7400000E-02  0.2189486E-01  0.5507286E-02   0.000000      0.5507286E-02  0.8757944E-02 -0.3250658E-02   0.000000      0.1923000      0.2379056E-01  0.1685094     -0.2384377E-14   15.17497       84.82502    
