ICPL	Kx
1	5.569845
2	8.196157
3	11.44617
4	16.48206
5	27.32869
6	21.86162
7	18.98106
8	16.64641
9	14.43784
10	10.97384
11	7.453489
12	8.684815
13	11.01203
14	12.05529
15	12.82451
16	14.27372
17	15.00232
18	15.9376
19	15.74026
20	14.42678
21	13.02372
22	12.46865
23	13.33222
24	13.28013
25	11.19217
26	9.998494
27	9.37781
28	9.205601
29	12.6813
30	16.34149
31	16.80431
32	17.6702
33	12.01519
34	10.30419
35	11.157
36	14.08466
37	15.35302
38	17.15765
39	12.18818
40	9.702619
41	9.367241
42	9.431064
43	9.452964
44	9.263132
45	9.312155
46	8.937424
47	9.11599
48	9.194561
49	8.993946
50	9.115689
51	9.696274
52	8.939045
53	9.071464
54	9.202593
55	9.115082
56	9.219116
57	9.271776
58	9.208032
59	9.276369
60	9.320147
61	9.355966
62	6.266067
63	8.478323
64	12.2218
65	14.23945
66	16.21848
67	19.10903
68	21.88464
69	18.83091
70	14.61566
71	12.04697
72	11.00096
73	10.77058
74	10.71776
75	11.11075
76	12.12326
77	15.59533
78	22.03153
79	24.13585
80	20.68103
81	16.7383
82	13.32242
83	11.41995
84	10.7853
85	11.09553
86	12.13627
87	12.78951
88	12.29644
89	11.84968
90	11.94196
91	12.36542
92	12.64366
93	11.51024
94	8.25164
95	6.849336
96	8.326521
97	11.2088
98	14.34308
99	15.67655
100	12.63126
101	10.19144
102	9.578547
103	9.445894
104	9.459126
105	9.550946
106	9.544333
107	9.795595
108	9.641957
109	9.620982
110	9.71592
111	9.685218
112	10.45079
113	9.919777
114	9.771171
115	9.734839
116	9.806935
117	9.768839
118	9.947624
119	9.823199
120	9.787258
121	9.82082
122	9.791275
123	5.57168
124	8.549242
125	14.64626
126	10.73488
127	8.413261
128	14.16207
129	27.8807
130	18.72394
131	12.8711
132	11.85791
133	15.58205
134	14.2649
135	11.19804
136	11.98005
137	11.90668
138	17.87007
139	36.75237
140	38.8166
141	27.48297
142	19.69125
143	13.45997
144	10.0771
145	8.258697
146	8.586449
147	12.87823
148	16.63924
149	15.91732
150	14.72255
151	10.25936
152	8.462112
153	8.568507
154	8.062619
155	5.384944
156	3.716254
157	6.430476
158	9.205956
159	13.64636
160	17.52555
161	13.01968
162	10.39045
163	9.880196
164	9.801953
165	9.783577
166	9.771047
167	9.769021
168	9.706483
169	9.736908
170	9.755494
171	9.662222
172	9.754053
173	10.46752
174	9.69502
175	9.682613
176	9.703167
177	9.741303
178	9.75966
179	9.967168
180	9.830975
181	9.830443
182	9.931599
183	9.912276
184	7.470388
185	7.56616
186	7.462321
187	6.716755
188	6.65787
189	9.508804
190	13.94315
191	11.42517
192	7.910079
193	7.876457
194	10.4816
195	14.73583
196	20.07159
197	21.82098
198	21.16644
199	25.69305
200	36.7765
201	37.94142
202	29.15034
203	20.88524
204	14.39371
205	9.933228
206	7.059655
207	7.162741
208	10.76736
209	14.27234
210	14.54313
211	12.00529
212	7.909503
213	5.890767
214	5.471474
215	5.250429
216	4.93251
217	5.119383
218	6.944161
219	9.87619
220	13.54639
221	15.69402
222	13.12799
223	10.83463
224	10.22996
225	10.06143
226	9.995471
227	10.15098
228	10.11429
229	10.39382
230	10.2261
231	10.18377
232	10.28493
233	10.24111
234	10.96486
235	10.4714
236	10.32679
237	10.28544
238	10.3518
239	10.317
240	10.46358
241	10.36093
242	10.33717
243	10.35617
244	10.34876
245	10.33682
246	7.095815
247	3.91093
248	4.323791
249	4.311787
250	5.714397
251	8.546206
252	5.947681
253	3.539788
254	4.376862
255	6.116792
256	13.5077
257	40.0818
258	42.58013
259	35.49861
260	34.69486
261	37.13789
262	35.54128
263	28.71751
264	21.01939
265	15.12096
266	10.06017
267	5.837553
268	5.405856
269	9.275208
270	12.33471
271	12.13606
272	10.03559
273	5.78498
274	3.743396
275	3.632172
276	3.53339
277	4.829421
278	6.819629
279	7.995979
280	11.07685
281	14.07339
282	17.47188
283	13.74924
284	10.85434
285	10.37555
286	10.34117
287	10.35661
288	10.32274
289	10.36881
290	10.1807
291	10.31379
292	10.39842
293	10.25364
294	10.46504
295	11.32363
296	10.23873
297	10.35712
298	10.47852
299	10.57119
300	10.66894
301	11.05734
302	10.87664
303	10.95366
304	11.27167
305	11.3039
306	11.28353
307	8.544661
308	5.43688
309	3.94088
310	3.13405
311	2.943348
312	2.950714
313	2.755135
314	2.581392
315	3.278709
316	5.203069
317	11.14081
318	26.77743
319	38.07899
320	39.38267
321	37.85203
322	35.17351
323	33.36724
324	30.18734
325	21.16385
326	12.35783
327	8.61405
328	7.490632
329	7.500539
330	8.384362
331	9.098122
332	9.224229
333	7.676581
334	4.911641
