pointid   X                     Y                   North_or_South    Multiplier
1       974034.33990303       125354.808529831          1                2.0000000E+01
2       974700.30987241       125827.432379068          1                2.0000000E+01
3       974850.690188076      126686.74846859           1                2.0000000E+01
4       974549.929556743      127653.479069303          1                1.8031580E+01
5       974700.30987241       128727.624181205          1                1.0069970E+01
6       975108.485014933      129629.906075203          1                7.3478090E+00
7       976010.766908931      129479.525759537          1                7.2374590E+00
8       976612.288171596      129586.940270727          1                6.4039780E+00
9       977514.570065595      130038.081217726          1                4.8749640E+00
10      978545.749373021      129930.666706536          1                3.3192560E+00
11      979039.856124496      129286.179639394          1                2.4141630E+00
12      978524.266470783      128663.175474491          1                2.7071240E+00
13      978631.680981973      127674.961971541          1                1.6148360E+00
14      978910.958711068      127116.406513351          1                1.0104870E+00
15      979684.343191638      126815.645882018          1                4.7060600E-01
16      980457.727672208      126751.197175304          1                3.4164130E-01
17      980651.07379235       127717.927776017          1                3.5107100E-01
18      981338.526663968      128276.483234206          1                3.0455900E-01
19      982305.25726468       128212.034527492          1                2.5450570E-01
20      983293.47076763       128706.141278967          1                2.5916020E-01
21      984195.752661629      129221.73093268           1                2.8399200E-01
22      984625.41070639       129844.735097584          1                2.9689420E-01
23      985699.555818292      130102.52992444           1                3.4137840E-01
24      985914.384840673      129801.769293108          1                3.5726710E-01
25      985635.107111578      129114.31642149           1                3.2557890E-01
26      985269.897773531      128255.000331968          1                3.7519980E-01
27      985269.897773531      127546.064558112          1                4.4011130E-01
28      985463.243893674      126858.611686495          1                5.4995020E-01
29      986086.248058577      126794.16297978           1                6.6856770E-01
30      986301.077080958      126643.782664114          1                7.0327410E-01
31      986129.213863053      126300.056228305          1                7.2977600E-01
32      985935.867742911      125891.881085782          1                7.2571230E-01
33      986064.765156339      125032.56499626           1                8.5408770E-01
34      986494.4232011        124108.800200024          1                1.2028290E+00
35      987224.841877194      123765.073764215          1                1.3208790E+00
36      987998.226357764      123313.932817216          1                9.6749740E-01
37      988857.542447286      122884.274772455          1                9.8182320E-01
38      973153.54091127       124667.355658213          2                9.3473980E+00
39      973798.027978412      124173.248906738          2                8.0567190E+00
40      974356.583436601      123979.902786596          2                6.3605880E+00
41      974549.929556743      123077.620892597          2                3.0632170E+00
42      975065.519210457      122819.826065741          2                2.3091340E+00
43      975795.93788655       123206.518306026          2                1.9626510E+00
44      976504.873660406      122583.514141122          2                9.6927170E-01
45      977385.672652166      122239.787705313          2                4.7545120E-01
46      977965.711012594      122433.133825456          2                3.6231110E-01
47      978223.50583945       123142.069599312          2                4.5785950E-01
48      979018.373222258      123614.693448549          2                4.6677570E-01
49      979684.343191638      123464.313132882          2                5.2771190E-01
50      980393.278965493      123249.484110502          2                4.3758430E-01
51      980908.868619207      123829.522470929          2                3.7743590E-01
52      981832.633415443      124151.7660045            2                3.6264670E-01
53      982971.22723406       124065.834395548          2                5.4826910E-01
54      984023.889443724      123679.142155263          2                5.3792690E-01
55      985033.585848913      123034.655088121          2                7.1967420E-01
56      985549.175502626      122433.133825456          2                8.2536540E-01
57      986279.59417872       121810.129660552          2                9.4623550E-01
58      986752.218027957      120929.330668792          2                7.6006480E-01
59      987482.636704051      120306.326503889          2                8.4134960E-01
60      988320.469891335      120263.360699413          2                1.0128360E+00
61      988599.747620429      121079.710984459          2                1.0550910E+00
