id      X                 Y                  Kx_start
1     973542.472930681    124898.592052393       5.1708010E+01
2     975379.100994654    124531.266439599       6.0401640E+01
3     975033.382770847    122932.319654493       9.6239940E+01
4     975271.064049714    126346.287114584       5.6238390E+01
5     976113.752220243    127232.190063088       7.5437760E+01
6     974946.953214896    128312.559512484       9.0075440E+01
7     975551.960106557    129522.573295807       1.0365920E+02
8     977561.447282433    129889.898908602       9.6722910E+01
9     979030.749733611    129155.247683012       7.4966300E+01
10    976956.440390772    128118.093011593       9.8903430E+01
11    978576.994564865    127793.982176774       6.7461920E+01
12    977604.662060409    125978.961501789       6.0655090E+01
13    978576.994564865    124704.125551502       7.4261720E+01
14    977042.869946723    123991.081714901       1.0287260E+02
15    977669.484227373    122392.134929795       3.1614700E+01
16    980089.511794019    123558.933935142       2.0082510E+01
17    980046.297016044    126497.538837499       5.6518740E+01
18    981623.636412161    128096.485622605       1.7186440E+01
19    983352.227531195    128658.27773629        1.5143940E+01
20    985858.684653793    129846.684130626       2.1038980E+01
21    982704.005861557    124228.762993768       2.4087070E+01
22    985145.640817192    123061.96398842        8.7000810E+01
23    986636.550657358    121527.839370278       5.2869040E+01
24    988516.393499306    120166.57386404        5.9143240E+01
25    989013.363446028    122759.46054259        5.4975160E+01
26    986939.054103188    123429.289601215       3.7006860E+01
27    986269.225044563    126475.931448511       2.7466920E+01
28    980629.696518717    125525.206333043       5.4409770E+01
29    982768.828028521    126259.857558632       1.9386290E+01
30    984519.026536542    125157.880720248       4.6021340E+01
31    984432.59698059     127253.797452076       1.9422900E+01
32    986074.758543672    124747.340329478       5.1056850E+01
