id      X                 Y                  Kx_start
1     973542.472930681    124898.592052393       1.5000000E+02
2     975379.100994654    124531.266439599       1.5000000E+02
3     975033.382770847    122932.319654493       1.5000000E+02
4     975271.064049714    126346.287114584       1.5000000E+02
5     976113.752220243    127232.190063088       1.5000000E+02
6     974946.953214896    128312.559512484       1.5000000E+02
7     975551.960106557    129522.573295807       1.5000000E+02
8     977561.447282433    129889.898908602       1.5000000E+02
9     979030.749733611    129155.247683012       1.5000000E+02
10    976956.440390772    128118.093011593       1.5000000E+02
11    978576.994564865    127793.982176774       1.5000000E+02
12    977604.662060409    125978.961501789       1.5000000E+02
13    978576.994564865    124704.125551502       1.5000000E+02
14    977042.869946723    123991.081714901       1.5000000E+02
15    977669.484227373    122392.134929795       5.0000000E+01
16    980089.511794019    123558.933935142       5.0000000E+01
17    980046.297016044    126497.538837499       1.5000000E+02
18    981623.636412161    128096.485622605       5.0000000E+01
19    983352.227531195    128658.27773629        5.0000000E+01
20    985858.684653793    129846.684130626       5.0000000E+01
21    982704.005861557    124228.762993768       5.0000000E+01
22    985145.640817192    123061.96398842        7.5000000E+01
23    986636.550657358    121527.839370278       7.5000000E+01
24    988516.393499306    120166.57386404        7.5000000E+01
25    989013.363446028    122759.46054259        7.5000000E+01
26    986939.054103188    123429.289601215       7.5000000E+01
27    986269.225044563    126475.931448511       5.0000000E+01
28    980629.696518717    125525.206333043       1.5000000E+02
29    982768.828028521    126259.857558632       5.0000000E+01
30    984519.026536542    125157.880720248       5.0000000E+01
31    984432.59698059     127253.797452076       5.0000000E+01
32    986074.758543672    124747.340329478       6.8000000E+01
