pointid   X                      Y                      layer_kx_multiplier         vertical_anisotropy       recharge
1         987998.226357765       120505.043349591            1.1318400E+00              1.8362300E+01            2.4829000E-03
2         988277.504086859       122288.124235349            6.2930300E-01              6.6743400E+00            2.3137400E-03
3         987590.051215242       123469.683858442            5.5402800E-01              8.4298200E+00            2.9740500E-03
4         987181.876072719       122223.675528635            6.3808400E-01              4.1733200E+00            2.4543000E-03
5         986580.354810053       121729.56877716             6.7919600E-01              4.8017700E+00            2.5445200E-03
6         985785.487427245       122717.78228011             1.2876800E+00              3.8632400E+00            3.4595000E-03
7         986279.59417872        124135.653827822            8.4035500E-01              5.1875400E+00            1.9589400E-03
8         986129.213863054       123469.683858442            1.0230700E+00              3.8743400E+00            4.5279800E-03
9         986924.081245862       122868.162595776            8.3366400E-01              7.7379700E+00            2.6402600E-03
10        984711.342315343       123491.16676068             8.1748200E+00              8.8440900E+00            1.5000000E-03
11        984625.41070639        124414.931556916            2.7069900E+00              9.5358900E+00            1.5000000E-03
12        985205.449066818       125617.974082247            3.6205900E-01              5.8078000E+00            1.5320700E-03
13        985806.970329483       126563.221780721            4.9163000E-01              8.5531100E+00            1.5339100E-03
14        985055.068751151       127895.161719481            2.5807200E-01              2.2205800E+01            1.7508000E-03
15        985678.072916055       129871.588725381            6.3728200E-01              2.9978000E+01            1.6497100E-03
16        984367.615879534       129055.238440335            6.0863600E-01              1.4642400E+01            2.5166500E-03
17        982928.261429584       128346.30266648             2.8239500E-01              2.4231700E+01            3.0620800E-03
18        983830.543323583       126821.016607578            2.6833100E-01              1.6527600E+01            1.5000000E-03
19        984797.273924295       126369.875660579            5.3791400E-01              9.2366100E+00            1.5000000E-03
20        982928.261429584       125338.696353152            8.2227500E-01              1.6661200E+01            1.5000000E-03
21        982906.778527346       126692.11919415             5.6126300E-01              3.2786400E+01            1.5057300E-03
22        981145.180543826       128024.059132909            4.4048200E-01              2.2411700E+01            2.0725100E-03
23        982906.778527346       124565.311872583            3.5019100E-01              5.2467200E+01            1.5000000E-03
24        981145.180543826       124200.102534536            4.5822400E-01              1.2350900E+01            1.5163900E-03
25        980457.727672208       123276.337738299            9.2111000E-01              2.4427900E+01            2.8692900E-03
26        981811.150513206       125875.768909104            7.7505300E-01              4.5219400E+01            1.5000000E-03
27        980651.073792351       126649.153389674            4.3915500E-01              1.6180100E+01            1.5421600E-03
28        979233.202244639       126735.084998626            1.6117500E+00              6.6517100E+00            3.5306800E-03
29        979082.821928973       125252.7647442              1.1882100E+00              1.0194000E+01            3.1372300E-03
30        980307.347356542       125510.559571057            4.7646200E-01              7.8702000E+00            1.9273000E-03
31        978502.783568545       123469.683858442            7.3936200E-01              1.2494500E+01            3.1236800E-03
32        977772.364892452       124715.692188249            1.3859500E+00              9.4997000E+00            4.6013400E-03
33        977557.535870071       122352.572942063            1.5648000E+00              6.3328800E+00            2.9858800E-03
34        975731.489179837       123362.269347252            4.0247000E-01              7.0081000E+00            4.4636200E-03
35        977256.775238739       123899.341903203            8.8109500E-01              7.6849100E+00            3.7173800E-03
36        977063.429118596       125553.525375533            4.2133700E-01              1.2363700E+01            6.0000000E-03
37        977664.950381262       127014.36272772             8.0351600E-01              1.4430300E+01            6.0000000E-03
38        977965.711012594       128324.819764242            7.0481200E-01              6.1977100E+00            6.0000000E-03
39        978867.992906592       129420.447778382            6.9083500E-01              1.0934400E+01            5.5563400E-03
40        976977.497509644       129613.793898525            7.8540400E-01              9.2118200E+00            6.0000000E-03
41        975280.348232838       129570.828094049            7.7009400E-01              7.0263300E+00            6.0000000E-03
42        974657.344067934       127787.74720829             5.0175700E-01              2.2816300E+01            6.0000000E-03
43        976118.181420122       128281.853959766            3.3798500E-01              1.9644700E+01            5.1441400E-03
44        976762.668487263       126863.982412054            5.4282000E-01              7.9505100E+00            6.0000000E-03
45        974528.446654506       125510.559571057            6.3775100E-01              1.1389200E+01            6.0000000E-03
46        976010.766908932       125575.008277771            1.0000000E-01              1.9395400E+01            6.0000000E-03
47        974635.861165696       124264.55124125             6.1562700E-01              6.6954000E+00            4.2468200E-03
48        973454.301542603       124629.760579297            2.5186500E+00              1.0037100E+01            3.2434200E-03
49        976118.181420122       124414.931556916            4.4820500E-01              1.6372300E+01            6.0000000E-03
50        974721.792774648       122911.128400253            9.0287700E-01              7.7268400E+00            4.9376200E-03
51        988879.025349525       122846.679693538            4.2782000E-01              8.0809300E+00            2.6665200E-03
52        978073.125523785       125489.076668819            5.1315100E-01              1.7026500E+01            6.0000000E-03
53        978427.593410712       124758.657992725            9.2328600E-01              2.3198600E+01            2.7643500E-03
54        978642.422433093       124382.707203559            4.8423800E-01              2.6953000E+01            3.5923100E-03
55        979383.582560306       124672.726383773            3.8767200E-01              1.5690100E+01            2.9354800E-03
56        986773.700930196       123373.010798371            3.5630800E-01              1.2008800E+01            3.6240400E-03
57        986811.296009112       123491.16676068             1.4749300E-01              1.5108200E+01            3.1066700E-03
58        986601.837712291       123501.908211799            4.6055200E-01              7.0450500E+00            3.4436500E-03
59        986918.710520303       123313.932817216            6.6485200E-01              1.3291500E+01            3.8001700E-03
60        986564.242633375       123292.449914978            3.7107900E-01              1.0424500E+01            3.8378200E-03
61        986435.345219946       122991.689283645            7.9370900E-01              1.0540600E+01            3.0944700E-03
62        986591.096261172       122379.426569861            6.6483300E-01              7.6846000E+00            2.3576200E-03
63        974925.88034591        126665.265566352            2.7075300E-01              2.1037800E+01            6.0000000E-03
64        978492.042117426       125193.686763046            5.3115100E-01              1.6956600E+01            2.8338800E-03
65        977138.619276429       124484.75098919             6.1703200E-01              1.5982100E+01            6.0000000E-03
66        976730.444133906       123356.898621692            5.9306400E-01              6.1401700E+00            3.8014500E-03
67        987730                 121488                      1.2624400E+00              7.0228400E+00            2.5504400E-03
